Time,Block,NR/2023/14815/C,NR/2023/13858/A,NR/2023/14807/D,NR/2023/14187/F,NR/2023/11739/A,NR/2023/13284/A,NR/2023/13859/A,NR/2023/11203/A,NR/2023/13573/A,NR/2023/14804/D,NR/2023/13983/F,NR/2023/11328/A,NR/2023/14688/F,NR/2023/11470/A,NR/2023/11469/A,NR/2023/14688/F/II,NR/2023/14810/C,NR/2023/14797/D,NR/2023/11325/A,NR/2023/14817/C,NR/2023/11458/A,NR/2023/14824/C,NR/2023/13283/A,NR/2023/11954/A,NR/2023/11654/A,NR/2023/11315/A,NR/2023/11697/A,NR/2023/13983/F/II,NR/2023/12646/A,NR/2023/14812/C,NR/2023/14796/D,NR/2023/14800/D,NR/2023/14803/D,Total
69,17:00-17:15,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,1.16,27,63,1188.71

70,17:15-17:30,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,1.08,21,49,1168.63

71,17:30-17:45,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,0.48,18,42,1158.03

72,17:45-18:00,0.000000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.820000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,24.120000,0.000000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,0.19,15,35,1147.74

73,18:00-18:15,4.820000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,0,13.5,31.5,1159.69

74,18:15-18:30,4.820000,84.400000,8.680000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,30.000000,0,10.5,24.5,1149.69

75,18:30-18:45,4.820000,84.400000,18.330000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,9,21,1124.34

76,18:45-19:00,4.820000,84.400000,18.330000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,6,14,1114.34

77,19:00-19:15,4.820000,84.400000,22.190000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,3,7,1108.25

78,19:15-19:30,4.820000,84.400000,22.190000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,0.000000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,1.8,4.2,1104.25

79,19:30-19:45,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,135.040000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0.6,1.4,1213.1

80,19:45-20:00,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,135.040000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1211.1

81,20:00-20:15,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,135.040000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1211.1

82,20:15-20:30,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,135.040000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1211.1

83,20:30-20:45,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,135.040000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1211.1

84,20:45-21:00,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,24.120000,21.210000,84.870000,0.000000,5.450000,192.920000,24.120000,135.040000,48.230000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1211.1

85,21:00-21:15,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.250000,21.210000,84.870000,3.870000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1254.51

86,21:15-21:30,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.250000,21.210000,84.870000,3.870000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1254.51

87,21:30-21:45,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.250000,21.210000,84.870000,3.870000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1254.51

88,21:45-22:00,4.820000,84.400000,0.000000,3.860000,42.430000,0.000000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.250000,21.210000,84.870000,3.870000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,0.000000,0.000000,0.000000,0.000000,0,0,0,1254.51

89,22:00-22:15,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.09

90,22:15-22:30,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.09

91,22:30-22:45,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.09

92,22:45-23:00,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.920000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.09

93,23:00-23:15,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.04

94,23:15-23:30,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.04

95,23:30-23:45,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.04

96,23:45-24:00,4.820000,84.400000,0.000000,3.860000,42.430000,85.750000,180.860000,62.940000,28.940000,0.000000,0.870000,48.230000,20.260000,21.210000,84.870000,3.860000,5.450000,192.920000,24.120000,135.040000,91.640000,6.750000,0.000000,36.390000,152.410000,22.190000,36.750000,0.000000,23.080000,0.000000,0,0,0,1400.04

