Column1,Block,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6020,NR/2024/23119/A/39419,NR/2024/22754/A/39386,NR/2024/23121/A/39420,NR/2024/22848/A/39400,NR/2024/22835/A/39436,NR/2024/22820/A/39110,NR/2024/23122/A/39418,NR/2024/22803/A/39425,NR/2024/23118/A/39416,NR/2024/23391/C,NR/2024/23378/C,NR/2024/23379/C,NR/2024/23217/A/39174,NR/2024/21658/A/39079,NR/2024/22874/A/39424,NR/2024/23038/A/39106,NR/2024/23375/C,NR/2024/23214/A/39171,NR/2024/23213/A/39169,NR/2024/23377/C,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/9821,Total
91,22:30-22:45,8.8,0,24.08,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,0.97,163.11,30,8.71,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1284.3000000000002

92,22:45-23:00,8.8,0,24.08,21.77,17.5,8.41,163.3,2.42,96.77,26.39,54.43,26.39,84.36,90.96,4.84,26.39,96.77,8.8,1.94,163.11,30,7.74,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1284.3000000000002

93,23:00-23:15,8.8,0,24.08,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,94.25,4.84,26.39,96.77,8.8,1.94,163.11,30,7.74,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1287.49

94,23:15-23:30,8.8,0,24.08,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,94.25,4.84,26.39,96.77,8.8,1.94,163.11,30,7.74,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1287.49

95,23:30-23:45,8.8,0,24.08,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,94.25,4.84,26.39,96.77,8.8,1.94,163.11,30,7.74,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1287.49

96,23:45-24:00,8.8,0,24.08,21.77,17.5,8.31,163.3,2.42,96.77,26.39,54.43,26.39,84.36,94.25,4.84,26.39,96.77,8.8,1.94,163.11,30,7.74,0.77,48.38,3.87,241.92,0,0,0,24.19,0,1287.49

