Column1,Block,WR/2025/27361/A/67418,NR/2025/26208/C,WR/2025/27350/A/66949,NR/2025/26209/C,NR/2025/26210/C,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66933,NR/2025/26205/C,NR/2025/26206/C,NR/2025/26211/C,NR/2025/25947/A/67409,NR/2025/25948/A/67408,NR/2025/26031/A/67128,NR/2025/26183/C,NR/2025/26085/A/67180,NR/2025/25945/A/67410,NR/2025/25955/A/67407,NR/2025/26207/C,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,NR/2025/26204/C,Total
73,18:00-18:15,24.04,12.21,0,3.08,8.17,12.89,0,16.35,4.13,12.11,26.22,8.74,5.77,271.14,0.62,26.22,17.48,2.98,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,19.61,993.5400000000001

74,18:15-18:30,24.04,12.21,0,3.08,8.17,7.95,0,15.38,4.13,14.33,26.22,8.74,5.77,271.14,0.62,26.22,17.48,3.08,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,26.16,28.84,19.23,0,26.16,9.62,2.88,9.62,18.65,988.9899999999999

75,18:30-18:45,24.04,12.21,0,3.08,8.17,0.46,0,15.38,4.13,15.48,26.22,8.74,6.73,271.14,0.62,26.22,17.48,3.56,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,23.86,28.84,19.23,0,23.86,9.62,2.88,9.62,17.88,978.72

76,18:45-19:00,24.04,12.21,0,3.08,8.46,0.27,0,15.38,4.13,16.25,26.22,8.74,6.73,271.14,0.62,26.22,17.48,4.23,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,8.56,48.08,72.11,23.86,28.84,19.23,0,23.86,9.62,2.88,9.62,17.21,979.5900000000001

77,19:00-19:15,24.04,12.21,0,3.08,9.42,0.2,0,15.38,4.13,16.73,26.22,8.74,6.73,271.14,0.72,26.22,17.48,5.29,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,16.73,983.9800000000001

78,19:15-19:30,24.04,12.21,0,3.08,10.29,0,0,15.38,4.13,17.31,26.22,8.74,6.73,271.14,0.72,26.22,17.48,5.58,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,16.35,985.1400000000001

79,19:30-19:45,24.04,12.21,0,3.08,11.15,0,0,15.38,4.13,17.69,26.22,8.74,6.73,271.14,0.72,26.22,17.48,6.83,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,16.06,987.34

80,19:45-20:00,24.04,12.21,0,3.08,11.92,0,0,15.38,4.13,18.17,26.22,8.74,6.73,271.14,0.72,26.22,17.48,6.54,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.02,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,15.77,988.0100000000001

81,20:00-20:15,24.04,25,0,3.85,12.6,0,0,15.38,4.13,16.06,26.22,8.74,5.77,271.14,0.67,26.22,17.48,6.92,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.48,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,14.52,998.72

82,20:15-20:30,24.04,25,0,3.85,13.36,0,0,15.38,4.13,15.19,26.22,8.74,5.77,271.14,0.67,26.22,17.48,7.6,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.48,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,13.94,998.7100000000003

83,20:30-20:45,24.04,25,0,3.85,14.04,0,0,15.38,4.13,14.9,26.22,8.74,5.77,271.14,0.67,26.22,17.48,8.37,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.48,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,13.85,999.7800000000002

84,20:45-21:00,24.04,25,0,3.85,13.27,0,0,15.38,4.13,14.81,26.22,8.74,5.77,271.14,0.67,26.22,17.48,7.98,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.48,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,13.94,998.6200000000002

85,21:00-21:15,24.04,25,0,3.85,12.5,0,0,15.38,4.13,14.71,26.22,8.74,5.77,271.14,0,26.22,17.48,7.79,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.75,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,14.04,997.2600000000001

86,21:15-21:30,24.04,25,0,3.85,11.73,0,0,15.38,4.13,14.71,26.22,8.74,5.77,271.14,0,26.22,17.48,7.4,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.75,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,14.13,996.1900000000002

87,21:30-21:45,24.04,25,0,3.85,10.96,0,0,15.38,4.13,13.46,26.22,8.74,5.77,271.14,0,26.22,17.48,7.4,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.75,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,14.33,994.3700000000001

88,21:45-22:00,24.04,25,0,3.85,11.92,0,0,15.38,4.13,12.5,26.22,8.74,5.77,271.14,0,26.22,17.48,7.69,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.75,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,14.61,994.94

89,22:00-22:15,24.04,25,0,3.85,12.88,0,0,15.38,4.13,11.73,26.22,8.74,4.81,271.14,0,26.22,17.48,6.63,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.94,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,15.48,994.1700000000002

90,22:15-22:30,24.04,25,0,3.85,13.94,0,0,15.38,4.13,10.86,26.22,8.74,4.81,271.14,0,26.22,17.48,7.4,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.94,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,16.06,995.7100000000002

91,22:30-22:45,24.04,25,0,3.85,15,0,0,15.38,4.13,9.9,26.22,8.74,4.81,271.14,0,26.22,17.48,7.12,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.94,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,16.54,996.0100000000001

92,22:45-23:00,24.04,25,0,3.85,15.86,0,0,15.38,4.13,9.04,26.22,8.74,4.81,271.14,0,26.22,17.48,5.87,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,9.94,48.08,72.11,32,28.84,19.23,0,17.6,9.62,2.88,9.62,17.02,995.2400000000001

93,23:00-23:15,24.04,25,0,3.85,16.73,0,0,15.38,4.13,9.04,26.22,8.74,3.85,271.14,0.62,26.22,17.48,5.87,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,10.39,48.08,72.11,32,28.84,19.23,0,0,9.62,2.88,9.62,17.31,978.9100000000001

94,23:15-23:30,24.04,25,0,3.85,17.6,0,0,15.38,4.13,9.9,26.22,8.74,3.85,271.14,0.62,26.22,17.48,6.35,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,10.39,48.08,72.11,32,28.84,19.23,0,0,9.62,2.88,9.62,17.5,981.3100000000002

95,23:30-23:45,24.04,25,0,3.85,18.56,0,0,15.38,4.13,10.19,26.22,8.74,3.85,271.14,0.62,26.22,17.48,5.87,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,10.39,48.08,72.11,32,28.84,19.23,0,0,9.62,2.88,9.62,17.6,982.1800000000001

96,23:45-24:00,24.04,25,0,3.85,18.65,0,0,15.38,4.13,9.04,26.22,8.74,3.85,271.14,0.62,26.22,17.48,5,26.22,96.15,50,2.88,1.92,8.74,2.88,72.11,9.62,10.39,48.08,72.11,32,28.84,19.23,0,0,9.62,2.88,9.62,17.5,980.1500000000001

