Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,WR/01102023/30052048/L_NR_2022_10,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/16/2535,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7119
84,20:45-21:00,0,12.31,94.78,115.84,0,0,0,27.24,73.66,215.16,0,0,42,17.61,16.66,0,13.34,42,0,0,0,0,0,13.33,0,0,0,40,0,0,0,12.48,82.38,274.04,18.51,2.13,20.6,0,0,0,6.8,0,24.82

85,21:00-21:15,0,12.31,94.78,115.84,0,0,0,27.24,73.66,215.16,0,0,41.33,18.01,16.66,0,13.16,41.33,0,0,0,0,0,13.17,0,0,0,39.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,0,0,6.52,0,17.52

86,21:15-21:30,0,12.31,94.78,115.84,0,0,0,27.24,73.66,215.16,0,0,40,18.41,16.66,0,13,40,0,0,0,0,0,13,0,0,0,39,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,0,0,6.52,0,17.52

87,21:30-21:45,0,12.31,94.78,115.84,0,0,0,25.23,73.66,215.16,0,0,38.33,29.21,16.34,0,12.84,38.33,0,0,0,0,0,12.83,0,0,0,38.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,0,0,6.52,0,17.52

88,21:45-22:00,0,12.31,94.78,115.84,0,0,0,25.23,73.66,215.16,0,0,36.67,31.21,16,0,12.5,36.67,0,0,0,0,0,12.5,0,0,0,37.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,0,0,6.52,0,17.52

89,22:00-22:15,0,12.31,100.97,110.15,0,0,0,26.25,73.66,215.16,0,0,34.67,30.21,12.34,0,12,34.67,0,0,0,0,0,12,0,0,0,36,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.34,0,17.52

90,22:15-22:30,0,12.31,100.97,110.15,0,0,0,26.25,73.66,215.16,0,0,32.67,30.21,11.66,0,11.5,32.67,0,0,0,0,0,11.5,0,0,0,34.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.34,0,17.52

91,22:30-22:45,0,12.31,100.97,110.15,0,0,0,27.25,73.66,215.16,0,0,30.33,31.21,11.34,0,11.16,30.33,0,0,0,0,0,11.17,0,0,0,33.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.34,0,17.52

92,22:45-23:00,0,12.31,100.97,110.15,0,0,0,27.25,73.66,215.16,0,0,28.33,32.61,11,0,10.66,28.33,0,0,0,0,0,10.67,0,0,0,32,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.34,0,17.52

93,23:00-23:15,0,12.31,100.97,110.15,0,0,3.99,26.75,73.66,215.16,0,0,28.33,23.01,10.34,0,10.16,28.33,0,0,0,0,0,10.17,0,0,0,30.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.15,0,17.52

94,23:15-23:30,0,12.31,100.97,110.15,0,0,3.99,26.75,73.66,215.16,0,0,28.33,23.61,9.66,0,9.66,28.33,0,0,0,0,0,9.67,0,0,0,29,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.15,0,17.52

95,23:30-23:45,0,12.31,100.97,110.15,0,0,3.99,26.75,73.66,215.16,0,0,28.33,23.61,10.34,0,9.16,28.33,0,0,0,0,0,9.17,0,0,0,27.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.15,0,17.52

96,23:45-24:00,0,12.31,100.97,110.15,0,0,3.99,26.75,73.66,215.16,0,0,28.33,23.61,11.66,0,9.84,28.33,0,0,0,0,0,9.83,0,0,0,29.5,0,0,0,8.81,82.38,274.04,18.51,2.13,20.6,0,145.38,0,6.15,0,17.52

