Block,Time,DADRI_RF,AURY_GF,NAPP,TANDA2,DADRI_GF,UNCHAHAR1,SINGRAULI,DADRI_LF,UNCHAHAR2,PARBATI3,RIHAND1,SEWA2,UNCHAHAR4,SINGRAULI_HYDRO,DADRI_CRF,AURY_RF,TEHRI,BSIUL,URI2,KOTESHWR,DHAULIGNGA,RIHAND2,URI,RAPPB,CHAMERA3,KOLDAM,SALAL,CHAMERA2,DADRT2,NJPC,AURY_LF,DULHASTI,TANAKPUR,RIHAND3,AURY_CRF,RAPPC,RAMPUR,UNCHAHAR3,CHAMERA1,JHAJJAR,ANTA_RF,KISHANGANGA,ANTA_LF,ANTA_GF,ANTA_CRF,FSTPP I & II,TALA,SASAN,KHSTPP-II,KHSTPP-I,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
24,05:45-06:00,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,14.616504,6.335558,9.753036,8.578496,17.622748,93.042265,46.958419,0.000000,18.711136,0.000000,76.721759,25.462955,429.642178,128.165086,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,43.50,0,0,0,0,0

25,06:00-06:15,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,14.616504,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,429.642178,128.165086,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,100.35,0,0,0,0,0

26,06:15-06:30,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.215295,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,14.616504,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,429.642178,128.165086,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,14.52,0,0,0,0,0

27,06:30-06:45,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.216379,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,14.616504,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,429.642178,128.165086,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,14.52,0,0,0,0,0

28,06:45-07:00,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.216379,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,9.683434,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,25.462955,429.642178,128.165086,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,14.52,0,0,0,0,0

29,07:00-07:15,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.216379,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,29.638055,429.642178,128.165086,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,114.61,0,0,0,0,0

30,07:15-07:30,0.000000,0.000000,37.993630,0.000000,0.000000,15.670594,122.560449,0.000000,21.216379,0.000000,61.120188,0.000000,0.000000,1.054099,0.000000,0.000000,0.000000,6.335558,9.753036,8.578496,17.622748,93.042265,11.739605,0.000000,18.711136,0.000000,76.721759,29.638055,429.642178,128.165086,0.000000,47.790319,12.878764,87.373439,0.000000,49.437715,0.000000,19.140273,0.000000,625.189154,0.000000,0.000000,0.000000,0.000000,0.000000,8.715381,19.894686,404.020181,72.646635,29.988097,19.334041,76.87,0,0,0,0,0

