Column1,Block,NR/2025/34298/C,NR/2025/32535/A/99742,NR/2025/32535/A/99741,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/99740,NR/2025/33637/A/99474,NR/2025/32534/A/99739,NR/2025/33633/A/99503,NR/2025/32532/A/99738,NR/2025/33632/A/99477,NR/2025/32532/A/99737,NR/2025/32599/A/99409,NR/2025/34285/C,NR/2025/34300/C,NR/2025/34289/C,NR/2025/34303/C,NR/2025/34290/C,NR/2025/34291/C,NR/2025/34078/A/99386,NR/30092023/31122025/SH-07,NR/2025/34311/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6209,NR/2025/34259/C,NR/2025/31043/A/99795,NR/2025/29992/A/99397,NR/2025/29440/A/99277,NR/2025/32556/A/99720,NR/2025/32004/A/99723,NR/2025/32455/A/99845,NR/2025/32397/A/99291,NR/2025/31421/A/99816,NR/2025/32559/A/99719,NR/2025/32375/A/99813,NR/2025/32610/A/99718,NR/2025/34260/C,NR/2025/34264/C,NR/2025/31045/A/99796,NR/2025/31048/A/99797,NR/2025/34256/C,NR/2025/32262/A/99313,NR/2025/31049/A/99798,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,Total
57,14:00-14:15,8.84,0,0,60.36,0,1.64,0,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1226.8000000000002

58,14:15-14:30,8.84,0,0,59.34,0,1.64,0,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1225.7800000000002

59,14:30-14:45,8.84,0,0,58.76,0,1.64,0,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1225.1999999999998

60,14:45-15:00,8.84,0,0,58.23,0,1.64,0,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1224.67

61,15:00-15:15,10.8,0,0.05,43.44,0,1.64,0.09,1.45,0.58,1.16,0.14,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1211.83

62,15:15-15:30,10.8,0,0.1,40.95,0,1.64,0.1,1.45,0.58,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1209.5500000000002

63,15:30-15:45,10.8,0,0.1,38.13,0.39,1.64,0.1,1.45,0,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1206.54

64,15:45-16:00,10.8,0,0.1,35.57,0.39,1.64,0.1,1.45,0,1.16,0.29,21,76.86,48.26,24.13,48.26,24.13,24.13,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,14.6,67.57,62.74,0,44.4,0.97,0,0,0,0,0,0,0,0,62.74,67.57,0,0,135.14,0,0,67.57,0,15.3,8.69,20.83,17.38,1203.98

65,16:00-16:15,10.8,0,0,31.94,0.39,0,0,0,0,0,0,21,0,0,0,0,0,0,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1180.9099999999999

66,16:15-16:30,10.8,0,0,28.35,0.39,0,0,0,0,0,0,21,0,0,0,0,0,0,11.58,0,193.06,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1177.3199999999997

67,16:30-16:45,10.8,0,0,18.33,0.39,0,0,0,0,0,0,32,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1179.2699999999998

68,16:45-17:00,8.84,0,0,18.33,0.39,0,0,0,0,0,0,32,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,0,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1177.3099999999997

69,17:00-17:15,8.19,0,0,18.33,0.39,0,0,0,0,0,0,35,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1188.35

70,17:15-17:30,7.91,0,0,17,0.39,0,0,0,0,0,0,32,0,0,0,0,0,0,12.55,0,193.06,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1183.7399999999998

71,17:30-17:45,7.72,0,0,15.58,0.39,0,0,0,0,0,0,32,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1154.37

72,17:45-18:00,7.79,0,0,13.44,0.39,0,0,0,0,0,0,21,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,19.31,16.89,0,67.57,0,0,44.4,0.87,24.13,76.86,0,8.69,48.26,24.13,48.26,24.13,0,67.57,62.74,0,135.14,0,62.74,67.57,0,15.3,8.69,20.83,17.38,1141.3

73,18:00-18:15,8.61,0,0,10.27,0.39,0,0,0,0,0,0,14,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1136.8500000000001

74,18:15-18:30,6.26,0,0,7.13,0.39,0,0,0,0,0,0,11,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1128.3600000000001

75,18:30-18:45,4.08,0,0,2.83,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1117.49

76,18:45-19:00,2.62,0,0,0.98,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1112.18

77,19:00-19:15,0,0,0,0.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1105.2

78,19:15-19:30,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1103.8500000000001

79,19:30-19:45,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1103.68

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,0,62.74,67.57,0,0,8.69,20.83,17.38,1103.63

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1157.9299999999998

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1157.9299999999998

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1157.9299999999998

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,76.86,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1157.9299999999998

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1187.2499999999998

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1187.2499999999998

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1187.2499999999998

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1187.2499999999998

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1187.2499999999998

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1187.2499999999998

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1186.2899999999997

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.92,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1186.2899999999997

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1186.2399999999998

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1186.2399999999998

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1186.2399999999998

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,164.34,33.79,16.89,8.69,0,16.89,0,19.31,0,0,44.4,0.87,37.3,106.18,48.26,8.69,48.26,37.3,48.26,37.3,0,67.57,62.74,0,135.14,54.3,62.74,67.57,0,0,8.69,20.83,17.38,1186.2399999999998

