Column1,Block,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6452,NR/2025/32532/A/96151,NR/2025/32535/A/96155,NR/2025/32652/A/96211,NR/2025/32857/A/96197,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/96152,NR/2025/32535/A/96156,NR/2025/32653/A/96209,NR/2025/32599/A/95913,NR/2025/32534/A/96153,NR/2025/32534/A/96154,NR/2025/33403/C,NR/2025/33408/C,NR/2025/33411/C,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5126,NR/2025/32455/A/96317,NR/2025/31421/A/96299,NR/2025/32559/A/96236,NR/2025/32397/A/95774,GNA/NR/2025/08/01/1196,NR/2025/32702/A/95837,NR/2025/32375/A/96292,NR/2025/32610/A/96235,NR/2025/29440/A/95789,NR/2025/32556/A/96237,NR/2025/29992/A/95875,NR/2025/32004/A/96240,NR/2025/33375/C,NR/2025/33402/C,NR/2025/33376/C,NR/2025/33233/A/96319,NR/2025/33377/C,NR/2025/32554/A/96189,NR/2025/33358/C,NR/2025/32262/A/95800,NR/2025/33315/C,NR/2025/33379/C,NR/2025/32598/A/96324,NR/2025/33380/C,NR/2025/31041/A/96380,NR/2025/31046/A/96383,NR/2025/33381/C,NR/2025/31042/A/96381,NR/2025/31047/A/96382,Total

52,12:45-13:00,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,193,0.29,0.48,48.18,192.7,20.23,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1621.14

53,13:00-13:15,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1612.74

54,13:15-13:30,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1612.74

55,13:30-13:45,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1612.74

56,13:45-14:00,14.6,96.35,96.35,26.95,26.95,48.18,18.44,14.6,24.09,0.48,0.19,1.64,1.16,100,0.67,0.39,1.45,196,0.29,0.48,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,0,48.18,0,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1612.74

57,14:00-14:15,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,99.88,0.67,0.39,1.45,182,0.29,0.48,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1791.4999999999998

58,14:15-14:30,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,97.32,0.67,0.39,1.45,179,0.29,0.48,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1785.9399999999998

59,14:30-14:45,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,90.52,0.96,0.67,1.45,175,0.29,0.77,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1775.9999999999998

60,14:45-15:00,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,87.27,0.96,0.67,1.45,168,0.29,0.77,48.18,192.7,8.83,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1765.75

61,15:00-15:15,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,82.87,0.96,0.67,1.45,161,0.29,0.77,48.18,192.7,10.78,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1756.3

62,15:15-15:30,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,78.25,0.96,0.67,1.45,154,0.29,0.77,48.18,192.7,10.78,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1744.6799999999998

63,15:30-15:45,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,73.37,0.96,0.67,1.45,140,0.29,0.77,48.18,192.7,10.78,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1725.8

64,15:45-16:00,14.6,96.35,96.35,26.95,26.95,48.18,18.62,14.6,24.09,0.48,0.19,1.64,1.16,68.26,0.96,0.67,1.45,130,0.29,0.77,48.18,192.7,10.78,15.27,20.79,16.83,24.09,0,0,0,0,19.27,13.49,0,0,0.96,0,26.23,0,96.35,48.18,96.35,14.45,76.71,0,192.7,0,18.09,43.79,81.9,43.79,0,0,37.23,0,0,1710.6899999999998

65,16:00-16:15,14.6,96.35,96.35,26.95,26.95,48.18,18.81,14.6,24.09,0.48,0.19,0,0,55.18,0.96,0.67,0,119,0.29,0.77,0,192.7,10.78,15.27,20.79,16.83,24.09,0,48.18,43.79,0,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1682.4599999999996

66,16:15-16:30,14.6,96.35,96.35,26.95,26.95,48.18,18.81,14.6,24.09,0.48,0.19,0,0,50.56,0.96,0.62,0,109,0.29,0.7,0,192.7,10.78,15.27,20.79,16.83,24.09,0,48.18,43.79,0,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1667.72

67,16:30-16:45,14.6,96.35,96.35,26.95,26.95,48.18,18.81,14.6,24.09,0.48,0.19,0,0,45.9,0.96,0.54,0,95,0.29,0.62,0,192.7,10.78,15.27,20.79,16.83,24.09,0,48.18,43.79,0,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1648.8999999999999

68,16:45-17:00,14.6,96.35,96.35,26.95,26.95,48.18,18.81,14.6,24.09,0.48,0.19,0,0,41.15,0.96,0.43,0,81,0.29,0.49,0,192.7,8.83,15.27,20.79,16.83,24.09,0,48.18,43.79,0,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1627.9599999999998

69,17:00-17:15,14.6,96.35,96.35,26.95,26.95,48.18,19.18,14.6,24.09,0.47,0.19,0,0,35.93,0.96,0.29,0,67,0.29,0.33,0,192.7,8.17,15.27,20.79,16.83,24.09,0,48.18,43.79,8.67,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1616.81

70,17:15-17:30,14.6,96.35,96.35,26.95,26.95,48.18,19.18,14.6,24.09,0.45,0.18,0,0,30.58,0.96,0.18,0,56,0.27,0.24,0,192.7,7.89,15.27,20.79,16.83,24.09,0,48.18,43.79,8.67,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1599.9299999999998

71,17:30-17:45,14.6,96.35,96.35,26.95,26.95,48.18,19.18,14.6,24.09,0.44,0.18,0,0,25.31,0.17,0.11,0,46,0.27,0.13,0,192.7,7.71,15.27,20.79,16.83,24.09,0,48.18,43.79,8.67,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1583.4999999999998

72,17:45-18:00,14.6,96.35,96.35,26.95,26.95,48.18,19.18,14.6,24.09,0.47,0.19,0,0,20.08,0.01,0.01,0,35,0.28,0.01,0,192.7,7.78,15.27,20.79,16.83,24.09,0,48.18,43.79,8.67,19.27,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1567.0099999999998

73,18:00-18:15,14.6,48.18,96.35,30,26.17,48.18,19.18,14.6,24.09,0.37,0.14,0,0,15.69,0,0,0,25,0.22,0,0,192.7,8.59,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1520.9299999999998

74,18:15-18:30,14.6,48.18,96.35,30,26.17,48.18,19.18,14.6,24.09,0.22,0.09,0,0,11.62,0,0,0,18,0.13,0,0,192.7,6.24,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1507.2199999999998

75,18:30-18:45,14.6,48.18,96.35,30,26.17,48.18,19.18,14.6,24.09,0.13,0.05,0,0,8,0,0,0,11,0.08,0,0,192.7,4.08,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1494.2599999999998

76,18:45-19:00,14.6,48.18,96.35,30,26.17,48.18,19.18,14.6,24.09,0.05,0.02,0,0,4.57,0,0,0,6,0.03,0,0,192.7,2.61,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.87,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1484.2

77,19:00-19:15,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,2.64,0,0,0,1,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1478.4399999999998

78,19:15-19:30,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0.41,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1475.2099999999998

79,19:30-19:45,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0.11,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1474.9099999999999

80,19:45-20:00,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,0,0,0,81.9,0,0,0,0,96.35,96.35,1474.8

81,20:00-20:15,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1529

82,20:15-20:30,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1529

83,20:30-20:45,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1529

84,20:45-21:00,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,76.71,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1529

85,21:00-21:15,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1558.2699999999998

86,21:15-21:30,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1558.2699999999998

87,21:30-21:45,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1558.2699999999998

88,21:45-22:00,14.6,48.18,96.35,30,30,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1558.2699999999998

89,22:00-22:15,14.6,48.18,96.35,30,6,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1534.27

90,22:15-22:30,14.6,48.18,96.35,30,6,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,13.49,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1534.27

91,22:30-22:45,14.6,48.18,96.35,30,6,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,12.53,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1533.31

92,22:45-23:00,14.6,48.18,96.35,30,6,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,12.53,48.18,37.23,0.92,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1533.31

93,23:00-23:15,14.6,48.18,96.35,30,19.39,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,12.53,48.18,37.23,0.87,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1546.6499999999999

94,23:15-23:30,14.6,48.18,96.35,30,19.39,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,12.53,48.18,37.23,0.87,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1546.6499999999999

95,23:30-23:45,14.6,48.18,96.35,24.7,24.7,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,12.53,48.18,37.23,0.87,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1546.6599999999999

96,23:45-24:00,14.6,48.18,96.35,24.7,24.7,48.18,19.18,14.6,24.09,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,20.79,16.83,24.09,48.18,48.18,43.79,8.67,0,12.53,48.18,37.23,0.87,43.79,44.32,105.98,0,0,0,14.45,0,163.8,28.9,54.2,0,0,81.9,0,0,0,0,96.35,96.35,1546.6599999999999

