Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/2024/22058/A/30943,NR/2024/22052/A/30942,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21971/A/31185,NR/2024/22402/C,NR/2024/21658/A/30917,NR/2024/21860/A/31245,NR/2024/22404/C,NR/2024/21983/A/30930,NR/2024/21966/A/30944,NR/2024/21974/A/31186,NR/2024/21968/A/31182,NR/2024/21970/A/31183,NR/2024/21940/A/31201,NR/2024/22401/C,NR/2024/22409/C,NR/2024/21961/A/31150,NR/2024/22418/C,NR/2024/21954/A/31200,NR/2024/22228/A/31195,NR/2024/21814/A/31187,NR/30092023/31122025/SH-07,NR/2024/22042/A/30911,NR/01082024/15082024/APL-Raigarh,NR/2024/21943/A/31199,NR/2024/22383/C,NR/2024/21918/A/31145,NR/2024/21909/A/31115,NR/2024/22010/A/31137,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21938/A/31152,NR/2024/22080/A/30775,NR/2024/22279/A/30956,NR/2024/22014/A/30912,NR/2024/21956/A/31203,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,Total
68,16:45-17:00,12.4,11.94,26.9071,10.59,16.18,15.44,37.2,163.93,0.82,48.14,27.92,48.14,48.14,37.2,37.2,12.4,83.95,1.93,9.53,0,0,24,44.37,48.14,26.9071,3.85,0,38.52,240.72,90.51,192.58,11.69,0,0,0,0,12.52,4.81,1.93,24.07,0,1414.5741999999998

69,17:00-17:15,12.4,11.94,26.9071,0,0,15.44,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.73,0,0,0,24,44.37,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,12.52,4.81,1.93,24.07,0,1378.0242

70,17:15-17:30,12.4,11.94,26.9071,0,0,15.44,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.54,0,0,0,24,44.37,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,12.52,4.81,1.93,24.07,0,1377.8342

71,17:30-17:45,12.4,11.94,26.9071,0,0,15.44,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.39,0,0,0,24,44.37,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,12.52,4.81,1.93,24.07,0,1377.6842000000001

72,17:45-18:00,12.4,11.94,26.9071,0,0,15.44,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,1.09,0,0,0,24,44.3,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,11.69,0,48.14,48.14,0,12.52,4.81,1.93,24.07,0,1377.3142

73,18:00-18:15,12.4,11.94,26.9071,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0.81,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,24.07,0,1324.0242

74,18:15-18:30,12.4,11.94,26.9071,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0.78,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,24.07,0,1323.9942

75,18:30-18:45,12.4,11.94,26.9071,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0.39,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1342.8642

76,18:45-19:00,12.4,11.94,26.9071,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0.07,0,0,0,24,0,48.14,26.9071,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1342.5442

77,19:00-19:15,12.4,11.94,0,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,0,24,0,48.14,0,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1288.66

78,19:15-19:30,12.4,11.94,0,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,0,24,0,48.14,0,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1288.66

79,19:30-19:45,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,0,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1349.66

80,19:45-20:00,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,0,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1349.66

81,20:00-20:15,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,37.7,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1387.3600000000001

82,20:15-20:30,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,36.86,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,11.55,4.81,1.93,43.33,0,1386.52

83,20:30-20:45,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,36.38,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,10.59,4.81,1.93,43.33,0,1385.08

84,20:45-21:00,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,34.89,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,10.59,4.81,1.93,43.33,0,1383.59

85,21:00-21:15,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,36.1,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,10.59,4.81,1.93,43.33,0,1384.8

86,21:15-21:30,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,37,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,10.59,4.81,1.93,43.33,0,1385.7

87,21:30-21:45,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,37.09,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,10.59,4.81,1.93,43.33,0,1385.79

88,21:45-22:00,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,0,37.73,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,0,10.59,4.81,1.93,43.33,0,1386.43

89,22:00-22:15,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,39.29,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,10.59,4.81,1.93,43.33,0,1539.66

90,22:15-22:30,12.4,11.94,30.5,0,0,19.39,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,39.73,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,10.59,4.81,1.93,43.33,0,1540.1000000000001

91,22:30-22:45,12.4,11.94,30.5,0,0,18.2,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,40.84,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,10.59,4.81,1.93,67.4,0,1564.0900000000004

92,22:45-23:00,12.4,11.94,30.5,0,0,18.2,37.2,163.93,0.77,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,39.16,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,10.59,4.81,1.93,67.4,0,1562.4100000000003

93,23:00-23:15,12.4,11.94,30.5,0,0,18.2,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,39.31,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,0,1561.5500000000004

94,23:15-23:30,12.4,11.94,30.5,0,0,18.2,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,39.55,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,0,1561.7900000000004

95,23:30-23:45,12.4,11.94,30.5,0,0,18.2,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,40.59,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,0,1562.8300000000006

96,23:45-24:00,12.4,11.94,30.5,0,0,18.2,37.2,163.93,0.72,48.14,27.92,0,0,37.2,37.2,12.4,83.95,0,0,113.75,40.71,24,0,48.14,30.5,3.85,192.58,38.52,240.72,90.51,0,0,0,48.14,48.14,37.92,9.63,4.81,1.93,67.4,0,1562.9500000000005

