Column1,Block,NR/2025/28485/C,NR/2025/28478/C,NR/2025/28479/C,NR/2025/28480/C,NR/2025/28488/C,NR/2025/28482/C,NR/2025/28556/C,NR/2025/27356/A/79227,NR/2025/27622/A/79061,NR/2025/27162/A/79542,NR/2025/27726/A/79536,NR/2025/26889/A/79527,NR/2025/26563/A/79491,NR/2025/28504/C,NR/2025/28518/C,NR/2025/27499/A/79526,NR/2025/27242/A/79207,NR/2025/27167/A/79300,NR/2025/26569/A/79493,NR/2025/27168/A/79302,NR/2025/27727/A/79534,NR/2025/27724/A/79189,NR/2025/26570/A/79494,NR/2025/28407/C,NR/2025/27725/A/79537,NR/2025/28139/A/79221,NR/2025/28511/C,NR/2025/26952/A/79022,NR/2025/28138/A/79219,NR/2025/26085/A/79078,NR/2025/28439/C,NR/2025/26785/A/79071,NR/2025/26975/A/79543,NR/2025/28398/C,NR/2025/28505/C,NR/2025/27782/A/79532,NR/2025/26564/A/79492,NR/2025/28358/C,NR/2025/26777/A/79180,NR/2025/28359/C,NR/2025/26860/A/79451,NR/2025/27088/A/79569,NR/2025/28141/A/79225,NR/2025/28438/C,NR/2025/28140/A/79223,NR/2025/28512/C,NR/2025/28440/C,NR/2025/27462/A/79066,NR/2025/26561/A/79490,NR/2025/27281/A/79604,NR/2025/27157/A/79191,GNA/NR/2025/06/01/7762,NR/2025/27728/A/79535,NR/2025/26445/A/79577,GNA/NR/2025/06/01/2868,NR/2025/26861/A/79506,NR/2025/28552/C,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/11/1078,GNA/NR/2025/06/11/4898,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/11/3444,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNARE/NR/2024/12/20/3668,Total
38,09:15-09:30,39.91,14.64,43.92,43.92,193.26,14.64,0,151,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,67.64,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.39,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,71.28,2068.0400000000004

39,09:30-09:45,39.91,14.64,43.92,43.92,193.26,14.64,0,161,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,67.64,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.39,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,76.62,2083.3800000000006

40,09:45-10:00,39.91,14.64,43.92,43.92,193.26,14.64,0,172,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,67.64,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.39,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,81.7,2099.4600000000005

41,10:00-10:15,39.91,14.64,43.92,43.92,193.26,14.64,0,179,11.56,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.2,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,86.42,2104.19

42,10:15-10:30,39.91,14.64,43.92,43.92,193.26,14.64,0,186,11.6,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.2,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,90.68,2115.4900000000002

43,10:30-10:45,39.91,14.64,43.92,43.92,193.26,14.64,0,193,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.2,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,94.42,2123.56

44,10:45-11:00,39.91,14.64,43.92,43.92,193.26,14.64,0,200,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.2,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,97.13,2133.27

45,11:00-11:15,39.91,14.64,43.92,43.92,193.26,14.64,0,203,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.02,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2138.96

46,11:15-11:30,39.91,14.64,43.92,43.92,193.26,14.64,0,207,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.02,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2142.96

47,11:30-11:45,39.91,14.64,43.92,43.92,193.26,14.64,0,207,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.02,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2142.96

48,11:45-12:00,39.91,14.64,43.92,43.92,193.26,14.64,0,210,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,0,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,12.02,48.32,26.94,0,26.94,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2145.96

49,12:00-12:15,39.91,14.64,43.92,43.92,193.26,14.64,0,210,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2281.0799999999995

50,12:15-12:30,39.91,14.64,43.92,43.92,193.26,14.64,0,210,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2281.0799999999995

51,12:30-12:45,39.91,14.64,43.92,43.92,193.26,14.64,0,210,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2281.0799999999995

52,12:45-13:00,39.91,14.64,43.92,43.92,193.26,14.64,0,210,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2281.0799999999995

53,13:00-13:15,39.91,14.64,43.92,43.92,193.26,14.64,0,210,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,11.6,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2280.89

54,13:15-13:30,39.91,14.64,43.92,43.92,193.26,14.64,0,207,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,12.56,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2278.8499999999995

55,13:30-13:45,39.91,14.64,43.92,43.92,193.26,14.64,0,203,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,12.56,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2274.8499999999995

56,13:45-14:00,39.91,14.64,43.92,43.92,193.26,14.64,0,200,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,12.56,0,135.28,0,0,57.98,0,0,0.97,0,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,0,0,0,102.36,129.12,0,15.83,0,0,24.16,0,31.11,29.16,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2271.8499999999995

57,14:00-14:15,39.91,14.64,43.92,43.92,193.26,14.64,0,189,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,12.56,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,100,2843.3399999999992

58,14:15-14:30,39.91,14.64,43.92,43.92,193.26,14.64,0,186,8.93,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,12.56,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,97.8,2838.1399999999994

59,14:30-14:45,39.91,14.64,43.92,43.92,193.26,14.64,0,179,11.36,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,12.56,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,95.14,2830.9099999999994

60,14:45-15:00,39.91,14.64,43.92,43.92,193.26,14.64,0,168,11.27,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,12.56,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.65,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,92.04,2816.7199999999993

61,15:00-15:15,39.91,14.64,43.92,43.92,193.26,14.64,0,161,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,13.53,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,88.5,2804.77

62,15:15-15:30,39.91,14.64,43.92,43.92,193.26,14.64,0,154,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,13.53,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,84.04,2793.31

63,15:30-15:45,39.91,14.64,43.92,43.92,193.26,14.64,0,147,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,13.53,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,79.33,2781.6

64,15:45-16:00,39.91,14.64,43.92,43.92,193.26,14.64,0,140,8.7,0,0,0,0,5.8,192.64,0,48.32,24.16,0,24.16,0,13.53,0,135.28,0,28.99,67.64,0,38.65,0.97,144.94,0,0,106.29,55.99,0,0,24.88,0,53.15,0,0,193.26,144.94,33.82,102.36,129.12,0,15.83,0,0,24.16,0,31.11,17.39,0,0,193.26,0,0,11.84,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,74.53,2769.8

65,16:00-16:15,0,0,0,0,0,0,0,126,5.8,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,53.15,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.3,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,69.39,2972.62

66,16:15-16:30,0,0,0,0,0,0,0,116,5.8,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,53.15,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.3,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,63.26,2956.4900000000002

67,16:30-16:45,0,0,0,0,0,0,0,105,5.8,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,53.15,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.3,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,57,2939.23

68,16:45-17:00,0,0,0,0,0,0,0,95,5.8,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,53.15,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.3,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,50.19,2922.42

69,17:00-17:15,0,0,0,0,0,0,0,77,0,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.76,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,43.61,2839.3500000000004

70,17:15-17:30,0,0,0,0,0,0,0,63,0,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.76,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,36.58,2818.32

71,17:30-17:45,0,0,0,0,0,0,0,49,0,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.76,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,29.5,2797.2400000000002

72,17:45-18:00,0,0,0,0,0,0,0,35,0,55.99,43.92,0,0,0,0,0,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,67.64,135.28,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,102.36,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,0,0,12.76,48.32,26.95,0,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,23.1,2776.84

73,18:00-18:15,0,0,0,0,0,0,0,21,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,170.07,38.65,13.23,48.32,25.31,96.63,25.31,48.32,11.9,48.32,24.16,62.81,24.16,11.91,17.15,2961.480000000001

74,18:15-18:30,0,0,0,0,0,0,0,11,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,170.07,38.65,13.23,48.32,26.95,96.63,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,12.29,2949.8999999999996

75,18:30-18:45,0,0,0,0,0,0,0,7,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,170.07,38.65,13.23,48.32,26.95,96.63,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,1.01,2934.62

76,18:45-19:00,0,0,0,0,0,0,0,4,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,17.39,0,0,193.26,170.07,38.65,13.23,48.32,26.95,96.63,26.95,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2930.6099999999997

77,19:00-19:15,0,0,0,0,0,0,0,1,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,25.18,96.63,25.18,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2936.29

78,19:15-19:30,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,25.18,96.63,25.18,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2935.29

79,19:30-19:45,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,25.18,96.63,25.18,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2935.29

80,19:45-20:00,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.87,0,0,5.8,0,0,14.64,144.94,0,193.26,0,106.29,192.64,193.26,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,0,0,193.26,170.07,38.65,13.68,48.32,25.18,96.63,25.18,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2935.29

81,20:00-20:15,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,14.15,48.32,24.5,96.63,24.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2897.7300000000005

82,20:15-20:30,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,14.15,48.32,24.5,96.63,24.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2897.7300000000005

83,20:30-20:45,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,14.15,48.32,24.5,96.63,24.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2897.7300000000005

84,20:45-21:00,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,13.53,144.94,0,14.64,28.99,29.96,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,162.87,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,14.15,48.32,24.5,96.63,24.5,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2897.7300000000005

85,21:00-21:15,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,12.56,144.94,0,14.64,28.99,57.98,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,15.54,48.32,24.5,96.63,25.18,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2862.69

86,21:15-21:30,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,12.56,144.94,0,14.64,28.99,57.98,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,15.54,48.32,20.92,96.63,19,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2852.9300000000003

87,21:30-21:45,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,12.56,144.94,0,14.64,28.99,57.98,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,15.54,48.32,9,96.63,9,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2831.01

88,21:45-22:00,0,0,0,0,0,0,0,0,0,55.99,43.92,5.8,0,0,0,8.7,48.32,24.16,0,24.16,43.92,12.56,144.94,0,14.64,28.99,57.98,0,38.65,0.92,0,0,27.06,0,0,14.64,144.94,0,193.26,0,106.29,192.64,135.28,0,33.82,98.71,0,9.66,144.94,24.88,217.42,24.16,37.34,31.11,29.16,193.26,0,0,170.07,38.65,15.54,48.32,9,96.63,9,48.32,11.9,48.32,24.16,62.81,24.16,11.91,0,2831.01

