Time,Block,NR/2023/10236/A,NR/2023/11941/F,NR/2023/10229/A,NR/2023/12393/C,NR/2023/11963/F,NR/2023/11862/F,NR/2023/10434/A,NR/2023/10613/A,NR/2023/11952/F,NR/2023/12392/C,NR/2023/12395/C,NR/2023/11962/F,NR/2023/12400/C,NR/2023/12391/C,NR/2023/11476/A,NR/2023/11958/F,NR/2023/11643/A,NR/2023/11957/F,NR/2023/11960/F,NR/2023/11959/F,NR/2023/12373/D,NR/2023/12426/C,NR/2023/10344/A,NR/2023/12429/C,NR/2023/10611/A,NR/2023/10944/A,NR/2023/11961/F,NR/2023/12385/C,NR/2023/11642/A,NR/2023/11330/A,NR/2023/11947/F,NR/2023/11956/F,NR/2023/11342/A,NR/2023/10487/A,NR/2023/11955/F,NR/2023/12375/D,NR/2023/12378/D,NR/2023/12377/D,Total
59,14:30-14:45,213.720000,62.630000,42.740000,10.480000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,7.91,78,182,986.73

60,14:45-15:00,213.720000,62.630000,42.740000,10.480000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,28.540000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,7.81,75.3,175.7,977.63

61,15:00-15:15,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,7.76,70.5,164.5,963.71

62,15:15-15:30,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,7.72,67.5,157.5,953.67

63,15:30-15:45,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,6.85,62.4,145.6,935.8

64,15:45-16:00,213.720000,62.630000,42.740000,10.580000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,6.08,57,133,917.03

65,16:00-16:15,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,5.69,53.1,123.9,903.73

66,16:15-16:30,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,4.92,46.8,109.2,881.96

67,16:30-16:45,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,66.870000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,4.34,40.8,95.2,861.38

68,16:45-17:00,213.720000,62.630000,42.740000,10.670000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,69.080000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,30.570000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,3.47,35.4,82.6,844.72

69,17:00-17:15,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,80.840000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,31.590000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,2.6,28.8,67.2,834.72

70,17:15-17:30,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,80.840000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,31.590000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,1.64,21.9,51.1,810.76

71,17:30-17:45,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,133.730000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,31.590000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0.87,16.5,38.5,844.88

72,17:45-18:00,213.720000,62.630000,42.740000,10.760000,0.460000,2.890000,24.090000,0.000000,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,192.700000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,31.590000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0.21,12,28,888.19

73,18:00-18:15,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,192.700000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,32.610000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,9,21,915.54

74,18:15-18:30,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,192.700000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,32.610000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,4.5,10.5,900.54

75,18:30-18:45,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,192.700000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,32.610000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,3,7,895.54

76,18:45-19:00,213.720000,62.630000,42.740000,10.950000,0.460000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.460000,0.000000,0.000000,48.180000,0.620000,13.010000,0.770000,0.730000,0.730000,192.700000,0.000000,12.210000,0.000000,9.920000,0.000000,0.770000,32.610000,14.450000,0.000000,6.740000,0.400000,115.620000,41.430000,0.360000,0,1.5,3.5,890.54

77,19:00-19:15,213.720000,62.630000,42.740000,11.040000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.510000,0.000000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,192.700000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,886.22

78,19:15-19:30,213.720000,62.630000,42.740000,11.040000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.510000,0.000000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,192.700000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,886.22

79,19:30-19:45,213.720000,62.630000,42.740000,11.040000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.510000,0.000000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,165.720000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,859.24

80,19:45-20:00,213.720000,62.630000,42.740000,11.040000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.510000,0.000000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,165.720000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,859.24

81,20:00-20:15,213.720000,62.630000,42.740000,11.220000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.510000,0.000000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,165.720000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,859.42

82,20:15-20:30,213.720000,62.630000,42.740000,11.220000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,0.000000,0.510000,0.000000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,165.720000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,859.42

83,20:30-20:45,213.720000,62.630000,42.740000,11.220000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,39.500000,0.510000,25.050000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,165.720000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,923.97

84,20:45-21:00,213.720000,62.630000,42.740000,11.220000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,67.440000,0.510000,25.050000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,165.720000,0.000000,12.210000,0.000000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,951.91

85,21:00-21:15,213.720000,62.630000,42.740000,11.410000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,78.040000,0.510000,50.100000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,133.730000,0.000000,12.210000,14.450000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,970.21

86,21:15-21:30,213.720000,62.630000,42.740000,11.410000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,105.020000,0.510000,50.100000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,133.730000,0.000000,12.210000,14.450000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,997.19

87,21:30-21:45,213.720000,62.630000,42.740000,11.410000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,130.070000,0.510000,50.100000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,0.000000,12.210000,14.450000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,955.38

88,21:45-22:00,213.720000,62.630000,42.740000,11.410000,0.510000,2.890000,24.090000,0.000000,36.350000,0.000000,150.310000,0.510000,50.100000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,0.000000,12.210000,14.450000,9.920000,0.000000,0.860000,32.610000,14.450000,0.000000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,975.62

89,22:00-22:15,213.720000,62.630000,42.740000,11.590000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,107.910000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1045.15

90,22:15-22:30,213.720000,62.630000,42.740000,11.590000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,135.850000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1073.09

91,22:30-22:45,213.720000,62.630000,42.740000,11.590000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,172.470000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1109.71

92,22:45-23:00,213.720000,62.630000,42.740000,11.590000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,184.990000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1122.23

93,23:00-23:15,213.720000,62.630000,42.740000,11.770000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,203.300000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1140.72

94,23:15-23:30,213.720000,62.630000,42.740000,11.770000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,211.970000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1149.39

95,23:30-23:45,213.720000,62.630000,42.740000,11.770000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,212.930000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1150.35

96,23:45-24:00,213.720000,62.630000,42.740000,11.770000,0.510000,2.890000,24.090000,12.620000,36.350000,0.000000,197.520000,0.510000,55.880000,0.000000,48.180000,0.720000,13.010000,0.870000,0.810000,0.810000,66.870000,18.310000,12.210000,14.450000,9.920000,23.120000,0.860000,30.570000,14.450000,53.960000,6.740000,0.440000,115.620000,41.430000,0.360000,0,0,0,1134.94

