Column1,Block,NR/2024/22898/A/35646,NR/2024/22899/A/35644,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/8090,NR/30092023/31122025/SH-07,NR/2024/22839/A/35854,NR/2024/22753/A/35811,NR/2024/22754/A/35812,NR/2024/22872/A/35619,NR/2024/21658/A/35610,NR/2024/22874/A/35859,NR/2024/22734/A/35824,NR/2024/22802/A/35858,NR/2024/22987/C,NR/2024/22832/A/35857,NR/2024/22984/C,NR/2024/22833/A/35856,NR/2024/22979/C,NR/2024/22837/A/35855,NR/2024/22888/A/35826,NR/2024/22985/C,NR/2024/22816/A/35549,NR/2024/22848/A/35834,NR/2024/22860/A/35832,NR/2024/22835/A/35893,NR/2024/22820/A/35540,GNA/NR/2024/09/01/7196,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/05/5848,GNA/NR/2024/09/01/6020,NR/2024/22983/C,Total
73,18:00-18:15,0,0,11.36,12.47,26.9071,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0.43,1377.5842

74,18:15-18:30,0,0,11.36,12.47,26.9071,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,25.15,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0.08,1377.2341999999999

75,18:30-18:45,0,0,11.36,12.47,26.9071,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0,1395.5642

76,18:45-19:00,0,0,11.36,12.47,26.9071,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0,1395.5642

77,19:00-19:15,0,0,11.36,12.47,25.7359,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1509.3718000000001

78,19:15-19:30,0,0,11.36,12.47,25.7359,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1509.3718000000001

79,19:30-19:45,0,0,11.36,12.47,25.7359,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1509.3718000000001

80,19:45-20:00,0,0,11.36,12.47,25.7359,12.47,0,0,11.61,0.82,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1509.3718000000001

81,20:00-20:15,0,0,11.36,12.47,21.4784,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,21.4784,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1500.8068

82,20:15-20:30,0,0,11.36,12.47,21.4784,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,21.4784,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1500.8068

83,20:30-20:45,0,0,11.36,12.47,21.4784,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,21.4784,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1500.8068

84,20:45-21:00,0,0,11.36,12.47,21.4784,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,21.4784,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1500.8068

85,21:00-21:15,0,0,15.06,12.47,25.7359,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1513.0218000000002

86,21:15-21:30,0,0,15.06,12.47,25.7359,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1513.0218000000002

87,21:30-21:45,0,0,15.06,12.47,25.7359,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1513.0218000000002

88,21:45-22:00,0,0,15.06,12.47,25.7359,12.47,0,0,11.61,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1513.0218000000002

89,22:00-22:15,0,0,15.06,12.47,25.7359,12.47,179.67,59.89,10.65,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1751.6218

90,22:15-22:30,0,0,15.06,12.47,25.7359,12.47,179.67,59.89,10.65,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,43.56,28.07,0,84.38,13.55,90.98,4.84,48.4,25.7359,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1751.6218

91,22:30-22:45,0,0,15.06,12.47,26.9071,12.47,179.67,59.89,9.68,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1777.1842

92,22:45-23:00,0,0,15.06,12.47,26.9071,12.47,179.67,59.89,9.68,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,90.98,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,116.15,96.79,0,1777.1842

93,23:00-23:15,0,0,15.06,12.47,26.9071,12.47,179.67,59.89,9.68,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,94.27,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0,1664.3241999999998

94,23:15-23:30,0,0,15.06,12.47,26.9071,12.47,179.67,59.89,9.68,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,94.27,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0,1664.3241999999998

95,23:30-23:45,0,0,15.06,12.47,26.9071,12.47,179.67,59.89,9.68,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,94.27,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0,1664.3241999999998

96,23:45-24:00,0,0,15.06,12.47,26.9071,12.47,179.67,59.89,9.68,0.77,48.4,96.79,0,0,37.39,164.78,37.39,241.98,37.39,67.75,28.07,0,84.38,13.55,94.27,4.84,48.4,26.9071,48.4,96.79,0,2.42,21.78,24.2,24.74,0,96.79,0,1664.3241999999998

