Time,Block,NR/2023/16185/A,NR/2023/13150/A,NR/2023/13908/A,NR/2023/13242/A,NR/2023/15770/A,NR/2023/13148/A,NR/2023/16520/F,NR/2023/13383/A,NR/2023/16827/C,NR/2023/13376/A,NR/2023/13385/A,NR/2023/16837/C,NR/2023/13519/A,NR/2023/16830/C,NR/2023/13165/A,NR/2023/16191/A,NR/2023/13253/A,NR/2023/16437/F,NR/2023/16291/F,NR/2023/16815/D,NR/2023/13387/A,NR/2023/13254/A,NR/2023/16724/F,NR/2023/16291/F/II,NR/2023/16798/D,NR/2023/13636/A,NR/2023/16077/A,NR/2023/16829/C,NR/2023/16803/D,NR/2023/16819/D,NR/2023/16073/A,ER/2023/10652/C,NR/2023/16828/C,NR/2023/16814/D,ER/2023/10639/C,WR/2023/18895/C,Total
62,15:15-15:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.140000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.870000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,5.79,50.000000,1.500000,1403.14

63,15:30-15:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.140000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.870000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,5.8,50.000000,1.500000,1403.15

64,15:45-16:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.140000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.870000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,4.69,50.000000,1.500000,1402.04

65,16:00-16:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.230000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,4.93,0.000000,1.500000,1352.32

66,16:15-16:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.230000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,3.82,0.000000,1.500000,1351.21

67,16:30-16:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.230000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,3.6,0.000000,1.500000,1350.99

68,16:45-17:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,8.220000,20.300000,30.620000,9.230000,58.430000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,29.000000,24.170000,0.000000,15.95,2.9,0.000000,1.500000,1350.29

69,17:00-17:15,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,24.170000,0.000000,0,2.24,0.000000,1.500000,1238.12

70,17:15-17:30,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,24.170000,0.000000,0,1.62,0.000000,1.500000,1237.5

71,17:30-17:45,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,24.170000,0.000000,0,1.09,0.000000,1.500000,1236.97

72,17:45-18:00,77.340000,63.030000,175.050000,0.000000,62.840000,0.000000,0.000000,0.000000,0.000000,20.300000,30.620000,9.320000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,24.170000,0.000000,0,0.67,0.000000,1.500000,1236.55

73,18:00-18:15,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,0.000000,0.000000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0.3,0.000000,1.500000,1284.58

74,18:15-18:30,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,0.000000,0.000000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1284.28

75,18:30-18:45,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,0.000000,0.000000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1284.28

76,18:45-19:00,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,0.000000,0.000000,0.000000,20.300000,30.620000,9.420000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1284.28

77,19:00-19:15,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,48.340000,0.000000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1332.7

78,19:15-19:30,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,48.340000,0.000000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1332.7

79,19:30-19:45,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,48.340000,0.000000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1332.7

80,19:45-20:00,77.340000,63.030000,175.050000,0.000000,62.840000,36.470000,48.340000,0.000000,0.000000,20.300000,30.620000,9.500000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.820000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1332.7

81,20:00-20:15,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.600000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1352.66

82,20:15-20:30,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.600000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1352.66

83,20:30-20:45,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.600000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1352.66

84,20:45-21:00,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.600000,0.000000,0.000000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1352.66

85,21:00-21:15,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.500000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1459.33

86,21:15-21:30,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.500000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1459.33

87,21:30-21:45,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.500000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1459.33

88,21:45-22:00,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,0.000000,0.000000,20.300000,30.620000,9.500000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,0.000000,10.090000,67.670000,0.000000,0.000000,36.000000,0,0,0.000000,1.500000,1459.33

89,22:00-22:15,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.420000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,10.090000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1576.95

90,22:15-22:30,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.420000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,7.070000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1573.93

91,22:30-22:45,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.420000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,7.070000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1573.93

92,22:45-23:00,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.420000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,7.070000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1573.93

93,23:00-23:15,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.320000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,7.070000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1573.83

94,23:15-23:30,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.320000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,7.070000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1573.83

95,23:30-23:45,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.320000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,7.070000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1573.83

96,23:45-24:00,77.340000,63.030000,175.050000,29.580000,62.840000,36.470000,38.670000,46.110000,0.000000,20.300000,30.620000,9.320000,58.430000,48.340000,22.230000,142.100000,48.340000,144.000000,0.000000,0.000000,100.050000,19.610000,193.340000,0.770000,4.830000,18.630000,107.590000,7.070000,67.670000,0.000000,0.000000,0.000000,0,0,0.000000,1.500000,1573.83

