Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,GNA/NR/2025/06/01/4973,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/06/01/9719,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/08/2376,GNA/NR/2025/04/01/8456,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/01/2868,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/9257,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7786,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/7663
66,16:15-16:30,26.01,149.3,0,33,62.02,57,43,25,33,29.86,52,26,72.35,38,20,41.67,41.67,38,34.34,114,41.02,38.61,11.89,20.75,11.9,29,11.82,6.54,5.92,29.26,20.75,26.56,164.08,0,7.76,4.21,6.69,-0,8.66,100.55,17.37,63.47,20.75,8.66,52.12,133.56,53.57,41.02,5.3,4.34,41.02

67,16:30-16:45,26.01,134.23,0,33,55.89,49,37,20,33,26.85,50,25,64.85,38.67,15,41.67,41.67,38.67,36.67,115.99,41.02,38.61,11.89,20.75,11.9,29,11.82,6.54,6.07,28.76,20.75,26.56,164.08,0,7.76,4.21,5.96,-0,7.72,100.55,17.37,63.47,20.75,7.72,70.79,133.56,53.57,41.02,5.3,7.76,41.02

68,16:45-17:00,26.01,117.94,0,33,49.2,43,31,19,33,23.59,43,22,54.28,39.17,12,41.67,41.67,39.17,36.67,117.49,41.02,38.61,11.89,20.75,11.9,29,11.82,6.54,6.07,28.76,20.75,26.56,164.08,0,7.76,4.21,4.96,-0,6.41,100.55,17.37,63.47,20.75,6.41,70.79,133.56,53.57,41.02,5.3,7.76,41.02

69,17:00-17:15,26.01,101.89,0,33,42.75,38,27,14,33,20.38,37,18,45.74,36.67,10,41.67,41.67,36.67,36.67,109.99,41.02,49.14,11.89,20.75,11.9,29,12.29,6.93,6.38,28.76,20.75,26.56,164.08,0,7.76,4.58,3.92,-0,5.06,100.55,17.37,70.37,20.75,5.06,95.44,133.56,53.57,41.02,5.3,7.76,41.02

70,17:15-17:30,26.01,85.1,0,33,35.86,33,21,10,33,17.02,31,15,36.05,36.67,8,41.67,41.67,36.67,36.67,109.99,41.02,49.14,11.89,20.75,11.9,29,12.29,6.93,6.38,28.76,20.75,26.56,164.08,0,7.76,4.58,2.89,-0,3.74,100.55,17.37,70.37,20.75,3.74,97.91,133.56,53.57,41.02,5.3,7.76,41.02

71,17:30-17:45,22.41,69.36,0,29.44,28.92,23,15,8,30.27,13.87,25,12,27.35,36.67,1,41.67,41.67,36.67,36.67,109.99,41.02,49.14,11.89,20.75,11.9,29,12.29,7.31,7.78,28.76,20.75,26.56,164.08,0,7.76,4.58,2.01,-0,2.61,100.55,17.37,70.37,20.75,2.61,91.08,133.56,53.57,41.02,5.3,7.76,41.02

72,17:45-18:00,23.01,54.16,0,19.15,22.65,15,9,7,20.2,10.83,25,13,19.92,36.67,0,41.67,41.67,36.67,36.33,109.99,41.02,49.14,11.89,20.75,11.9,29,12.29,7.31,7.78,28.76,20.75,26.56,164.08,0,7.76,4.58,1.54,-0,2,100.55,17.37,70.37,20.75,2,80.02,133.56,53.57,41.02,5.3,7.76,41.02

73,18:00-18:15,19.81,40.68,0,0,16.81,8,4,5,0,8.14,15,7,14.29,36.83,0,41.67,41.67,36.83,36.67,110.51,41.02,49.14,11.89,20.75,11.9,29,13.02,7.69,7.78,27.76,20.75,26.56,164.08,0,7.76,4.96,1.13,-0,1.46,100.55,17.37,70.37,20.75,1.46,93.28,133.56,53.57,41.02,5.3,11.06,41.02

74,18:15-18:30,21.61,29.35,0,0,12.05,5,3,3,0,5.87,10,5,8.91,36.67,0,41.67,41.67,36.67,35.67,109.99,41.02,49.14,11.89,20.75,11.9,29,13.02,7.69,7.78,27.76,20.75,26.56,164.08,0,7.76,4.96,0.78,-0,1.02,100.55,17.37,70.37,20.75,1.02,91.46,133.56,53.57,41.02,5.3,11.06,41.02

75,18:30-18:45,21.61,20.02,0,0,0.99,2,1,1,0,4,6,3,5.47,38.33,0,41.67,41.67,38.33,35,115.01,41.02,49.14,11.89,20.75,11.9,29,13.02,7.69,7.78,28.76,20.75,26.56,164.08,0,0,4.96,0,-0,0,100.55,17.37,63.47,20.75,0,91.11,133.56,53.57,41.02,5.3,11.06,41.02

76,18:45-19:00,21.01,12.78,0,0,0,1,1,1,0,2.56,3,1,2.47,38.33,0,41.67,41.67,38.33,34.33,115.01,41.02,69.09,11.89,20.75,11.9,29,13.02,7.69,7.78,28.76,20.75,26.56,164.08,0,0,4.96,0,-0,0,100.55,17.37,69.09,20.75,0,98.62,133.56,53.57,41.02,5.3,11.06,41.02

77,19:00-19:15,28.01,7.27,0,0,0,0,0,0,0,1.45,0,0,0.47,38,0,41.67,41.67,38,34,114,41.02,69.09,11.89,20.75,11.9,29,13.67,8.08,8.95,29.78,20.75,29,164.08,0,0,5.34,0,-0,0,100.55,28.96,77.6,20.75,0,98.62,133.56,53.57,41.02,5.3,11.06,41.02

78,19:15-19:30,29.01,2.76,0,0,0,0,0,0,0,0.55,0,0,0,37.33,0,41.67,41.67,37.33,33.33,112.01,41.02,69.09,11.89,20.75,11.9,29,13.67,8.08,8.95,29.78,20.75,29,164.08,0,0,5.34,0,-0,0,100.55,28.96,86.12,20.75,0,98.62,133.56,53.57,41.02,5.3,11.06,41.02

79,19:30-19:45,30.61,0,0,0,0,0,0,0,0,0,0,0,0,36.67,0,41.67,41.67,36.67,32.33,109.99,41.02,87.06,11.89,20.75,11.9,26.7,13.67,10.01,8.95,29.78,20.75,26.7,164.08,0,0,5.34,0,-0,0,100.55,28.96,94.63,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

80,19:45-20:00,32.41,0,0,0,0,0,0,0,0,0,0,0,0,36.17,0,41.67,41.67,36.17,32,108.49,41.02,87.06,11.89,20.75,11.9,26.7,13.67,10.01,8.95,29.78,20.75,26.7,164.08,0,0,5.34,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

81,20:00-20:15,33.61,0,0,0,0,0,0,0,0,0,0,0,0,32.17,0,41.67,41.67,32.17,27.33,96.49,41.02,87.06,11.89,20.75,11.9,26.61,14.41,10.01,9.34,29.78,20.75,26.61,0,0,0,6.55,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

82,20:15-20:30,35.01,0,0,0,0,0,0,0,0,0,0,0,0,30.5,0,41.67,41.67,30.5,26.33,91.5,41.02,87.06,11.89,20.75,11.9,26.61,14.41,10.01,9.34,29.78,20.75,26.61,0,0,0,6.55,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

83,20:30-20:45,35.21,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,41.67,41.67,35.2,30,105.6,41.02,87.06,11.89,20.75,11.9,29.5,14.41,10.39,9.34,29.78,20.75,19.5,0,0,0,6.55,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

84,20:45-21:00,36.01,0,0,0,0,0,0,0,0,0,0,0,0,33.8,0,41.67,41.67,33.8,30,101.4,41.02,87.06,11.89,20.75,11.9,29.5,14.41,10.39,9.34,28.76,20.75,19.5,0,0,0,6.55,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

85,21:00-21:15,36.82,0,0,0,0,0,0,0,0,0,0,0,0,32.6,0,41.67,41.67,32.6,28.33,97.8,41.02,87.06,11.89,20.75,11.9,29.5,15.7,10.39,9.34,29.77,20.75,19.5,0,91.69,0,6.74,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

86,21:15-21:30,36.42,0,0,0,0,0,0,0,0,0,0,0,0,31.6,0,41.67,41.67,31.6,28.33,94.8,41.02,87.06,11.89,20.75,11.9,29.5,15.7,10.39,9.34,29.77,20.75,19.5,0,94.59,0,6.74,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

87,21:30-21:45,33.21,0,0,0,0,0,0,0,0,0,0,0,0,30.6,0,41.67,41.67,30.6,28.33,91.8,41.02,87.06,11.89,20.75,11.9,29.5,15.7,10.39,9.73,29.77,20.75,19.5,0,99.42,0,6.74,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

88,21:45-22:00,33.21,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0,41.67,41.67,29.6,25,88.8,41.02,87.06,11.89,20.75,11.9,29.5,15.7,10.39,9.73,29.26,20.75,19.5,0,108.1,0,6.74,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

89,22:00-22:15,32.41,0,0,0,0,0,0,0,0,0,0,0,0,26.8,0,41.67,41.67,26.8,23.33,80.4,41.02,87.06,11.89,20.75,11.9,29.5,15.52,10.16,9.73,29.26,20.75,29.5,0,113.89,0,7.02,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

90,22:15-22:30,31.61,0,0,0,0,0,0,0,0,0,0,0,0,26.4,0,41.67,41.67,26.4,21.67,79.2,41.02,87.06,11.89,20.75,11.9,29.5,15.52,10.16,9.73,29.26,20.75,29.5,0,115.82,0,7.02,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

91,22:30-22:45,31.41,0,0,0,0,0,0,0,0,0,0,0,0,24.17,0,41.67,41.67,24.17,20,72.49,41.02,87.06,11.89,20.75,11.9,29.5,15.52,10.16,9.73,29.26,20.75,29.5,0,106.17,0,8.43,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

92,22:45-23:00,31.41,0,0,0,0,0,0,0,0,0,0,0,0,23.67,0,41.67,41.67,23.67,18.33,70.99,41.02,87.06,11.89,20.75,11.9,29.5,15.52,10.16,9.73,29.26,20.75,29.5,0,115.82,0,8.43,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

93,23:00-23:15,31.61,0,0,0,0,0,0,0,0,0,0,0,0,23.33,0,41.67,41.67,23.33,16.67,70.01,41.02,87.06,11.89,20.75,11.9,29.5,15.52,9.85,9.5,29.26,20.75,29.5,0,119.68,1.53,8.43,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

94,23:15-23:30,32.61,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,41.67,41.67,22.5,16.67,67.5,41.02,87.06,11.89,20.75,11.9,29.5,15.52,9.85,9.5,29.26,20.75,29.5,0,125.48,2.57,8.43,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

95,23:30-23:45,32.61,0,0,0,0,0,0,0,0,0,0,0,0,22,0,41.67,41.67,22,16.67,66,41.02,87.06,11.89,20.75,11.9,29.5,15.52,9.85,8.56,29.26,20.75,29.5,0,131.27,2.57,8.43,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

96,23:45-24:00,32.41,0,0,0,0,0,0,0,0,0,0,0,0,21.67,0,41.67,41.67,21.67,16.67,64.99,41.02,87.06,12.16,20.75,11.9,29.5,15.52,9.85,8.56,29.26,20.75,29.5,0,135.13,3.43,8.43,0,-0,0,100.55,28.96,115.78,20.75,0,130.59,133.56,53.57,41.02,7.08,15.34,41.02

