Column1,Block,NR/2024/22535/A/33269,NR/2024/22718/C,NR/2024/22534/A/33270,NR/2024/21658/A/33222,NR/2024/22715/C,NR/2024/21943/A/33519,NR/2024/21933/A/33209,NR/2024/22042/A/33192,NR/2024/21860/A/33470,NR/2024/21956/A/33522,NR/2024/21814/A/33534,NR/2024/22498/A/33501,NR/2024/21974/A/33533,NR/2024/21938/A/33482,NR/2024/21971/A/33531,NR/2024/22014/A/33193,NR/2024/21983/A/33208,NR/2024/21961/A/33481,NR/2024/21918/A/33487,NR/2024/22279/A/33189,NR/2024/21954/A/33520,NR/2024/21940/A/33521,GNA/NR/2024/08/22/7956,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21966/A/33420,NR/2024/21911/A/33457,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/jitpl,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/22739/C,NR/2024/22719/C,NR/2024/22720/C,NR/2024/22722/C,NR/2024/22743/C,NR/2024/21968/A/33529,NR/2024/22010/A/33503,NR/2024/21970/A/33530,NR/2024/22623/A/33268,GNA/NR/2024/08/22/6290,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),Total
60,14:45-15:00,8.79,6.13,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,24.0835,24.0835,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1349.7769999999998

61,15:00-15:15,8.88,4.41,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,24.0835,24.0835,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1348.1469999999997

62,15:15-15:30,8.88,4.94,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,24.0835,24.0835,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1348.677

63,15:30-15:45,8.98,7.15,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1302.82

64,15:45-16:00,8.88,6.27,42.49,0.97,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.14,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1301.84

65,16:00-16:15,7.63,5.51,42.49,0.82,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1300.4099999999999

66,16:15-16:30,6.28,5.42,39.79,0.82,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1296.27

67,16:30-16:45,1.74,5.08,33.9,0.82,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1285.5

68,16:45-17:00,2.12,3.65,27.14,0.82,241.42,38.63,24.14,3.86,48.28,24.14,0,21.25,37.3,0,37.3,1.93,48.28,0,90.78,4.83,24.07,84.19,0,0,0,0,96.57,96.57,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,0,12.44,0,0,1277.69

69,17:00-17:15,0,2.63,0,0.77,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,96.57,12.44,48.28,24.14,1247.3600000000001

70,17:15-17:30,0,1.89,0,0.77,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,96.57,12.44,48.28,24.14,1246.6200000000001

71,17:30-17:45,0,1.27,0,0.77,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,96.57,12.44,48.28,24.14,1246.0000000000002

72,17:45-18:00,0,0.98,0,0.77,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,11.72,12.44,12.55,0,96.57,12.44,48.28,24.14,1245.7100000000003

73,18:00-18:15,0,0.67,0,0.77,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,0,12.44,11.59,0,96.57,12.44,48.28,24.14,1232.72

74,18:15-18:30,0,0.38,0,0.77,241.42,38.63,0,3.86,48.28,24.14,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,0,12.44,11.59,0,96.57,12.44,48.28,24.14,1232.43

75,18:30-18:45,0,0.14,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,0,0,0,28.01,164.41,0,0,37.3,0,12.44,11.59,0,96.57,12.44,48.28,24.14,1251.51

76,18:45-19:00,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,0,21.25,0,96.57,0,0,16.87,24.68,0,30.5,0,0,28.01,164.41,0,0,37.3,0,12.44,11.59,0,96.57,12.44,48.28,24.14,1281.8700000000001

77,19:00-19:15,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

78,19:15-19:30,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

79,19:30-19:45,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

80,19:45-20:00,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

81,20:00-20:15,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

82,20:15-20:30,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

83,20:30-20:45,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

84,20:45-21:00,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,0,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1727.62

85,21:00-21:15,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1824.1899999999998

86,21:15-21:30,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1824.1899999999998

87,21:30-21:45,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1824.1899999999998

88,21:45-22:00,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,0,37.3,1.93,0,0,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,11.59,125.54,96.57,12.44,48.28,24.14,1824.1899999999998

89,22:00-22:15,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,10.62,125.54,96.57,12.44,48.28,24.14,1953.5899999999997

90,22:15-22:30,0,0,0,0.77,241.42,38.63,0,3.86,48.28,43.46,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,10.62,125.54,96.57,12.44,48.28,24.14,1953.5899999999997

91,22:30-22:45,0,0,0,0.77,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,9.66,125.54,96.57,12.44,48.28,24.14,1976.7700000000002

92,22:45-23:00,0,0,0,0.77,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,9.66,125.54,96.57,12.44,48.28,24.14,1976.7700000000002

93,23:00-23:15,0,0,0,0.72,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,9.66,125.54,96.57,12.44,48.28,24.14,1976.72

94,23:15-23:30,0,0,0,0.72,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,9.66,125.54,96.57,12.44,48.28,24.14,1976.72

95,23:30-23:45,0,0,0,0.72,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,9.66,125.54,96.57,12.44,48.28,24.14,1976.72

96,23:45-24:00,0,0,0,0.72,241.42,38.63,0,3.86,48.28,67.6,0,0,37.3,32.59,37.3,1.93,0,97.78,90.78,4.83,24.07,84.19,96.57,21.25,0,96.57,0,0,16.87,24.68,0,30.5,30.5,144.86,28.01,164.41,48.28,96.57,37.3,0,12.44,9.66,125.54,96.57,12.44,48.28,24.14,1976.72

