,,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,HIMACHAL PRADESH,MAHARASHTRA,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,NA,HIMACHAL PRADESH,GOA,MAHARASHTRA,NA,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,UTTARAKHAND,NA,DELHI,KERALA,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,KARNATAKA,KERALA,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,WEST BENGAL,NA,NA,GOA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,MAHARASHTRA,TAMIL NADU,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,DELHI,
,,B_S_ISPAT_MH,HP,GBHHPL,SHPPBPL,Meghalaya_Ben,KWHEP,CHANJUII,B_S_ISPAT_MH,ITCWIND,SHPPBPL,Meghalaya_Ben,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,JPL-2,SHPPBPL,GOA_Beneficiary,TPC MSEB,JPNIGRIE_JNSTPP,SHPPBPL,TANGEDCO,LAPL-UP,UTTARAKHAND,SKS Raigarh,BYPL,KSEB,SHPPBPL,HP,JP BINA,NSLSUGAR,KSEB,HP,Meghalaya_Ben,HP,IPCL_WB,JPL-2,KAMENG,GOA_Beneficiary,SKS Raigarh,SHPPBPL,ITCWIND,LMEL MSEB,TANGEDCO,GBHHPL,KAMENG,SHPPBPL,SHPPBPL,SORANG_HEP,TS1PL_BKN,SOLAPUR_SOLAR,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,NDMC,BYPL,DIAPL,MHIL,BYPL,BRPL,TPDDL,NDMC,ITCLH,AISHER,BYPL,BAL224,BRPL,BYPL,BRPL,BMDRC,BRPL,BYPL,TPDDL,MAX-HPTL,BRPL,BYPL,BYPL,NDMC,ASIL_UP,BYPL,UHL,BRPL,BRPL,MES (Delhi),BRPL,BRPL,BYPL,BRPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,BAL184,ITCLH,BYPL,BYPL,DIAPL,BRPL,BAL234,JHPL-DL,TPDDL,BYPL,MES (Delhi),BYPL,BRPL,BRPL,VLSEZ,
,,West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,North-North,West-North,North East-East-North,West-North,North-North,West-East-North,West-North,West-North,North-North,South-West-North,North-North,North-North,West-East-North,North-North,South-East-North,North-North,North-North,West-North,South-West-North,South-East-North,North-North,North East-East-North,North-North,East-North,West-North,North East-East-North,West-North,West-North,North-North,South-East-North,West-North,South-West-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,North-North,North-East,
80,19:45-20:00,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.400000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.980000,0.000000,66.520000,48.270000,0.980000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1528.52

81,20:00-20:15,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1528.55

82,20:15-20:30,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1528.55

83,20:30-20:45,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1528.55

84,20:45-21:00,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,48.270000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1528.55

85,21:00-21:15,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,91.710000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1571.99

86,21:15-21:30,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,91.710000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1571.99

87,21:30-21:45,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.780000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,91.710000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1571.99

88,21:45-22:00,6.760000,0.000000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.920000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,0.000000,0.000000,48.270000,0.000000,0.000000,14.240000,0.610000,0.000000,42.470000,4.830000,15.820000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.000000,0.000000,91.710000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1572.03

89,22:00-22:15,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.490000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,0.000000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.420000,0.000000,91.710000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1990.9

90,22:15-22:30,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.490000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,0.000000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.420000,0.000000,91.710000,2.900000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1990.9

91,22:30-22:45,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.490000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,0.000000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.420000,0.000000,91.710000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1989.93

92,22:45-23:00,6.760000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.000000,0.490000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,0.000000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,62.750000,0.380000,0.420000,0.000000,91.710000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1989.93

93,23:00-23:15,6.540000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.220000,0.000000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,2.040000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,60.710000,0.380000,0.870000,0.000000,91.710000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1989.89

94,23:15-23:30,6.540000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.220000,0.000000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,2.040000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,60.710000,0.380000,0.870000,0.000000,91.710000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1989.89

95,23:30-23:45,6.540000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.220000,0.000000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,2.040000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,60.710000,0.380000,0.870000,0.000000,91.710000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1989.89

96,23:45-24:00,6.540000,33.310000,3.860000,0.610000,22.200000,21.530000,19.590000,0.220000,0.000000,0.970000,24.140000,0.520000,84.940000,36.420000,257.760000,0.930000,0.000000,66.520000,48.270000,0.870000,23.100000,0.000000,48.270000,2.040000,0.000000,83.020000,0.610000,77.710000,42.470000,4.830000,231.800000,77.230000,62.990000,141.910000,0.000000,193.080000,147.460000,0.000000,60.710000,0.380000,0.870000,0.000000,91.710000,1.930000,21.240000,0.950000,1.010000,45.370000,0,0,0,0,0,0.000000,1989.89

