Time,Block,NR/01102023/02012046/L_NR_2021_17,NR/2024/21752/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21089/A/28362,NR/2024/21113/A/28361,NR/2024/21210/A/28088,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21152/A/28055,NR/2024/21144/A/28139,NR/2024/21072/A/28363,NR/2024/21763/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/30092023/31122025/SH-07,NR/2024/20931/A/28316,NR/2024/21754/C,NR/2024/21099/A/28091,NR/2024/21150/A/28149,NR/2024/21146/A/28152,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21694/A/28378,NR/2024/21141/A/28090,NR/2024/21567/A/28360,NR/22072024/22072024/IEX_240721_01662,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/20688/A/28268,NR/2024/21087/A/28266,NR/2024/21160/A/28153,NR/2024/20711/A/28442,NR/2024/21238/A/28405,NR/2024/21199/A/28111,NR/2024/21076/A/28399,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/R2,NR/22072024/22072024/IEX_240721_01661,NR/2024/21156/A/28147,NR/30092023/26122029/SH-06,NR/2024/21183/A/28400,NR/2024/21108/A/28385,NR/2024/21764/C,NR/2024/20574/A/28352,NR/2024/21339/A/28083,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21173/A/28267,NR/2024/21159/A/28154,NR/2024/21148/A/28148,NR/2024/21103/A/28387,NR/2024/21153/A/28146,NR/2024/21023/A/28112,NR/2024/21096/A/28388,NR/2024/20573/A/28353,NR/2024/21142/A/28089,NR/2024/21062/A/28348,NR/2024/19779/A/28050,NR/2024/21227/A/28386,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/20966/A/28056,NR/2024/21682/A/28441,NR/2024/21715/A/28273,NR/2024/21075/A/28403,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21158/A/28155,NR/2024/21186/A/28372,Total
29,07:00-07:15,0,0.87,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.770000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1695.57

30,07:15-07:30,0,0.85,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.770000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1695.55

31,07:30-07:45,0,1.02,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.770000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1695.72

32,07:45:08:00,0,1.31,0,0.000000,13.170000,37.260000,37.260000,48.230000,96.460000,1.930000,0.480000,37.260000,0.000000,48.230000,1.350000,0.000000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,72.340000,66.740000,24.120000,0.970000,96.460000,2.890000,0.000000,90.670000,0.000000,24.120000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,0.000000,96.460000,24.120000,0.880000,0.520000,84.090000,1.590000,0.000000,24.120000,0.000000,48.230000,0.000000,0.770000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1696.01

33,08:00-08:15,0,1.54,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,1.350000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1696.43

34,08:15-08:30,0,1.75,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,1.350000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1696.64

35,08:30-08:45,0,1.9,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,1.350000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1696.79

36,08:45:09:00,0,2.18,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,1.350000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,32.000000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,8.680000,11.720000,15.140000,0.680000,48.230000,1697.07

37,09:00:09:15,0,1.89,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,9.650000,11.720000,15.140000,0.680000,48.230000,1697.74

38,09:15-09:30,0,2.39,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,9.650000,11.720000,15.140000,0.680000,48.230000,1698.24

39,09:30-09:45,0,2.94,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,11.580000,11.720000,15.140000,0.680000,48.230000,1700.72

40,09:45-10:00,0,2.66,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,11.580000,11.720000,15.140000,0.680000,48.230000,1700.44

41,10:00-10:15,0,2.88,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,11.580000,11.720000,15.140000,0.680000,48.230000,1700.66

42,10:15-10:30,0,4.13,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,11.580000,11.720000,15.140000,0.680000,48.230000,1701.91

43,10:30-10:45,0,3.99,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1702.73

44,10:45-11:00,0,2.32,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1701.06

45,11:00-11:15,0,3.6,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1702.34

46,11:15-11:30,0,3.92,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,16.670000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,16.670000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1702.66

47,11:30-11:45,0,3.08,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1719.14

48,11:45-12:00,0,4.47,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1720.53

49,12:00-12:15,0,3.4,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1719.46

50,12:15-12:30,0,4.02,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1720.08

51,12:30-12:45,0,4.11,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1720.17

52,12:45-13:00,0,3.91,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1719.97

53,13:00-13:15,0,3.78,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1719.84

54,13:15-13:30,0,3.59,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1719.65

55,13:30-13:45,0,3.42,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1719.48

56,13:45-14:00,0,3.28,0,0.000000,13.170000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1719.34

57,14:00-14:15,0,3.01,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1718.33

58,14:15-14:30,0,3.12,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1718.44

59,14:30-14:45,0,3.18,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1718.5

60,14:45-15:00,0,3.47,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1718.79

61,15:00-15:15,0,3.03,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1718.35

62,15:15-15:30,0,2.81,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1718.13

63,15:30-15:45,0,2.19,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1717.51

64,15:45-16:00,0,2.68,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,25.330000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,25.330000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.960000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1718

65,16:00-16:15,0,2.52,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,19.030000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,19.030000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1705.1

66,16:15-16:30,0,2.72,0,0.000000,12.430000,37.260000,37.260000,48.230000,0.000000,1.930000,0.480000,37.260000,0.000000,0.000000,19.030000,48.230000,164.220000,24.120000,0.880000,0.360000,0.000000,12.420000,0.000000,0.000000,7.230000,0.000000,0.000000,66.740000,24.120000,0.970000,96.460000,2.890000,72.340000,90.670000,0.000000,0.000000,0.000000,0.610000,19.030000,21.220000,24.040000,96.460000,0.000000,96.460000,0.000000,24.120000,0.880000,0.520000,84.090000,1.590000,96.460000,24.120000,0.000000,48.230000,24.120000,0.820000,0.000000,0.000000,4.820000,241.150000,12.540000,11.720000,15.140000,0.680000,48.230000,1705.3

