Block,Time,DADRI_RF,AURY_GF,UNCHAHAR4,AURY_CRF,URI2,AURY_LF,RAPPC,TANAKPUR,JHAJJAR,DHAULIGNGA,ANTA_GF,ANTA_CRF,TANDA2,ANTA_RF,AURY_RF,RAMPUR,TEHRI,DULHASTI,DADRI_GF,BSIUL,ANTA_LF,NJPC,CHAMERA1,KOLDAM,CHAMERA3,RIHAND1,KISHANGANGA,DADRI_CRF,SEWA2,SALAL,UNCHAHAR1,RAPPB,URI,DADRI_LF,RIHAND3,NAPP,UNCHAHAR2,SINGRAULI,KOTESHWR,PARBATI3,UNCHAHAR3,DADRT2,CHAMERA2,KUDGI,KHSTPP-II,BRBCL,KHSTPP-I,FSTPP I & II,TALA,SASAN,RIHAND2,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
31,07:30-07:45,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,11.763039,342.214552,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,90.438576,27.108297,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,11.470544,0.000000,46.953562,0.000000,119.535193,38.918796,28.403348,99.680625,8.577608,0.000000,14.103177,591.885814,18.038689,24.26,142.588603,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

32,07:45:08:00,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,11.763039,345.012224,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,82.383318,27.108297,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,11.561303,0.000000,46.953562,0.000000,119.535193,38.918796,28.403348,99.680625,8.577608,0.000000,14.103177,572.553814,18.038689,27.55,142.588603,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

33,08:00-08:15,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,11.763039,344.599474,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,59.499063,13.515968,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,34.818865,11.438547,0.000000,14.939770,0.000000,119.535193,38.918796,22.828869,99.680625,8.577608,3.076204,12.490211,512.298000,18.038689,29.38,113.704572,16.992838,22.757266,8.800506,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

34,08:15-08:30,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,11.763039,344.599474,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,76.725054,11.438547,0.000000,13.872643,0.000000,119.535193,38.918796,22.828869,99.680625,8.577608,7.382891,12.490211,463.968000,18.038689,30.74,113.344386,16.992838,19.456788,8.800506,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

35,08:30-08:45,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,11.763039,344.599474,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,76.725054,11.438547,0.000000,13.872643,0.000000,119.535193,38.918796,22.828869,99.680625,8.577608,47.412925,12.490211,463.968000,18.038689,31.70,113.344386,16.992838,19.456788,8.800506,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

36,08:45:09:00,0.000000,0.000000,0.000000,0.000000,13.002703,0.000000,49.309939,11.763039,344.599474,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,76.725054,11.438547,0.000000,13.872643,0.000000,119.535193,38.918796,22.828869,99.680625,8.577608,47.412925,12.490211,416.151125,18.038689,32.67,113.344386,16.992838,19.456788,8.800506,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

37,09:00:09:15,0.000000,0.000000,0.000000,0.000000,13.002703,0.000000,49.309939,11.763039,342.797786,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,76.725054,6.766200,0.000000,12.805517,0.000000,119.535193,38.918796,22.828869,99.680625,8.577608,47.412925,9.101625,415.638000,9.019345,20.59,113.344386,16.992838,19.456788,8.800506,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

38,09:15-09:30,0.000000,0.000000,0.000000,0.000000,13.002703,0.000000,49.309939,11.763039,342.797786,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,50.543514,6.766200,0.000000,12.805517,0.000000,119.535193,38.918796,22.828869,99.680625,8.577608,47.412925,9.101625,415.638000,9.019345,14.31,113.344386,16.992838,19.456788,8.800506,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

39,09:30-09:45,0.000000,0.000000,0.000000,0.000000,11.052298,0.000000,49.309939,11.763039,344.599474,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,6.303005,0.000000,43.937770,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,11.444354,0.000000,12.805517,0.000000,119.535193,38.918796,22.828869,99.680625,8.577608,47.412925,13.211468,415.638000,9.019345,17.21,113.344386,16.992838,19.456788,8.800506,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

