Column1,Block,NR/2025/24911/C,NR/2025/24912/C,NER/2024/2820/A/49830,NR/2024/24507/A/49876,NR/2025/24913/C,NR/2025/24837/A/49793,NR/2024/24434/A/49536,NR/2025/24839/A/49798,NR/2025/24838/A/49795,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/6775,NR/2024/24435/A/49535,NR/2025/24905/C,NR/2025/24907/C,NR/2025/24908/C,WR/2024/25501/A/49831,NR/2024/24418/A/49526,NR/2024/24508/A/49875,NR/2024/24566/A/49527,Total
92,22:45-23:00,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,36.4,0,0,14.37,47.9,47.9,1.55,47.9,36.4,16.29,0,0,0,38.32,0.48,8.71,5.75,537.16

93,23:00-23:15,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,33.53,0,0,14.37,47.9,47.9,1.55,47.9,33.53,16.29,0,0,0,38.32,0.48,8.71,5.75,531.4200000000001

94,23:15-23:30,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,33.53,0,0,14.37,47.9,47.9,1.55,47.9,33.53,16.29,0,0,0,38.32,0.48,8.71,5.75,531.4200000000001

95,23:30-23:45,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,33.53,0,0,14.37,47.9,47.9,1.55,47.9,33.53,16.29,0,0,0,38.32,0.48,8.71,5.75,531.4200000000001

96,23:45-24:00,0,0,0,17.24,0,0,0,0,0,30,50,26.82,0,20.12,19.16,43.11,28.74,33.53,0,0,14.37,47.9,47.9,1.55,47.9,33.53,16.29,0,0,0,38.32,0.48,8.71,5.75,531.4200000000001

