Column1,Block,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/4138,NR/2025/26199/A/68443,NR/2025/25855/A/68378,NR/2025/26200/A/68442,NR/2025/26101/A/68151,NR/2025/26286/A/68348,NR/2025/26153/A/67997,NR/2025/26312/A/68388,NR/2025/26265/A/68408,NR/2025/26197/A/68445,NR/2025/26291/A/68406,NR/2025/26202/A/68464,NR/2025/26191/A/68134,NR/2025/26085/A/67993,NR/2025/26198/A/68444,NR/2025/26233/A/68409,NR/2025/26201/A/68441,NR/2025/25858/A/68377,NR/2025/26232/A/68410,NR/2025/26002/A/68370,NR/2025/26289/A/68407,NR/2025/26372/C,NR/2025/26386/C,NR/2025/26362/C,NR/2025/26389/C,GNARE/NR/2024/12/20/3668,NR/2025/26395/C,NR/2025/26409/C,NR/2025/26396/C,NR/2025/26394/C,NR/2025/26388/C,NR/2025/26397/C,NR/2025/26406/C,NR/2025/26390/C,NR/2025/26391/C,NR/2025/26399/C,NR/2025/26402/C,NR/2025/26236/A/67996,NR/2025/26363/C,Total
52,12:45-13:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.41,26.95,0,43.78,0,14.59,0,4.82,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,100,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1903.4299999999998

53,13:00-13:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.23,26.95,0,43.78,0,14.59,0,5.78,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,96.94,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1901.15

54,13:15-13:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.23,26.95,0,43.78,0,14.59,0,5.78,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,93.24,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1897.45

55,13:30-13:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.23,26.95,0,43.78,0,14.59,0,5.78,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,89.99,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1894.2

56,13:45-14:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.23,26.95,0,43.78,0,14.59,0,5.78,62.61,0,0,14.59,0,32.87,48.16,0.96,43.78,0,37.22,0,0,0,0,211.93,0,134.86,4.82,87.13,0,0,0,96.33,38.53,48.16,63.46,4.82,24.08,0,52.98,13.49,195.55,1891.34

57,14:00-14:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,17.69,0,0,33.72,5.78,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,192.66,0,134.86,4.82,83.49,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,11.56,195.55,2010.7399999999998

58,14:15-14:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,17.69,0,0,33.72,6.74,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,192.66,0,134.86,4.82,80.12,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,11.56,195.55,2008.33

59,14:30-14:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,17.69,0,0,33.72,6.74,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,163.76,0,134.86,4.82,66.67,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,11.56,188.81,1959.2399999999998

60,14:45-15:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,17.69,0,0,33.72,6.74,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,163.76,0,134.86,4.82,63.33,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,11.56,179.17,1946.2599999999998

61,15:00-15:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.68,26.95,0,17.69,0,0,33.72,7.71,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,163.76,0,134.86,4.82,66,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,8.67,155.09,1922.6499999999999

62,15:15-15:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.68,26.95,0,17.69,0,0,33.72,7.71,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,115.6,0,134.86,4.82,62.45,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,8.67,145.46,1861.3099999999997

63,15:30-15:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.68,26.95,0,17.69,0,0,33.72,7.71,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,115.6,0,134.86,4.82,61.32,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,8.67,141.61,1856.3299999999995

64,15:45-16:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.68,26.95,0,17.69,0,0,33.72,7.71,62.61,0,0,14.59,0,0,48.16,0.96,43.78,0,0,110.78,0,0,0,115.6,0,134.86,4.82,57.05,26.1,0,14.59,96.33,38.53,48.16,96.33,4.82,24.08,37.22,52.98,8.67,128.12,1838.5699999999997

65,16:00-16:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,43.78,0,14.59,33.72,7.71,62.61,52.98,96.33,14.59,24.08,96.33,48.16,0.82,43.78,4.82,37.22,110.78,4.82,0,48.16,67.43,0,134.86,0,52.48,0,0,0,0,42.39,0,0,0,0,0,0,5.78,114.63,1773.4400000000005

66,16:15-16:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,43.78,0,14.59,33.72,7.71,62.61,52.98,96.33,14.59,24.08,96.33,48.16,0.82,43.78,4.82,37.22,110.78,4.82,0,48.16,67.43,0,134.86,0,47.92,0,0,0,0,42.39,0,0,0,0,0,0,5.78,101.15,1755.4000000000005

67,16:30-16:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,43.78,0,14.59,33.72,8.67,62.61,52.98,96.33,14.59,24.08,96.33,48.16,0.82,43.78,4.82,37.22,110.78,4.82,0,48.16,67.43,0,134.86,0,47.69,0,0,0,0,42.39,0,0,0,0,0,0,5.78,87.66,1742.6400000000006

68,16:45-17:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,9.96,26.95,0,43.78,0,14.59,33.72,8.67,62.61,52.98,96.33,14.59,24.08,96.33,48.16,0.82,43.78,4.82,37.22,110.78,4.82,0,48.16,0,0,134.86,0,42.67,0,0,0,0,42.39,0,0,0,0,0,0,5.78,74.17,1656.7000000000003

69,17:00-17:15,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.41,26.95,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,0,48.16,0,51.03,134.86,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,60.69,1587.5300000000004

70,17:15-17:30,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,10.41,26.95,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,0,48.16,0,51.03,134.86,0,30.92,0,0,0,0,0,0,0,0,0,0,0,0,47.2,1568.1600000000005

71,17:30-17:45,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,11.34,26.95,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,0,48.16,0,102.04,134.86,0,10,0,0,0,0,0,0,0,0,0,0,0,0,33.72,1585.7000000000005

72,17:45-18:00,28.95,28.9,163.76,163.76,0,0,0,0,122.82,13.49,10.6,0,0,0,14.45,26.95,11.34,26.95,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,0,48.16,0,102.04,134.86,0,10,0,0,0,0,0,0,0,0,0,0,0,0,17.34,1569.3200000000004

73,18:00-18:15,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,25.7,12.26,29.5,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,163.76,48.16,0,162.35,134.86,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6.74,1762.86

74,18:15-18:30,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,25.7,12.26,29.5,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,163.76,48.16,0,162.35,134.86,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,3.85,1758.2999999999997

75,18:30-18:45,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,25.7,12.26,29.5,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,163.76,48.16,0,162.35,134.86,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1751.3

76,18:45-19:00,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,25.7,12.26,29.5,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.67,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1903.8700000000001

77,19:00-19:15,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,13.19,29.5,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.72,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0.69,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1955.8

78,19:15-19:30,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,13.19,29.5,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.72,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1955.11

79,19:30-19:45,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,13.19,29.5,0,43.78,0,14.59,33.72,8.67,62.61,0,96.33,14.59,24.08,96.33,48.16,0.72,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1955.11

80,19:45-20:00,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,13.19,29.5,0,43.78,0,14.59,33.72,7.71,62.61,0,96.33,14.59,24.08,96.33,48.16,0.72,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1954.1500000000003

81,20:00-20:15,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,12.54,29.5,0,43.78,0,14.59,33.72,7.71,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1953.55

82,20:15-20:30,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,12.54,29.5,0,43.78,0,14.59,33.72,7.71,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1953.55

83,20:30-20:45,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,12.54,29.5,0,43.78,0,14.59,33.72,7.71,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1953.55

84,20:45-21:00,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,12.54,29.5,0,43.78,0,14.59,33.72,6.74,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,162.35,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1952.5800000000002

85,21:00-21:15,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,12.45,29.5,0,43.78,0,14.59,33.72,6.74,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,108.24,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1898.3800000000003

86,21:15-21:30,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,12.45,29.5,0,43.78,0,14.59,33.72,6.74,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1841.1700000000003

87,21:30-21:45,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.43,29.5,0,43.78,0,14.59,33.72,6.74,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1840.1499999999999

88,21:45-22:00,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.43,29.5,0,43.78,0,14.59,33.72,6.74,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1840.1499999999999

89,22:00-22:15,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.25,29.5,0,43.78,0,14.59,33.72,5.78,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1839.01

90,22:15-22:30,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.25,29.5,0,43.78,0,14.59,33.72,5.78,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,156.05,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1839.01

91,22:30-22:45,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.25,24.09,0,43.78,0,14.59,33.72,5.78,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1775.8100000000002

92,22:45-23:00,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.25,24.09,0,43.78,0,14.59,33.72,5.78,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1775.8100000000002

93,23:00-23:15,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.16,24.09,0,43.78,0,14.59,33.72,5.78,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1775.72

94,23:15-23:30,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.16,24.09,0,43.78,0,14.59,33.72,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1774.76

95,23:30-23:45,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.16,24.09,0,43.78,0,14.59,33.72,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1774.76

96,23:45-24:00,28.95,28.9,163.76,0,67.43,28.9,19.27,0,122.82,13.49,10.6,14.45,5.78,5.78,14.45,29.5,11.16,24.09,0,43.78,0,14.59,33.72,4.82,62.61,0,96.33,14.59,24.08,96.33,48.16,0.77,43.78,4.82,37.22,110.78,4.82,163.76,48.16,98.26,51.03,134.86,0,0,0,48.16,0,0,0,0,0,0,0,0,0,0,0,1774.76

