Time,Block,NR/2023/12814/F,NR/2023/11712/A,NR/2023/11266/A,NR/2023/12921/F,NR/2023/12872/F,NR/2023/11709/A,NR/2023/10432/A,NR/2023/13683/D,NR/2023/12923/F,NR/2023/10460/A,NR/2023/10651/A,NR/2023/10959/A,NR/2023/13686/D,NR/2023/12916/F,NR/2023/10436/A,NR/2023/12917/F,NR/2023/13369/F,NR/2023/12915/F,NR/2023/11507/A,NR/2023/13685/D,NR/2023/12169/A,NR/2023/13698/C,NR/2023/12924/F,NR/2023/10786/A,NR/2023/13315/F,NR/2023/12920/F,NR/2023/13053/F,NR/2023/12919/F,NR/2023/10705/A,NR/2023/10956/A,NR/2023/12706/A,NR/2023/10947/A,NR/2023/10435/A,NR/2023/10488/A,NR/2023/11953/A,NR/2023/10650/A,NR/2023/12813/F,NR/2023/12661/A,NR/2023/10720/A,NR/2023/13710/C,NR/2023/12922/F,NR/2023/11888/A,NR/2023/13053/F/II,ER/2023/8416/C,NR/2023/13693/D,NR/2023/13687/D,NR/2023/13684/D,WR/2023/16322/C,Total
45,11:00-11:15,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,0.000000,7.620000,0.000000,100.000000,126.18,54.08,6.97,0.000000,1702.9

46,11:15-11:30,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,0.000000,7.620000,0.000000,100.000000,126.18,54.08,7.84,0.000000,1703.77

47,11:30-11:45,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,0.000000,7.620000,0.000000,100.000000,126.18,54.08,8.9,0.000000,1704.83

48,11:45-12:00,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,0.000000,7.620000,0.000000,100.000000,126.18,54.08,8.9,0.000000,1704.83

49,12:00-12:15,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,0.000000,7.620000,0.000000,50.000000,126.18,54.08,9.19,0.000000,1655.12

50,12:15-12:30,85.640000,64.350000,74.820000,0.000000,0.970000,0.000000,43.550000,8.230000,0.000000,23.220000,63.140000,25.040000,110.240000,0.000000,24.190000,0.000000,24.190000,0.000000,300.460000,58.060000,0.000000,37.710000,0.000000,90.960000,4.840000,0.000000,24.190000,0.000000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,0.000000,7.620000,0.000000,50.000000,126.18,54.08,9.58,0.000000,1655.51

51,12:30-12:45,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,90.960000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,1.020000,7.620000,0.000000,50.000000,126.18,54.08,9.1,0.000000,1662.01

52,12:45-13:00,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,90.960000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,1.020000,7.620000,0.000000,50.000000,126.18,54.08,9.1,0.000000,1662.01

53,13:00-13:15,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,90.960000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,1.020000,7.620000,0.000000,50.000000,126.18,54.08,9.19,0.000000,1662.1

54,13:15-13:30,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,90.960000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,1.020000,7.620000,0.000000,50.000000,126.18,54.08,9,0.000000,1661.91

55,13:30-13:45,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,90.960000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,1.020000,7.620000,0.000000,50.000000,123.04,52.73,9,0.000000,1657.42

56,13:45-14:00,85.640000,64.350000,74.820000,0.980000,0.970000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,90.960000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.890000,1.020000,7.620000,0.000000,50.000000,118,50.57,9,0.000000,1650.22

57,14:00-14:15,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,111.34,47.71,8.71,0.000000,1628.97

58,14:15-14:30,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,103.13,44.2,8.71,0.000000,1617.25

59,14:30-14:45,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,94.69,40.58,8.85,0.000000,1605.33

60,14:45-15:00,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,37.710000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,86.73,37.17,8.47,0.000000,1593.58

61,15:00-15:15,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,79.45,34.05,7.84,0.000000,1583.57

62,15:15-15:30,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,72.26,30.97,6.97,0.000000,1572.43

63,15:30-15:45,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,64.96,27.84,5.81,0.000000,1560.84

64,15:45-16:00,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,58.3,24.99,5.32,0.000000,1550.84

65,16:00-16:15,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,53.92,23.11,5.23,0.000000,1544.49

66,16:15-16:30,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,51.34,22,4.35,0.000000,1539.92

67,16:30-16:45,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,48.36,20.72,4.35,0.000000,1535.66

68,16:45-17:00,85.640000,64.350000,74.820000,0.980000,0.970000,23.170000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,24.190000,0.370000,300.460000,58.060000,0.000000,38.730000,0.610000,106.450000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.790000,1.020000,7.620000,0.000000,0.000000,44.64,19.13,2.03,0.000000,1528.03

69,17:00-17:15,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,38.730000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,0.000000,39.73,17.02,1.94,0.000000,1367.02

70,17:15-17:30,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,38.730000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,0.000000,33.79,14.48,1.45,0.000000,1358.05

71,17:30-17:45,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,38.730000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,0.000000,27.79,11.91,1.16,0.000000,1349.19

72,17:45-18:00,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,8.230000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,38.730000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.800000,100.160000,6.770000,0.000000,24.190000,48.380000,0.000000,7.740000,62.900000,38.710000,23.710000,15.990000,1.020000,7.620000,0.000000,0.000000,22.27,9.54,0.68,0.000000,1340.82

73,18:00-18:15,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,0.000000,17.37,7.44,0.39,0.000000,1399.65

74,18:15-18:30,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,0.000000,12.94,5.54,0,0.000000,1392.93

75,18:30-18:45,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,0.000000,9.01,3.86,0,0.000000,1387.32

76,18:45-19:00,85.640000,64.350000,74.820000,0.980000,0.680000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.170000,1.020000,7.620000,0.000000,0.000000,5.82,2.5,0,0.000000,1382.77

77,19:00-19:15,85.640000,64.350000,74.820000,0.980000,0.730000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.350000,1.020000,7.620000,0.000000,0.000000,3.22,1.38,0,0.000000,1379.28

78,19:15-19:30,85.640000,64.350000,74.820000,0.980000,0.730000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.350000,1.020000,7.620000,0.000000,0.000000,1.35,0.58,0,0.000000,1376.61

79,19:30-19:45,85.640000,64.350000,74.820000,0.980000,0.730000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.350000,1.020000,7.620000,0.000000,0.000000,0.27,0.12,0,0.000000,1375.07

80,19:45-20:00,85.640000,64.350000,74.820000,0.980000,0.730000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,37.710000,0.610000,48.380000,4.840000,0.980000,24.190000,0.970000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.350000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1374.68

81,20:00-20:15,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,48.380000,4.840000,0.930000,24.190000,0.920000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1373.74

82,20:15-20:30,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,48.380000,4.840000,0.930000,24.190000,0.920000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1373.74

83,20:30-20:45,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,48.380000,4.840000,0.930000,24.190000,0.920000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1373.74

84,20:45-21:00,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,48.380000,4.840000,0.930000,24.190000,0.920000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.540000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1373.74

85,21:00-21:15,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1417.47

86,21:15-21:30,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1417.47

87,21:30-21:45,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,15.820000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1417.47

88,21:45-22:00,85.640000,64.350000,74.820000,0.930000,0.770000,0.000000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,0.000000,36.690000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,15.860000,100.160000,6.770000,0.000000,24.190000,48.380000,36.510000,14.270000,62.900000,38.710000,23.710000,16.720000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1417.51

89,22:00-22:15,85.640000,64.350000,74.820000,0.930000,0.730000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.910000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1802.66

90,22:15-22:30,85.640000,64.350000,74.820000,0.930000,0.730000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.910000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1802.66

91,22:30-22:45,85.640000,64.350000,74.820000,0.930000,0.730000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.910000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1802.66

92,22:45-23:00,85.640000,64.350000,74.820000,0.930000,0.730000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,142.370000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,16.910000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1802.66

93,23:00-23:15,85.640000,64.350000,74.820000,0.930000,0.630000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,17.000000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1770.52

94,23:15-23:30,85.640000,64.350000,74.820000,0.930000,0.630000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,17.000000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1770.52

95,23:30-23:45,85.640000,64.350000,74.820000,0.930000,0.630000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,17.000000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1770.52

96,23:45-24:00,85.640000,64.350000,74.820000,0.930000,0.630000,23.170000,43.550000,0.000000,0.610000,23.220000,63.140000,25.040000,110.240000,0.520000,24.190000,0.920000,0.000000,0.370000,300.460000,9.680000,54.190000,35.670000,0.610000,91.930000,4.840000,0.930000,24.190000,0.920000,232.350000,100.160000,6.770000,23.220000,24.190000,48.380000,36.510000,83.220000,62.900000,38.710000,23.710000,17.000000,1.020000,7.620000,0.000000,0.000000,0,0,0,0.000000,1770.52

