Column1,Block,NR/2025/30334/A/87707,NR/2025/31137/A/88243,NR/2025/31137/A/88244,NR/2025/31138/A/88245,NR/2025/31136/A/88242,NR/2025/31388/C,NR/2025/31136/A/88241,NR/2025/31132/A/87909,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8230,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/1192,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/2997,NR/2025/29992/A/87845,NR/2025/29915/A/88078,NR/2025/28725/A/88214,NR/2025/31375/C,NR/2025/27978/A/88254,NR/2025/31376/C,NR/2025/31336/C,NR/2025/31352/C,NR/2025/29352/A/87755,NR/2025/26975/A/88175,NR/2025/31372/C,NR/2025/27962/A/88333,NR/2025/29440/A/87762,NR/2025/30101/A/88252,NR/2025/30086/A/88159,NR/2025/31126/A/87848,NR/2025/29628/A/88172,NR/2025/29353/A/87754,NR/2025/30191/A/87706,NR/2025/31324/C,NR/2025/30822/A/87841,NR/2025/31338/C,NR/2025/30121/A/87704,NR/2025/31393/C,NR/2025/29167/A/88080,NR/2025/31395/C,NR/2025/30105/A/88155,NR/2025/30217/A/88154,NR/2025/30067/A/88298,NR/2025/27970/A/88337,NR/2025/29439/A/87844,NR/2025/31361/C,NR/2025/27968/A/88336,NR/2025/31377/C,NR/2025/30084/A/88163,NR/2025/31362/C,NR/2025/27964/A/88335,NR/2025/31373/C,NR/2025/31378/C,NR/2025/31389/C,NR/2025/31391/C,NR/2025/30082/A/88240,NR/2025/29910/A/88170,NR/2025/31363/C,NR/2025/27963/A/88334,NR/2025/31379/C,NR/2025/30083/A/88166,NR/2025/31200/A/87901,NR/2025/31297/C,NR/2025/31296/C,NR/2025/31138/A/88246,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/87842,NR/2025/31395/C/Alternate/1,Total
38,09:15-09:30,5.35,0.19,0.1,0.19,0.19,3.02,0.38,0,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,61.38,112,0,1798.8499999999997

39,09:30-09:45,5.71,0.19,0.1,0.19,0.29,3.26,0.48,0,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,66.72,123,0,1815.9899999999998

40,09:45-10:00,6.05,0.29,0.1,0.19,0.29,3.49,0.48,0,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,72.09,133,0,1832.0299999999995

41,10:00-10:15,6.36,0.38,0.1,0.19,0.29,3.7,0.58,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,76.32,144,0,1849.4099999999996

42,10:15-10:30,6.51,0.38,0.19,0.19,0.29,3.82,0.48,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,80.55,151,0,1860.8999999999996

43,10:30-10:45,5.25,0.38,0.1,0.19,0.29,3.92,0.48,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,84.78,161,0,1873.8799999999997

44,10:45-11:00,5.25,0.29,0.1,0.38,0.19,3.92,0.48,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.48,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,88.06,172,0,1888.1599999999996

45,11:00-11:15,5.25,0.29,0.1,0.38,0.19,3.92,0.48,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,90.17,179,0,1897.1799999999996

46,11:15-11:30,5.25,0.29,0.1,0.29,0.19,3.92,0.48,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,91.55,179,0,1898.4699999999996

47,11:30-11:45,5.25,0.38,0.1,0.29,0.19,3.92,0.48,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,92.66,147,0,1867.6699999999996

48,11:45-12:00,5.25,0.38,0.19,0.29,0.29,3.92,0.58,1.44,81.75,26.96,134.89,26.23,224.82,26.96,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,93.29,140,0,1861.5899999999997

49,12:00-12:15,5.25,0.38,0.19,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,93.61,161,0,1882.9299999999996

50,12:15-12:30,5.25,0.38,0.1,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,93.64,161,0,1882.8699999999997

51,12:30-12:45,5.25,0.38,0.1,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,100,161,0,1889.2299999999996

52,12:45-13:00,5.25,0.38,0.1,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,100,161,0,1889.2299999999996

53,13:00-13:15,5.25,0.38,0.1,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,100,175,0,1903.2299999999996

54,13:15-13:30,5.25,0.38,0.1,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,100,175,0,1903.2299999999996

55,13:30-13:45,5.25,0.38,0.1,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,86.95,161,0,1876.1799999999996

56,13:45-14:00,5.25,0.38,0.1,0.29,0.29,3.92,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.39,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,10.58,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,0,0,16.03,0,0,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,87.41,161,0,1876.6399999999996

57,14:00-14:15,5.25,0.38,0.1,0.29,0.29,4.86,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.66,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,87.59,158,0,2164.5299999999997

58,14:15-14:30,5.25,0.38,0.1,0.38,0.29,4.86,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.66,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,100,154,0,2173.0299999999997

59,14:30-14:45,5.58,0.38,0.1,0.29,0.29,4.86,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.66,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,88.33,151,0,2158.5999999999995

60,14:45-15:00,5.57,0.38,0.1,0.19,0.29,4.86,0.67,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.66,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,76.36,140,0,2135.6099999999997

61,15:00-15:15,5.42,0.38,0.1,0.29,0.29,3.76,0.67,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.84,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,74.57,133,0,2125.8499999999995

62,15:15-15:30,5.21,0.38,0.1,0.19,0.29,3.54,0.48,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.84,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,71.36,130,0,2118.9199999999996

63,15:30-15:45,4.94,0.38,0.1,0.29,0.29,4.86,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.84,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,67.29,91,0,2077.0999999999995

64,15:45-16:00,4.65,0.38,0.19,0.19,0.29,4.86,0.58,1.44,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,16.84,15.24,0,0,0,8.01,0,24.04,143.07,0.96,28.61,5.77,76.58,0,0,0,0,11.54,0,81.75,0,44.24,0,48.09,0,28.85,0,160.83,0,0,0,0,0,144.27,0,16.03,0,144.27,0,16.58,7.69,96.18,48.09,0,0,96.18,0,24.04,0,1.64,6.73,48.09,0.1,63.23,84,0,2065.74

65,16:00-16:15,4.32,0.38,0.1,0.29,0.29,4.86,0.67,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.03,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,11.54,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,57.7,67,0,2199.8199999999993

66,16:15-16:30,3.92,0.38,0.1,0.29,0.29,4.37,0.58,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.03,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,11.54,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,52.17,60,0,2186.3099999999995

67,16:30-16:45,3.51,0.38,0.1,0.29,0.29,3.89,0.67,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.03,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,12.5,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,43.96,53,0,2171.2599999999998

68,16:45-17:00,3.07,0.38,0.1,0.29,0.29,3.4,0.67,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.03,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.96,48.09,24.04,12.5,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,38.7,49,0,2161.0699999999997

69,17:00-17:15,0,0.38,0.19,0.29,0.29,2.91,0.67,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.3,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,12.5,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,28.56,21,0,2119.64

70,17:15-17:30,0,0.38,0.1,0.29,0.29,2.42,0.48,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.3,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,12.5,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,26.71,21,0,2117.02

71,17:30-17:45,0,0.38,0.1,0.29,0.29,1.94,0.48,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.3,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,13.47,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,24.98,21,0,2115.7799999999997

72,17:45-18:00,0,0.33,0.1,0.25,0.29,1.45,0.49,0,81.75,26.97,134.89,26.23,224.82,26.97,19.24,20.75,0,17.3,15.24,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,24.04,13.47,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,160.83,16.03,7.69,0,144.27,25.08,0,0,0,24.04,0,144.27,0,0,0,0,48.09,16.58,0,0,0,8.01,0,0,0,0.1,20.86,21,0,2111.0899999999997

73,18:00-18:15,0,0.27,0.19,0.2,0.29,0.97,0.47,0,81.75,26.96,134.89,43.71,224.82,26.96,0,20.75,0,17.76,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,162.11,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,16.58,0,0,0,12.39,0,0,0,0.1,17.04,18,0,2127.8199999999997

74,18:15-18:30,0,0.15,0.19,0.12,0.29,0.48,0.24,0,81.75,26.96,134.89,43.71,224.82,26.96,0,20.75,0,17.76,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,162.11,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,16.58,0,0,0,12.39,0,0,0,0.1,12.46,14,0,2118.3199999999997

75,18:30-18:45,0,0.07,0.1,0.05,0.29,0.24,0.1,0,81.75,26.96,134.89,43.71,224.82,26.96,0,20.75,0,17.76,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,162.11,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0.1,7.44,7,0,2108.3399999999997

76,18:45-19:00,0,0,0.07,0,0.1,0.13,0,0,81.75,26.96,134.89,43.71,224.82,26.96,0,20.75,0,17.76,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.87,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,28.85,0,94.14,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0.03,3.98,5,67.97,2102.26

77,19:00-19:15,0,0,0,0,0,0,0,0,81.75,26.49,134.89,43.71,224.82,29,0,20.75,0,16.84,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,0,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,3.01,1,0,2099.0499999999997

78,19:15-19:30,0,0,0,0,0,0,0,0,81.75,26.49,134.89,43.71,224.82,29,0,20.75,0,16.84,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,0,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,2.04,0,0,2097.0799999999995

79,19:30-19:45,0,0,0,0,0,0,0,0,81.75,26.49,134.89,43.71,224.82,29,0,20.75,0,16.84,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,0,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2095.0399999999995

80,19:45-20:00,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,16.84,0,44.24,0,143.07,0,96.18,0,0,0,28.61,5.77,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,0,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2093.8999999999996

81,20:00-20:15,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.12,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,54.1,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2168.48

82,20:15-20:30,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.12,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,54.1,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2168.48

83,20:30-20:45,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.12,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,54.1,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2168.48

84,20:45-21:00,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.12,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,76.58,81.75,48.09,0,134.65,0,6.73,0,54.1,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2168.48

85,21:00-21:15,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2197.88

86,21:15-21:30,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,192.36,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,0,2197.88

87,21:30-21:45,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,180.38,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,11.98,2197.88

88,21:45-22:00,0,0,0,0,0,0,0,0,81.75,25.35,134.89,43.71,224.82,29,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,184.7,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,7.66,2197.8799999999997

89,22:00-22:15,0,0,0,0,0,0,0,0,81.75,26.26,134.89,43.71,224.82,26.26,0,20.75,0,17.3,0,44.24,0,143.07,0,96.18,0,0,0,28.61,25.97,0,96.18,0.91,48.09,37.15,13.47,105.8,81.75,48.09,0,134.65,0,6.73,0,54.1,189.03,24.78,7.69,0,144.27,25.08,0,0,0,37.15,0,144.27,0,0,0,0,48.09,19.24,0,0,0,12.39,0,0,0,0,0,0,3.33,2196.0499999999997

