Column1,Block,NR/2025/31129/C,NR/2025/31110/C,NR/2025/30334/A/86684,NR/2025/29985/A/86824,GNARE/NR/2024/12/20/3668,NR/2025/30086/A/87171,NR/2025/30084/A/87172,NR/2025/29910/A/87176,NR/2025/29992/A/86677,NR/2025/30105/A/87170,NR/2025/30067/A/87268,NR/2025/29915/A/86736,NR/2025/29628/A/87178,NR/2025/31076/C,NR/2025/29439/A/87030,NR/2025/31102/C/Alternate/1,NR/2025/27970/A/87138,NR/2025/30191/A/86686,NR/2025/26975/A/87181,NR/2025/27968/A/87137,NR/2025/30217/A/87169,NR/2025/30082/A/87162,NR/2025/30993/C,NR/2025/27962/A/87134,NR/2025/31097/C,NR/2025/31105/C,NR/2025/30083/A/87173,NR/2025/31098/C,NR/2025/31106/C,NR/2025/30121/A/86689,NR/2025/31107/C,NR/2025/29167/A/86738,NR/2025/31044/C,NR/2025/27978/A/87198,NR/2025/31102/C,NR/2025/30492/A/86806,NR/2025/30822/A/86822,NR/2025/27964/A/87136,NR/2025/29353/A/87103,NR/2025/29440/A/86670,NR/2025/29352/A/87105,NR/2025/27963/A/87135,NR/2025/31104/C,NR/2025/28725/A/87139,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/2025/31031/C,NR/2025/31061/C,NR/2025/31108/C,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/2025/31057/C,NR/2025/31006/C,NR/2025/31007/C,NR/2025/30101/A/87190,NR/2025/31059/C,NR/2025/31060/C,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2236,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2786,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
46,11:15-11:30,1.44,2.79,5.25,161,90.66,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,15.93,1927.3000000000002

47,11:30-11:45,1.44,2.79,5.25,140,92.71,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,15.93,1908.35

48,11:45-12:00,1.44,2.91,5.25,140,93.38,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.8,15.24,81.75,26.8,43.71,15.93,1909.1399999999999

49,12:00-12:15,1.44,2.91,5.25,154,83.33,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.74,1913

50,12:15-12:30,1.44,2.91,5.25,161,83.33,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.74,1920

51,12:30-12:45,1.44,3.64,5.25,161,85,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.74,1922.4

52,12:45-13:00,1.44,3.65,5.25,161,86.67,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.74,1924.08

53,13:00-13:15,1.44,3.65,5.25,161,93.33,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.47,1930.4699999999998

54,13:15-13:30,1.44,3.52,5.25,161,93.33,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.47,1930.3400000000001

55,13:30-13:45,1.44,3.54,5.25,161,91.67,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.47,1928.6999999999998

56,13:45-14:00,1.44,3.45,5.25,161,90,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,0,0,26.85,15.24,81.75,26.85,43.71,15.47,1926.94

57,14:00-14:15,1.44,3.65,5.25,158,91.67,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,15.74,2214.6199999999994

58,14:15-14:30,1.44,3.65,5.25,154,91.67,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,15.74,2210.6199999999994

59,14:30-14:45,1.44,3.65,5.97,147,80,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,15.74,2192.6699999999996

60,14:45-15:00,1.44,3.65,6.02,137,78.33,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,15.74,2181.0499999999997

61,15:00-15:15,1.44,3.65,5.88,126,75,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,16.2,2167.0399999999995

62,15:15-15:30,1.44,3.28,5.66,119,71.63,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,16.2,2156.0799999999995

63,15:30-15:45,1.44,3.28,5.38,98,66,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,16.2,2129.17

64,15:45-16:00,1.44,3.28,5.07,91,63.47,0,0,0,0,0,0,0,0,0.96,0,0,0,0,5.77,0,0,0,48.09,0,96.18,43.71,0,32.14,29.03,0,7.69,0,48.09,0,192.36,13.47,0,0,81.75,0,28.61,0,14.57,0,0,224.82,44.24,96.18,37.16,134.89,19.24,20.75,143.07,76.58,16.58,0,144.27,144.27,26.85,15.24,81.75,26.85,43.71,16.2,2119.33

65,16:00-16:15,0,2.18,4.76,88,55,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,16.84,2272.22

66,16:15-16:30,0,2.18,4.43,84,51.67,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,16.84,2264.56

67,16:30-16:45,0,2.07,4.06,63,48.33,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,16.84,2239.74

68,16:45-17:00,0,1.82,3.63,56,45,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.96,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,16.84,2228.73

69,17:00-17:15,0,1.58,0,49,36.67,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,17.3,2209.9

70,17:15-17:30,0,1.34,0,42,33.33,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,17.3,2199.32

71,17:30-17:45,0,1.1,0,28,30,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,17.3,2181.7499999999995

72,17:45-18:00,0,0.85,0,21,25.1,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,19.24,20.75,0,0,0,32.14,0,0,26.85,15.24,81.75,26.85,43.71,17.3,2169.6

73,18:00-18:15,0,0.73,0,11,20.46,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,21.48,43.71,17.76,2117.6

74,18:15-18:30,0,0.61,0,6,15.22,37.16,43.71,16.58,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,21.48,43.71,17.76,2107.24

75,18:30-18:45,0,0.37,0,4,11.79,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,21.48,43.71,17.76,2104.2299999999996

76,18:45-19:00,0,0.29,0,1,1.35,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,83.33,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,109.03,13.47,134.65,144.27,81.75,0.87,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,21.48,43.71,17.76,2090.71

77,19:00-19:15,0,0,0,1,0.62,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,18.23,2097.72

78,19:15-19:30,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,18.23,2096.1

79,19:30-19:45,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,18.23,2096.1

80,19:45-20:00,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,5.77,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,0,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,18.23,2096.1

81,20:00-20:15,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,18.23,2170.4

82,20:15-20:30,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,18.23,2170.4

83,20:30-20:45,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,12.71,2164.88

84,20:45-21:00,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,76.58,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,29,43.71,12.71,2164.88

85,21:00-21:15,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,0,43.71,12.71,2165.1000000000004

86,21:15-21:30,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,29,0,81.75,0,43.71,12.71,2165.1000000000004

87,21:30-21:45,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,11.1,0,81.75,11.1,43.71,12.71,2158.3000000000006

88,21:45-22:00,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,11.1,0,81.75,11.1,43.71,12.71,2158.3000000000006

89,22:00-22:15,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,11.1,0,81.75,11.1,43.71,12.71,2158.3000000000006

90,22:15-22:30,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,0,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,192.36,13.47,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,11.1,0,81.75,11.1,43.71,12.71,2158.3000000000006

91,22:30-22:45,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,169.57,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,22.79,12.5,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,11.1,0,81.75,11.1,43.71,12.71,2157.3300000000004

92,22:45-23:00,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,167.58,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,24.78,12.5,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,11.1,0,81.75,11.1,43.71,12.71,2157.3300000000004

93,23:00-23:15,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,167.51,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,24.85,12.5,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,20,0,81.75,20,43.71,12.71,2175.13

94,23:15-23:30,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,165.39,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,26.97,12.5,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,20,0,81.75,20,43.71,12.71,2175.13

95,23:30-23:45,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,163.42,144.27,48.09,25.97,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,28.94,12.5,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,15,0,81.75,15,43.71,12.71,2165.13

96,23:45-24:00,0,0,0,0,0,37.16,43.71,19.24,44.24,29.14,0,0,105.8,0,25.08,159.42,144.27,48.09,26.11,0,7.69,48.09,0,96.18,0,0,14.57,0,0,6.73,0,54.1,0,96.18,32.94,12.5,134.65,144.27,81.75,0.91,28.61,0,0,143.07,0,224.82,0,0,0,134.89,0,20.75,0,0,0,32.14,0,0,15,0,81.75,15,43.71,12.71,2165.2700000000004

