Column1,Block,NR/2025/26236/A/69006,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/69184,NR/2025/26153/A/69005,NR/2025/26202/A/69552,NR/2025/26490/C,NR/2025/26201/A/69516,NR/2025/26491/C,NR/2025/26232/A/69499,NR/2025/26291/A/69495,NR/2025/26197/A/69530,NR/2025/26200/A/69521,NR/2025/26233/A/69498,NR/2025/26002/A/69471,NR/2025/26198/A/69529,NR/2025/26191/A/69039,NR/2025/25858/A/69480,NR/2025/26199/A/69525,NR/2025/25855/A/69479,NR/2025/26101/A/69176,NR/2025/26286/A/69144,NR/2025/26085/A/68995,NR/2025/26289/A/69496,NR/2025/26535/C,NR/2025/26536/C,NR/2025/26534/C,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/4138,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,NR/2025/26529/C,NR/2025/26510/C,NR/2025/26525/C,NR/2025/26530/C,NR/2025/26531/C,NR/2025/26494/C,NR/2025/26312/A/69020,NR/2025/26336/A/69186,NR/2025/26265/A/69497,NR/2025/26492/C,NR/2025/26493/C,Total
54,13:15-13:30,13.51,68.33,179,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,5.79,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,88.81,0,38.61,48.26,0,135.14,0,4.83,4.83,1735.2799999999997

55,13:30-13:45,13.51,86.67,175,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,5.79,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,88.81,0,38.61,48.26,0,135.14,0,4.83,4.83,1749.62

56,13:45-14:00,13.51,86.67,175,62.74,33.26,96.53,37.3,24.13,0,0,14.62,14.62,0,0,43.87,48.26,0,43.87,0,0,5.79,0.97,0,0,0,0,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,63.27,53.09,88.81,0,38.61,48.26,0,135.14,0,4.83,4.83,1749.62

57,14:00-14:15,11.58,87.33,179,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,5.79,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.79,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,59.85,0,38.61,48.26,0,135.14,0,4.83,4.83,1868.099999999999

58,14:15-14:30,11.58,87.33,179,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,6.76,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.79,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,59.85,0,38.61,48.26,0,135.14,0,4.83,4.83,1869.0699999999993

59,14:30-14:45,11.58,88.19,168,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,6.76,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.79,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,59.85,0,38.61,48.26,0,135.14,0,4.83,4.83,1858.9299999999994

60,14:45-15:00,11.58,86.2,161,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,6.76,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.79,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,59.85,0,38.61,48.26,0,135.14,0,4.83,4.83,1849.9399999999991

61,15:00-15:15,8.69,81.61,158,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,7.72,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,11.58,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1824.0699999999997

62,15:15-15:30,8.69,78.77,144,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,7.72,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,11.58,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1807.2299999999996

63,15:30-15:45,8.69,72.69,133,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,7.72,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,11.58,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1790.1499999999996

64,15:45-16:00,8.69,66.83,123,62.74,0,96.53,0,24.13,0,0,14.62,0,0,0,43.87,48.26,111.01,18.05,0,33.79,7.72,0.97,0,14.62,37.3,25.82,26.95,0,29.01,164.1,0,9.88,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,96.53,53.09,0,51.13,19.31,48.26,0,135.14,0,4.83,4.83,1762.7099999999996

65,16:00-16:15,5.79,60.87,109,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,7.72,0.82,48.26,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,0,51.13,19.31,0,53.09,135.14,96.53,0,0,1739.8

66,16:15-16:30,5.79,54.7,95,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,7.72,0.82,48.26,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,0,51.13,19.31,0,53.09,135.14,96.53,0,0,1719.6299999999999

67,16:30-16:45,5.79,48.01,81,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,8.69,0.82,48.26,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,0,51.13,19.31,0,53.09,135.14,96.53,0,0,1699.91

68,16:45-17:00,5.79,40.84,70,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,8.69,0.82,48.26,0,0,0,26.95,0,29.01,164.1,0,9.98,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,0,51.13,19.31,0,53.09,135.14,96.53,0,0,1681.74

69,17:00-17:15,0,31.95,60,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.95,0,29.01,164.1,0,10.16,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1655.1299999999999

70,17:15-17:30,0,25.39,42,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.95,0,29.01,164.1,0,10.16,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1630.57

71,17:30-17:45,0,19.12,28,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.95,0,29.01,164.1,0,10.16,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,33.79,108.46,19.31,0,0,135.14,96.53,0,0,1650.3

72,17:45-18:00,0,13.44,14,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,0,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.95,0,29.01,164.1,0,10.16,26.95,28.96,10.62,0,0,14.48,164.1,123.08,13.51,0,0,0,0,0,0,33.79,108.46,19.31,0,0,135.14,96.53,0,0,1630.6199999999997

73,18:00-18:15,0,8.73,7,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.61,5.79,29.01,0,0,10.53,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1814.7399999999996

74,18:15-18:30,0,5.27,2,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.61,5.79,29.01,0,0,10.53,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1806.2799999999995

75,18:30-18:45,0,3.26,1,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.61,5.79,29.01,0,0,10.53,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1803.2699999999998

76,18:45-19:00,0,0.16,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,8.69,0.68,48.26,0,0,0,26.61,5.79,29.01,0,0,10.53,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1799.1699999999998

77,19:00-19:15,0,0.12,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,8.69,0.72,48.26,0,0,0,25.7,5.79,29.01,0,0,9.98,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1800.5999999999997

78,19:15-19:30,0,0.06,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,8.69,0.72,48.26,0,0,0,25.7,5.79,29.01,0,0,9.98,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1800.5399999999997

79,19:30-19:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,8.69,0.72,48.26,0,0,0,25.7,5.79,29.01,0,0,9.98,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1800.4799999999998

80,19:45-20:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,7.72,0.72,48.26,0,0,0,25.7,5.79,29.01,0,0,9.98,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1799.51

81,20:00-20:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,7.72,0.77,48.26,0,0,0,25.7,5.79,29.01,0,0,10.25,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1799.8299999999997

82,20:15-20:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,7.72,0.77,48.26,0,0,0,25.7,5.79,29.01,0,0,10.25,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1799.8299999999997

83,20:30-20:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,7.72,0.77,48.26,0,0,0,25.7,5.79,29.01,0,0,10.25,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,33.79,162.7,19.31,0,0,135.14,96.53,0,0,1799.8299999999997

84,20:45-21:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,6.76,0.77,48.26,0,0,0,25.7,5.79,29.01,0,0,10.25,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,162.7,19.31,0,0,135.14,96.53,0,0,1765.0799999999997

85,21:00-21:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,6.76,0.77,48.26,0,0,0,25.7,5.79,29.01,0,0,10.53,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,108.46,19.31,0,0,135.14,96.53,0,0,1711.1199999999997

86,21:15-21:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,6.76,0.77,48.26,0,0,0,25.7,5.79,29.01,0,0,10.53,29.5,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,108.46,19.31,0,0,135.14,96.53,0,0,1711.1199999999997

87,21:30-21:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,6.76,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,10.53,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1702.9299999999996

88,21:45-22:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,6.76,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,10.53,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1702.9299999999996

89,22:00-22:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,5.79,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1700.6699999999998

90,22:15-22:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,5.79,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1700.6699999999998

91,22:30-22:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,5.79,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1700.6699999999998

92,22:45-23:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,5.79,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,102.25,19.31,0,0,135.14,96.53,0,0,1700.6699999999998

93,23:00-23:15,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,5.79,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1649.55

94,23:15-23:30,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,4.83,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1648.59

95,23:30-23:45,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,4.83,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1648.59

96,23:45-24:00,0,0,0,62.74,96.53,0,37.3,0,4.83,24.13,14.62,14.62,4.83,164.1,43.87,48.26,111.01,43.87,0,33.79,4.83,0.77,48.26,0,0,0,26.61,5.79,29.01,0,0,9.24,26.61,28.96,10.62,14.48,5.79,14.48,164.1,123.08,13.51,19.31,67.57,0,28.96,0,0,0,51.13,19.31,0,0,135.14,96.53,0,0,1648.59

