Column1,Block,NR/2025/32532/A/96428,NR/2025/32532/A/96427,NR/2025/32599/A/96415,NR/2025/32534/A/96430,NR/2025/32534/A/96429,NR/2025/32535/A/96431,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/96432,NR/2025/32375/A/96500,NR/2025/31046/A/96466,NR/2025/31047/A/96467,NR/2025/32559/A/96507,NR/2025/31041/A/96464,NR/2025/33233/A/96320,NR/2025/32004/A/96518,NR/2025/31042/A/96465,NR/2025/32554/A/96468,NR/2025/32262/A/96356,NR/2025/29440/A/96070,NR/2025/32610/A/96506,NR/2025/29992/A/96076,NR/2025/32556/A/96510,NR/2025/33489/C,NR/2025/33490/C,NR/2025/32598/A/96325,NR/2025/31421/A/96503,NR/2025/33491/C,NR/2025/32455/A/96601,NR/2025/33460/C,NR/2025/33461/C,NR/2025/33462/C,NR/2025/33418/C,NR/2025/32397/A/96015,NR/2025/33421/C,NR/2025/33422/C,NR/2025/33466/C,NR/2025/33482/C,NR/2025/33394/C,NR/2025/32653/A/96210,NR/2025/32652/A/96212,NR/2025/32857/A/96198,NR/2025/33474/C,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6209,Total
51,12:30-12:45,0.67,0.31,147,0.48,0.29,0.19,81.67,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,19.95,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1522.6199999999997

52,12:45-13:00,0.67,0.31,147,0.48,0.29,0.19,83.33,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,20.23,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1524.5599999999997

53,13:00-13:15,0.67,0.42,133,0.48,0.29,0.19,85.67,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1501.6099999999997

54,13:15-13:30,0.67,0.42,133,0.48,0.29,0.19,87.67,0.39,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1503.6099999999997

55,13:30-13:45,0.67,0.42,126,0.48,0.29,0.19,85,0.33,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1493.8799999999997

56,13:45-14:00,0.67,0.44,126,0.42,0.29,0.19,86,0.34,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,0,0,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1494.8499999999997

57,14:00-14:15,0.67,0.48,140,0.45,0.29,0.19,87.33,0.36,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1702.9699999999996

58,14:15-14:30,0.64,0.48,140,0.45,0.29,0.19,86.67,0.37,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1702.2899999999997

59,14:30-14:45,0.73,0.48,140,0.59,0.29,0.19,85.33,0.51,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1701.3199999999997

60,14:45-15:00,0.67,0.48,137,0.54,0.29,0.19,84,0.47,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,8.83,10.1,15.27,19.55,96.35,20.79,18.73,8.76,48.18,24.09,18.73,24.09,19.27,8.76,96.35,1696.8399999999997

61,15:00-15:15,0.73,0.48,133,0.59,0.29,0.19,77.93,0.51,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,10.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1705.31

62,15:15-15:30,0.78,0.48,130,0.63,0.29,0.19,73.55,0.55,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,10.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1698.06

63,15:30-15:45,0.78,0.48,119,0.63,0.29,0.19,65.51,0.55,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,10.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1679.02

64,15:45-16:00,0.77,0.48,112,0.62,0.29,0.19,60.73,0.54,0,0,0,0,0,14.45,0,0,0,0,0.96,0,26.23,0,43.79,43.79,81.9,0,37.23,0,48.18,48.18,13.49,192.7,0,96.35,96.35,192.7,76.71,18.09,1.45,1.64,1.16,10.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1667.2099999999998

65,16:00-16:15,0.71,0.48,95,0.57,0.29,0.19,51.96,0.5,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,0,0,0,192.7,0,0,0,0,0,10.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1636.9499999999994

66,16:15-16:30,0.67,0.48,88,0.54,0.29,0.19,46.92,0.47,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,0,0,0,192.7,0,0,0,0,0,10.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1624.8099999999995

67,16:30-16:45,0.61,0.48,70,0.49,0.29,0.19,35.17,0.42,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,0,0,0,192.7,0,0,0,0,0,10.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1594.8999999999994

68,16:45-17:00,0.48,0.48,63,0.39,0.29,0.19,30.99,0.34,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,0,0,0,192.7,0,0,0,0,0,8.83,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1581.4599999999994

69,17:00-17:15,0.34,0.48,53,0.27,0.29,0.19,25,0.24,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,8.17,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1573.1199999999997

70,17:15-17:30,0.24,0.48,46,0.19,0.29,0.19,21.67,0.14,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,7.89,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1562.2299999999996

71,17:30-17:45,0,0.42,42,0,0.25,0.16,18.33,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,7.71,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1554.0099999999995

72,17:45-18:00,0,0.32,35,0,0.19,0.13,13.33,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,0,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,7.78,10.1,15.27,19.55,96.35,20.79,26.95,8.76,48.18,24.09,26.95,24.09,19.27,8.76,96.35,1541.8899999999994

73,18:00-18:15,0,0.24,28,0,0.14,0.1,10,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,8.59,16.83,0,19.55,96.35,20.79,26.94,14.6,48.18,24.09,26.94,24.09,0,14.6,48.18,1516.0699999999993

74,18:15-18:30,0,0.15,18,0,0.09,0.06,6,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,6.24,16.83,0,19.55,96.35,20.79,26.94,14.6,48.18,24.09,26.94,24.09,0,14.6,48.18,1499.5399999999995

75,18:30-18:45,0,0.08,11,0,0.05,0.03,1.63,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,4.08,16.83,0,19.55,96.35,20.79,26.94,14.6,48.18,24.09,26.94,24.09,0,14.6,48.18,1485.8699999999994

76,18:45-19:00,0,0.03,6,0,0.02,0.01,0.72,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,2.61,16.83,0,19.55,96.35,20.79,26.94,14.6,48.18,24.09,26.94,24.09,0,14.6,48.18,1478.3899999999994

77,19:00-19:15,0,0,1,0,0,0,0.48,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,26.58,24.09,0,14.6,48.18,1473.229999999999

78,19:15-19:30,0,0,0,0,0,0,0.14,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,26.58,24.09,0,14.6,48.18,1471.8899999999992

79,19:30-19:45,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,11.12,24.09,0,14.6,48.18,1456.289999999999

80,19:45-20:00,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,0,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,11.12,24.09,0,14.6,48.18,1456.289999999999

81,20:00-20:15,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,11.12,24.09,0,14.6,48.18,1510.489999999999

82,20:15-20:30,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,11.12,24.09,0,14.6,48.18,1510.489999999999

83,20:30-20:45,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1499.3699999999992

84,20:45-21:00,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,76.71,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1499.3699999999992

85,21:00-21:15,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1528.6399999999994

86,21:15-21:30,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1528.6399999999994

87,21:30-21:45,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1528.6399999999994

88,21:45-22:00,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1528.6399999999994

89,22:00-22:15,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1528.6399999999994

90,22:15-22:30,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,13.49,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1528.6399999999994

91,22:30-22:45,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1527.6799999999994

92,22:45-23:00,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.92,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1527.6799999999994

93,23:00-23:15,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1527.6299999999994

94,23:15-23:30,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1527.6299999999994

95,23:30-23:45,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1527.6299999999994

96,23:45-24:00,0,0,0,0,0,0,0,0,48.18,0,96.35,43.79,0,14.45,105.98,96.35,163.8,54.2,0.87,37.23,44.32,43.79,0,0,81.9,48.18,0,48.18,0,0,12.53,28.9,8.67,0,0,192.7,0,0,0,0,0,0,16.83,0,19.55,96.35,20.79,30,14.6,48.18,24.09,0,24.09,0,14.6,48.18,1527.6299999999994

