Time,Block,NR/2023/14732/D,NR/2023/13983/F,NR/2023/13283/A,NR/2023/11204/A,NR/2023/11458/A,NR/2023/11892/A,NR/2023/11524/A,NR/2023/13858/A,NR/2023/13573/A,NR/2023/11654/A,NR/2023/14735/D,NR/2023/11521/A,NR/2023/11315/A,NR/2023/11954/A,NR/2023/11205/A,NR/2023/13573/A/II,NR/2023/12646/A,NR/2023/14756/C,NR/2023/14733/D,NR/2023/14136/F,NR/2023/11325/A,ER/2023/9024/C,NR/2023/11739/A,NR/2023/11264/A,NR/2023/11469/A,NR/2023/13983/F/II,NR/2023/11470/A,NR/2023/11697/A,NR/2023/13859/A,NR/2023/11328/A,NR/2023/14750/C,NR/2023/14187/F,NR/2023/13284/A,NR/2023/14734/D,NR/2023/13283/A/II,NR/2023/11203/A,NR/2023/14751/C,Total
61,15:00-15:15,60,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,2.89,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,140,24.120000,62.940000,0.000000,1708.34

62,15:15-15:30,58.5,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,1.93,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,136.5,24.120000,62.940000,0.000000,1702.38

63,15:30-15:45,54,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,1.93,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,126,24.120000,62.940000,0.000000,1687.38

64,15:45-16:00,48,0.960000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,1.93,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,0.960000,0.000000,112,24.120000,62.940000,0.000000,1667.38

65,16:00-16:15,45,0.820000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,1.93,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,105,24.120000,62.940000,0.000000,1660.14

66,16:15-16:30,40.2,0.820000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,1.84,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,93.8,24.120000,62.940000,0.000000,1644.05

67,16:30-16:45,36,0.820000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,1.84,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,84,24.120000,62.940000,0.000000,1630.05

68,16:45-17:00,31.5,0.820000,0.000000,7.720000,106.110000,0.000000,192.920000,77.170000,62.700000,257.550000,1.08,48.230000,22.190000,0.000000,15.750000,0.000000,23.080000,5.790000,147.340000,24.120000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,73.5,24.120000,62.940000,0.000000,1614.29

69,17:00-17:15,26.4,0.820000,0.000000,7.720000,48.230000,0.000000,192.920000,77.170000,62.700000,257.550000,1.08,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,61.6,24.120000,62.940000,0.000000,1492.21

70,17:15-17:30,21,0.820000,0.000000,7.720000,48.230000,0.000000,192.920000,77.170000,62.700000,257.550000,1.08,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,49,24.120000,62.940000,0.000000,1474.21

71,17:30-17:45,18,0.820000,0.000000,7.720000,48.230000,0.000000,192.920000,77.170000,62.700000,257.550000,0.48,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,42,24.120000,62.940000,0.000000,1463.61

72,17:45-18:00,15,0.820000,0.000000,7.720000,48.230000,0.000000,192.920000,77.170000,62.700000,257.550000,0.19,48.230000,22.190000,0.000000,15.750000,0.000000,0.000000,5.790000,147.340000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,35,24.120000,62.940000,0.000000,1453.32

73,18:00-18:15,13.5,0.870000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,31.5,0.000000,62.940000,0.000000,1579.02

74,18:15-18:30,10.5,0.870000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,24.5,0.000000,62.940000,0.000000,1569.02

75,18:30-18:45,9,0.870000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,21,0.000000,62.940000,0.000000,1564.02

76,18:45-19:00,6,0.870000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,14,0.000000,62.940000,0.000000,1554.02

77,19:00-19:15,3,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,7,0.000000,62.940000,0.000000,1544.07

78,19:15-19:30,1.8,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,4.2,0.000000,62.940000,0.000000,1540.07

79,19:30-19:45,0.6,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,1.4,0.000000,62.940000,0.000000,1536.07

80,19:45-20:00,0,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1534.07

81,20:00-20:15,0,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1534.07

82,20:15-20:30,0,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1534.07

83,20:30-20:45,0,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1534.07

84,20:45-21:00,0,0.920000,0.000000,14.230000,48.230000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1534.07

85,21:00-21:15,0,0.920000,0.000000,14.230000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1577.48

86,21:15-21:30,0,0.920000,0.000000,14.230000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1577.48

87,21:30-21:45,0,0.920000,0.000000,14.230000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.770000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1577.48

88,21:45-22:00,0,0.920000,0.000000,14.230000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,15.810000,0.000000,0.000000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.000000,21.220000,0.000000,177.970000,48.230000,5.450000,3.860000,0.000000,0,0.000000,62.940000,0.000000,1577.52

89,22:00-22:15,0,0.530000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,231.610000,0.000000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.390000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.73

90,22:15-22:30,0,0.530000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,231.610000,0.000000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.390000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.73

91,22:30-22:45,0,0.530000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,231.610000,0.000000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.390000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.73

92,22:45-23:00,0,0.530000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,62.700000,257.550000,0,48.230000,22.190000,36.390000,231.610000,0.000000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.390000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.73

93,23:00-23:15,0,0.000000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,60.880000,257.550000,0,48.230000,22.190000,36.390000,231.610000,1.820000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.68

94,23:15-23:30,0,0.000000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,60.880000,257.550000,0,48.230000,22.190000,36.390000,231.610000,1.820000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.68

95,23:30-23:45,0,0.000000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,60.880000,257.550000,0,48.230000,22.190000,36.390000,231.610000,1.820000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.68

96,23:45-24:00,0,0.000000,0.000000,82.960000,91.640000,66.460000,192.920000,77.170000,60.880000,257.550000,0,48.230000,22.190000,36.390000,231.610000,1.820000,23.080000,5.790000,192.920000,0.000000,24.120000,0.000000,42.430000,21.510000,84.870000,0.870000,21.220000,27.780000,177.970000,48.230000,5.450000,3.860000,64.820000,0,0.000000,62.940000,0.000000,1977.68

