Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/4802,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07
77,19:00-19:15,0,14.67,44,0,0,1,6.53,0,2,44.02,0,1.3,0,0,1,34,17.97,14.66,34,257.99,93.58,29.27,6.7,32,0,96.79,0.06,0.06,77.43,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,3.75,110.94,0,0.06,14.5568

78,19:15-19:30,0,14.17,42.5,0,0,0,1.58,0,1,44.02,0,0.32,0,0,1,33.33,16.25,14.16,33.33,257.99,93.58,29.27,6.7,32,0,96.79,0.01,0.01,77.43,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,0,115.68,0,0.01,14.5568

79,19:30-19:45,0,13.67,41,0,0,0,0.47,0,0,44.02,0,0.09,0,0,0,32.67,15.03,13.66,32.67,257.99,93.58,29.27,6.7,32,0,96.79,0,0,77.43,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

80,19:45-20:00,0,13.17,39.5,0,0,0,0.08,0,0,43.42,0,0.01,0,0,0,32,14.36,13.16,32,257.99,93.58,29.27,6.7,32,0,96.79,0,0,77.43,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

81,20:00-20:15,0,12.83,38.5,0,0,0,0,0,0,37.02,0,0,0,0,0,31.33,15.27,12.84,31.33,257.99,93.58,29.27,6.61,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

82,20:15-20:30,0,12.67,38,0,0,0,0,0,0,37.02,0,0,0,0,0,31,13.53,12.66,31,257.99,93.58,29.27,6.61,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

83,20:30-20:45,0,12.5,37.5,0,0,0,0,0,0,32.21,0,0,0,0,0,29.67,12.05,12.5,29.67,257.99,93.58,29.27,6.61,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

84,20:45-21:00,0,12.5,37.5,0,0,0,0,0,0,31.81,0,0,0,0,0,28.67,10.48,12.5,28.67,257.99,93.58,29.27,6.61,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

85,21:00-21:15,0,12.33,37,0,0,0,0,0,0,31.41,0,0,0,0,0,28.33,8.34,12.34,28.33,257.99,93.58,29.27,6.51,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

86,21:15-21:30,0,11.83,35.5,0,0,0,0,0,0,31.41,0,0,0,0,0,29,8.34,11.84,29,257.99,93.58,28.26,6.51,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

87,21:30-21:45,0,11.33,34,0,0,0,0,0,0,31.41,0,0,0,0,0,29,8.34,11.34,29,257.99,93.58,28.26,6.51,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

88,21:45-22:00,0,11.33,34,0,0,0,0,0,0,31.61,0,0,0,0,0,29,8.34,11.34,29,257.99,93.58,28.26,6.51,32,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,0

89,22:00-22:15,0,11.33,34,0,0,0,0,0,0,34.81,0,0,0,0,0,29,8.34,11.34,29,257.99,93.58,29.27,6.33,25.28,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,25.28

90,22:15-22:30,0,11.33,34,0,0,0,0,0,0,34.61,0,0,0,0,0,29.33,8.34,11.34,29.33,257.99,93.58,29.27,6.33,25.28,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,25.28

91,22:30-22:45,0,11.33,34,0,0,0,0,0,0,34.41,0,0,0,0,0,32.67,8.34,11.34,32.67,257.99,93.58,29.27,6.33,24.0835,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,24.0835

92,22:45-23:00,0,11.33,34,0,0,0,0,0,0,33.81,0,0,0,0,0,32.67,8.34,11.34,32.67,257.99,93.58,29.27,6.33,24.0835,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,24.0835

93,23:00-23:15,0,11.33,34,0,0,0,0,0,0,33.21,0,0,0,0,0,32.67,8.34,11.34,32.67,257.99,93.58,29.27,6.15,24.0835,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,24.0835

94,23:15-23:30,0,11.17,33.5,0,0,0,0,0,0,32.61,0,0,0,0,0,33,8.34,11.16,33,257.99,93.58,29.27,6.15,24.0835,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,24.0835

95,23:30-23:45,0,11.17,33.5,0,0,0,0,0,0,32.61,0,0,0,0,0,33.33,8.34,11.16,33.33,257.99,93.58,29.27,6.15,24.0835,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,24.0835

96,23:45-24:00,0,11.17,33.5,0,0,0,0,0,0,32.81,0,0,0,0,0,33.33,8.34,11.16,33.33,257.99,93.58,29.27,6.15,24.0835,0,96.79,0,0,83.05,0,48.4,96.79,24.74,24.2,10.9,48.4,2.42,0,21.78,132.8,0,115.68,0,0,24.0835

