Column1,Block,NR/2025/27728/A/77263,NR/2025/27726/A/77264,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/2569,NR/2025/26570/A/77233,NR/2025/26445/A/77363,NR/2025/27850/C,NR/2025/27281/A/77392,NR/2025/27157/A/76904,NR/2025/27904/C,NR/2025/27900/C,NR/2025/27902/C,NR/2025/26564/A/77231,NR/2025/27903/C,NR/2025/26563/A/77230,NR/2025/27088/A/77344,NR/2025/26569/A/77232,NR/2025/27782/A/77261,NR/2025/27870/C,NR/2025/27361/A/76949,NR/2025/27873/C,NR/2025/27162/A/77266,NR/2025/27874/C,NR/2025/27884/C,NR/2025/27167/A/76980,NR/2025/27727/A/77262,NR/2025/26085/A/76996,NR/2025/27725/A/77265,NR/2025/26561/A/77229,NR/2025/26975/A/77267,NR/2025/27499/A/77252,NR/2025/27242/A/76990,NR/2025/27791/C,NR/2025/27724/A/77020,NR/2025/27819/C,NR/2025/26889/A/77253,NR/2025/27826/C,NR/2025/27359/A/76953,NR/2025/27885/C,NR/2025/26777/A/76903,NR/2025/27886/C,NR/2025/26860/A/76945,NR/2025/27393/A/76947,NR/2025/27788/C,NR/2025/27901/C,NR/2025/27168/A/76985,NR/2025/26952/A/76816,NR/2025/27462/A/76833,NR/2025/26785/A/76838,NR/2025/27360/A/76951,NR/2025/26861/A/77198,NR/2025/27356/A/76955,GNARE/NR/2024/12/20/3668,NR/2025/27622/A/77172,Total
44,10:45-11:00,0,0,26.95,26.95,10.71,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,189,100,11.58,1754.5999999999997

45,11:00-11:15,0,0,26.95,26.95,10.63,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,193,100,12.55,1759.4899999999998

46,11:15-11:30,0,0,26.95,26.95,10.63,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,196,100,12.55,1762.4899999999998

47,11:30-11:45,0,0,26.95,26.95,10.63,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,196,100,12.55,1762.4899999999998

48,11:45-12:00,0,0,26.95,26.95,10.63,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,0,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,196,100,12.55,1762.4899999999998

49,12:00-12:15,0,0,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,210,100,12.55,1911.5399999999997

50,12:15-12:30,0,0,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,210,100,12.55,1911.5399999999997

51,12:30-12:45,0,0,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,210,100,12.55,1911.5399999999997

52,12:45-13:00,0,0,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,210,100,12.55,1911.5399999999997

53,13:00-13:15,0,0,26.96,26.96,10.43,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,11.58,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,210,100,12.55,1911.4399999999998

54,13:15-13:30,0,0,26.96,26.96,10.43,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,12.55,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,210,100,12.55,1912.4099999999996

55,13:30-13:45,0,0,26.96,26.96,10.43,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,12.55,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,210,100,12.55,1912.4099999999996

56,13:45-14:00,0,0,26.96,26.96,10.43,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,0,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,12.55,9.65,0,135.13,0,27.03,0,164.33,0,0,24.85,30.25,20.51,0,0,0,0,0,203,100,12.55,1905.4099999999996

57,14:00-14:15,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,12.55,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,189,100,11.58,2114.2999999999993

58,14:15-14:30,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,12.55,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,182,100,11.58,2107.2999999999993

59,14:30-14:45,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,12.55,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,172,88.36,11.58,2085.6599999999994

60,14:45-15:00,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,12.55,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,161,84.87,11.58,2071.1699999999996

61,15:00-15:15,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,13.51,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,144,81.01,8.69,2036.79

62,15:15-15:30,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,13.51,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,133,76.87,8.69,2021.65

63,15:30-15:45,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,13.51,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,119,72.06,8.69,2002.84

64,15:45-16:00,0,0,26.96,26.96,10.35,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,90.25,0,0,30.25,14.62,43.87,0,14.62,0,0,0,0,164.08,38.61,5.79,0,55.92,164.08,20.51,0,0.97,0,0,0,0,0,53.09,13.51,9.65,0,135.13,33.78,27.03,0,164.33,0,111,24.85,30.25,20.51,0,0,0,28.96,0,109,67.27,8.69,1988.05

65,16:00-16:15,30.25,30.25,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,53.09,28.96,0,98,59.79,5.79,2183.919999999999

66,16:15-16:30,30.25,30.25,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,53.09,28.96,0,88,52.84,5.79,2166.9699999999993

67,16:30-16:45,30.25,30.25,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,53.09,28.96,0,74,46.78,5.79,2146.9099999999994

68,16:45-17:00,30.25,30.25,26.96,26.96,10.53,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,53.09,28.96,0,67,40.59,5.79,2133.7199999999993

69,17:00-17:15,30.25,30.25,26.96,26.96,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,0,28.96,0,49,34.51,0,2051.1299999999997

70,17:15-17:30,30.25,30.25,26.96,26.96,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,0,28.96,0,39,27.81,0,2034.4299999999994

71,17:30-17:45,30.25,30.25,26.96,26.96,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,0,28.96,0,28,21.87,0,2017.4899999999993

72,17:45-18:00,30.25,30.25,26.96,26.96,10.9,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,0,0,0,13.51,0,0,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,135.13,9.65,0,28.96,0,18,16.22,0,2001.8399999999995

73,18:00-18:15,30.25,30.25,26.8,26.8,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,0,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,11,11.69,0,1869.7099999999996

74,18:15-18:30,30.25,30.25,26.8,26.8,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,0,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,5,8.07,0,1860.0899999999995

75,18:30-18:45,30.25,30.25,26.8,26.8,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,1,0.69,0,1889.7299999999996

76,18:45-19:00,30.25,30.25,26.8,26.8,11.27,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,17.37,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0.26,0,1888.2999999999995

77,19:00-19:15,30.25,30.25,29,26.49,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0.17,0,1902.0599999999997

78,19:15-19:30,30.25,30.25,29,26.49,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1901.8899999999996

79,19:30-19:45,30.25,30.25,26.8,26.8,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1899.9999999999995

80,19:45-20:00,30.25,30.25,26.8,26.8,11.64,20.51,11.9,11.89,20.51,41.02,164.08,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.87,14.62,0,5.79,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,0,0,0,0,1899.9999999999995

81,20:00-20:15,30.25,30.25,26.75,26.75,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1921.5599999999997

82,20:15-20:30,30.25,30.25,26.75,26.75,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1921.5599999999997

83,20:30-20:45,30.25,30.25,26.75,26.75,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1921.5599999999997

84,20:45-21:00,30.25,30.25,26.75,26.75,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,13.51,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1921.5599999999997

85,21:00-21:15,30.25,30.25,29.5,26.34,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,12.55,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1922.9399999999998

86,21:15-21:30,30.25,30.25,29.5,26.34,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,12.55,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1922.9399999999998

87,21:30-21:45,30.25,30.25,29.5,26.34,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,12.55,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1922.9399999999998

88,21:45-22:00,30.25,30.25,29.5,26.34,12.01,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.92,14.62,0,27.03,8.69,41.02,0,12.55,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1922.9399999999998

89,22:00-22:15,30.25,30.25,29.5,26.34,11.92,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.82,14.62,0,27.03,8.69,41.02,0,11.58,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1921.7799999999997

90,22:15-22:30,30.25,30.25,29.5,26.34,11.92,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.82,14.62,0,27.03,8.69,41.02,0,11.58,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1921.7799999999997

91,22:30-22:45,30.25,30.25,26.01,26.01,11.92,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.82,14.62,0,27.03,8.69,41.02,0,11.58,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1917.9599999999998

92,22:45-23:00,30.25,30.25,26.01,26.01,11.92,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.82,14.62,0,27.03,8.69,41.02,0,11.58,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1917.9599999999998

93,23:00-23:15,30.25,30.25,26.01,26.01,11.82,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.77,14.62,0,27.03,8.69,41.02,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1916.8499999999997

94,23:15-23:30,30.25,30.25,26.01,26.01,11.82,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.77,14.62,0,27.03,8.69,41.02,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1916.8499999999997

95,23:30-23:45,30.25,30.25,26.01,26.01,11.82,20.51,11.9,11.89,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.92,0,0,20.51,43.87,0.77,14.62,0,27.03,8.69,41.02,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1916.8499999999997

96,23:45-24:00,30.25,30.25,26.75,26.75,11.82,20.51,11.9,12.16,20.51,41.02,0,41.02,20.51,41.02,28.96,53.33,0,0,0,24.85,217.17,0,0,0,0,0,0,164.08,0,14.62,0,38.61,0,55.69,0,0,20.51,43.87,0.77,14.62,0,27.03,8.69,41.02,0,10.62,0,5.79,0,33.78,27.03,164.08,164.33,90.25,111,0,0,20.51,0,9.65,0,28.96,164.08,0,0,0,1918.3699999999997

