Time,Block,NR/2024/20599/A/21929,NR/2024/20540/A/21711,NR/2024/20553/A/21865,NR/2024/20554/A/21827,NR/2024/19699/A/22394,NR/2024/20050/A/22251,NR/2024/20090/A/21869,NR/2024/20211/A/22202,NR/2024/19966/A/21976,NR/2024/20724/C,NR/2024/20041/A/22256,NR/2024/20144/A/22198,NR/2024/20751/C,NR/2024/19683/A/21889,NR/2024/20824/C,NR/2024/20759/C,NR/2024/20537/A/22429,NR/2024/19918/A/22331,NR/2024/19919/A/22326,NR/2024/19637/A/21966,NR/2024/20714/C,NR/2024/20142/A/22199,NR/2024/19988/A/22167,NR/2024/20515/A/22191,NR/2024/20598/A/21927,NR/2024/20552/A/21866,NR/2024/20734/C,NR/2024/20712/C,NR/2024/19588/A/21943,NR/2024/20513/A/22188,NR/2024/19475/A/22244,NR/2024/20713/C,NR/2024/20130/A/21989,NR/2024/20516/A/22189,NR/2024/19757/A/22392,NR/2024/20597/A/22245,NR/2024/20748/C,NR/2024/20557/A/22388,NR/2024/20560/A/22386,NR/2024/20524/A/22271,NR/2024/20558/A/22387,NR/2024/19779/A/21852,NR/2024/20572/A/22385,NR/2024/20738/C,NR/2024/20037/A/21958,NR/2024/20048/A/22253,NR/2024/19432/A/22396,NR/2024/20212/A/22204,NR/2024/19760/A/21959,NR/2024/19355/A/22431,NR/2024/19791/A/22335,NR/2024/20109/A/22430,NR/2024/20141/A/22200,Total
39,09:30-09:45,0.000000,9.660000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,0.000000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,6.19,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1934.68

40,09:45-10:00,0.000000,9.660000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,0.000000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,7.21,0.480000,0.980000,243.200000,0.000000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1935.7

41,10:00-10:15,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,5.93,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2076.42

42,10:15-10:30,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,6.6,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2077.09

43,10:30-10:45,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,7.37,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2077.86

44,10:45-11:00,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,6.64,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2077.13

45,11:00-11:15,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,9.1,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2079.59

46,11:15-11:30,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,8.62,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2079.11

47,11:30-11:45,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,7.53,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2078.02

48,11:45-12:00,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,0.000000,121.710000,24.150000,112.540000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,62.790000,66.840000,0.680000,193.200000,4.65,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2075.14

49,12:00-12:15,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,8.56,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2110.15

50,12:15-12:30,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,5.27,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2106.86

51,12:30-12:45,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,2.39,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2103.98

52,12:45-13:00,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,2.63,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2104.22

53,13:00-13:15,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.62,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2102.21

54,13:15-13:30,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.49,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2102.08

55,13:30-13:45,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.21,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2102.8

56,13:45-14:00,24.150000,11.590000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.02,0.480000,0.980000,243.200000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,2102.61

57,14:00-14:15,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.49,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1909.48

58,14:15-14:30,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.55,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1909.54

59,14:30-14:45,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.98,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1909.97

60,14:45-15:00,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.5,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1910.49

61,15:00-15:15,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.78,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1910.77

62,15:15-15:30,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.9,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1910.89

63,15:30-15:45,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.78,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1910.77

64,15:45-16:00,24.150000,13.520000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,38.640000,67.620000,48.300000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,24.150000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,2.16,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.970000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,48.300000,96.600000,64.800000,183.540000,0.350000,1911.15

65,16:00-16:15,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,3.23,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.820000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1751.72

66,16:15-16:30,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,3.14,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.820000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1751.63

67,16:30-16:45,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,2.48,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.820000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1750.97

68,16:45-17:00,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,24.150000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.64,0.480000,0.980000,48.670000,24.150000,0.000000,10.970000,32.930000,0.000000,32.930000,0.820000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1750.13

69,17:00-17:15,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,1.06,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1797.8

70,17:15-17:30,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.69,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1797.43

71,17:30-17:45,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.42,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1797.16

72,17:45-18:00,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.34,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1797.08

73,18:00-18:15,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.27,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1797.01

74,18:15-18:30,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,0.000000,57.960000,13.520000,121.710000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0.21,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1796.95

75,18:30-18:45,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,57.960000,57.960000,13.520000,48.300000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1781.29

76,18:45-19:00,24.150000,12.560000,0.000000,0.000000,48.300000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,96.600000,1.930000,0.000000,57.960000,57.960000,13.520000,48.300000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,24.150000,66.840000,0.680000,193.200000,0,0.480000,0.980000,48.670000,0.000000,96.600000,10.970000,32.930000,0.000000,32.930000,0.770000,32.930000,96.600000,72.450000,0.000000,24.150000,0.610000,0.000000,96.600000,64.800000,183.540000,0.350000,1781.29

77,19:00-19:15,24.110000,12.560000,0.000000,0.000000,48.220000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,0.000000,1.930000,0.000000,57.960000,0.000000,13.500000,48.220000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,0.000000,66.840000,0.680000,192.880000,0,0.480000,0.980000,48.590000,0.000000,96.600000,10.950000,32.870000,0.000000,32.870000,0.770000,32.870000,0.000000,72.320000,0.000000,24.110000,0.610000,0.000000,96.440000,64.690000,241.500000,0.350000,1562.68

78,19:15-19:30,24.110000,12.560000,0.000000,0.000000,48.220000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,0.000000,1.930000,0.000000,57.960000,0.000000,13.500000,48.220000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,0.000000,66.840000,0.680000,192.890000,0,0.480000,0.980000,48.590000,0.000000,96.600000,10.950000,32.870000,0.000000,32.870000,0.770000,32.870000,0.000000,72.330000,0.000000,24.110000,0.610000,0.000000,96.450000,64.690000,241.500000,0.350000,1562.71

79,19:30-19:45,24.120000,12.560000,0.000000,0.000000,48.230000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,0.000000,1.930000,0.000000,57.960000,0.000000,13.500000,48.230000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,0.000000,66.840000,0.680000,192.940000,0,0.480000,0.980000,48.600000,0.000000,96.600000,10.950000,32.880000,0.000000,32.880000,0.770000,32.880000,0.000000,72.350000,0.000000,24.120000,0.610000,0.000000,96.460000,64.710000,241.500000,0.350000,1562.89

80,19:45-20:00,24.120000,12.560000,0.000000,0.000000,48.250000,0.000000,1.930000,1.590000,0.000000,67.620000,0.000000,0.880000,0.000000,1.930000,0.000000,57.960000,0.000000,13.500000,48.250000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,0.000000,0.000000,0.000000,66.840000,0.680000,193.000000,0,0.480000,0.980000,48.620000,0.000000,96.600000,10.960000,32.890000,0.000000,32.890000,0.770000,32.890000,0.000000,72.370000,0.000000,24.120000,0.610000,0.000000,96.490000,64.730000,241.500000,0.350000,1563.12

81,20:00-20:15,0.000000,11.590000,48.230000,0.000000,48.230000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,57.960000,0.000000,13.500000,48.230000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,28.940000,0.000000,0.000000,66.840000,0.680000,192.930000,0,0.480000,0.980000,48.600000,0.000000,96.600000,10.950000,32.880000,19.320000,32.880000,0.770000,32.880000,0.000000,72.350000,0.000000,24.120000,0.610000,0.000000,96.460000,64.710000,241.500000,0.350000,1566.66

82,20:15-20:30,0.000000,11.590000,48.210000,0.000000,48.210000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,57.960000,0.000000,13.500000,48.210000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,28.930000,0.000000,0.000000,66.840000,0.680000,192.860000,0,0.480000,0.980000,48.580000,0.000000,96.600000,10.950000,32.870000,19.320000,32.870000,0.770000,32.870000,0.000000,72.320000,0.000000,24.110000,0.610000,0.000000,96.440000,64.680000,241.500000,0.350000,1566.38

83,20:30-20:45,0.000000,11.590000,41.490000,0.000000,41.490000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,49.890000,0.000000,11.610000,41.490000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,24.890000,0.000000,0.000000,66.840000,0.680000,165.970000,0,0.480000,0.980000,41.810000,0.000000,96.600000,9.430000,28.280000,19.320000,28.280000,0.770000,28.280000,0.000000,62.240000,0.000000,20.750000,0.610000,0.000000,82.980000,55.670000,241.500000,0.350000,1447.36

84,20:45-21:00,0.000000,11.590000,41.720000,0.000000,41.720000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,50.150000,0.000000,11.690000,41.720000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.040000,0.000000,0.000000,66.840000,0.680000,166.880000,0,0.480000,0.980000,42.040000,0.000000,96.600000,9.480000,28.450000,19.320000,28.450000,0.770000,28.450000,0.000000,62.580000,0.000000,20.870000,0.610000,0.000000,83.440000,55.970000,241.500000,0.350000,1451.46

85,21:00-21:15,0.000000,11.590000,43.280000,0.000000,43.280000,0.000000,1.930000,1.590000,0.000000,0.000000,0.000000,0.880000,0.000000,1.930000,0.000000,52.000000,0.000000,12.110000,43.280000,0.000000,168.760000,0.520000,96.600000,0.880000,0.000000,25.970000,0.000000,0.000000,66.840000,0.680000,173.100000,0,0.480000,0.980000,43.610000,0.000000,96.600000,9.820000,29.500000,19.320000,29.500000,0.770000,29.500000,0.000000,64.910000,0.000000,21.630000,0.610000,0.000000,86.550000,58.060000,241.500000,0.350000,1478.91

