Time,Block,NR/2023/17358/C,ER/2023/11091/C,NR/2023/17350/C,NR/2023/16191/A,NR/2023/13385/A,NR/2023/16185/A,NR/2023/16073/A,NR/2023/17345/D,NR/2023/13150/A,NR/2023/17351/C,NR/2023/17363/C,NR/2023/13165/A,NR/2023/13254/A,NR/2023/13253/A,NR/2023/17357/C,NR/2023/13387/A,NR/2023/17349/C,NR/2023/13148/A,NR/2023/13168/A,NR/2023/13383/A,NR/2023/17355/C,NR/2023/15770/A,NR/2023/17354/C,NR/2023/16291/F,NR/2023/16077/A,NR/2023/17343/D,NR/2023/17356/C,Total
84,20:45-21:00,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.530000,0.770000,0.000000,0,144.910000,1155.97

85,21:00-21:15,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.430000,0.770000,0.000000,0,188.100000,1199.06

86,21:15-21:30,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.430000,0.770000,0.000000,0,222.650000,1233.61

87,21:30-21:45,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.430000,0.770000,0.000000,0,270.640000,1281.6

88,21:45-22:00,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,6.060000,36.210000,34.550000,0.000000,191.940000,28.790000,9.430000,0.770000,0.000000,0,286.950000,1297.91

89,22:00-22:15,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.350000,0.770000,85.320000,0,243.760000,1375.51

90,22:15-22:30,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.350000,0.770000,85.320000,0,279.270000,1411.02

91,22:30-22:45,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.350000,0.770000,85.320000,0,274.470000,1406.22

92,22:45-23:00,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.350000,0.770000,85.320000,0,267.760000,1399.51

93,23:00-23:15,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.250000,0.770000,85.320000,0,268.720000,1400.37

94,23:15-23:30,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.250000,0.770000,85.320000,0,266.800000,1398.45

95,23:30-23:45,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.250000,0.770000,85.320000,0,266.800000,1398.45

96,23:45-24:00,23.990000,0.000000,0.000000,41.750000,49.660000,38.390000,0.000000,106.060000,62.570000,0.000000,0.000000,22.070000,19.470000,47.980000,191.940000,99.330000,5.050000,36.210000,34.550000,36.560000,191.940000,28.790000,9.250000,0.770000,85.320000,0,268.720000,1400.37

