Column1,Block,SR/2025/17432/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,NR/2025/28126/C,GNA/NR/2025/06/01/9719,NR/2025/28195/C,NR/2025/28184/C,NR/2025/28197/C,NR/2025/28154/C,NR/2025/28185/C,NR/2025/28198/C,NR/2025/28156/C,NR/2025/28186/C,NR/2025/28157/C,NR/2025/28187/C,NR/2025/28188/C,NR/30092023/26122029/SH-06,NR/2025/28159/C,NR/30092023/31122025/SH-07,NR/2025/26860/A/78162,NR/2025/26570/A/78433,NR/2025/27167/A/78196,NR/2025/27727/A/78466,NR/2025/26564/A/78431,NR/2025/26563/A/78430,NR/2025/28211/C,NR/2025/27725/A/78469,NR/2025/27281/A/78587,NR/2025/28100/C,NR/2025/27359/A/78166,NR/2025/26777/A/78146,NR/2025/27157/A/78032,NR/2025/26569/A/78432,NR/2025/28107/C,NR/2025/26785/A/78073,NR/2025/27242/A/78194,NR/2025/27782/A/78465,NR/2025/27724/A/78134,NR/2025/27499/A/78490,NR/2025/27162/A/78477,NR/2025/26085/A/78023,NR/2025/27168/A/78199,NR/2025/28212/C,NR/2025/27728/A/78467,NR/2025/27393/A/78163,NR/2025/27726/A/78468,NR/2025/27462/A/78053,NR/2025/26861/A/78443,NR/2025/28213/C,NR/2025/26952/A/78111,NR/2025/26889/A/78491,NR/2025/26445/A/78533,NR/2025/27088/A/78529,NR/2025/26561/A/78429,NR/2025/27360/A/78165,NR/2025/26975/A/78479,NR/2025/27361/A/78164,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/78167,NR/2025/27622/A/78052,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,Total
41,10:00-10:15,0,11.46,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,85.68,168,10.28,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1949.43

42,10:15-10:30,0,11.46,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,89.96,175,10.62,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1961.05

43,10:30-10:45,0,11.46,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,93.69,186,8.78,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1919.16

44,10:45-11:00,0,11.46,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,97.18,193,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1929.7900000000002

45,11:00-11:15,0,11.36,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,196,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1935.51

46,11:15-11:30,0,11.36,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,200,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1939.51

47,11:30-11:45,0,11.36,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1942.51

48,11:45-12:00,0,11.36,41.02,0,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.94,128.97,26.94,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,1942.51

49,12:00-12:15,0,11.27,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,0,128.97,0,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2023.6699999999998

50,12:15-12:30,0,11.27,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,0,128.97,0,0,0,20.75,0,0,0,109.55,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2023.6699999999998

51,12:30-12:45,0,11.27,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,0,128.97,0,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2078.4500000000003

52,12:45-13:00,0,11.27,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,0,128.97,0,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2078.4500000000003

53,13:00-13:15,0,11.18,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,0,128.97,0,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,11.58,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2078.36

54,13:15-13:30,0,11.18,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,0,128.97,0,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,12.55,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2079.33

55,13:30-13:45,0,11.18,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.95,128.97,26.95,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,12.55,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2133.23

56,13:45-14:00,0,11.18,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,0,26.32,0,8.77,26.32,26.95,128.97,26.95,0,0,20.75,0,0,0,164.33,0,0,24.85,0,0,0,0,53.09,0,33.78,0,12.55,0,0,0.97,20.75,27.99,0,0,0,0,0,164.08,0,0,96.52,0,15.81,0,0,0,100,203,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2133.23

57,14:00-14:15,0,11.08,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,12.55,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,100,189,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2702.5799999999995

58,14:15-14:30,0,11.08,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,12.55,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,98.3,186,8.92,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2697.8799999999997

59,14:30-14:45,0,11.08,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,12.55,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,92.42,179,10.93,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2687.0099999999993

60,14:45-15:00,0,11.08,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,12.55,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,88.64,172,10.57,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2675.8699999999994

61,15:00-15:15,0,11.82,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,13.51,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,84.55,161,8.69,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2660.5999999999995

62,15:15-15:30,0,11.82,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,13.51,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,80.36,151,8.69,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2646.4099999999994

63,15:30-15:45,0,11.82,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,13.51,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,75.68,140,8.69,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2630.7299999999996

64,15:45-16:00,0,11.82,41.02,135.13,20.75,164.08,8.77,5.79,90.25,26.32,55.92,144.78,26.32,144.78,8.77,26.32,26.7,128.97,26.7,0,0,20.75,0,0,0,164.33,0,0,24.85,33.78,0,0,0,53.09,0,33.78,0,13.51,0,0,0.97,20.75,27.99,0,193.04,0,0,0,164.08,0,0,96.52,0,15.81,28.96,0,38.61,70.73,130,8.22,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2615.309999999999

65,16:00-16:15,0,12.19,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.7,0,26.7,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,53.09,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,63.98,119,5.79,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2822.22

66,16:15-16:30,0,12.19,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.7,0,26.7,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,53.09,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,57.14,105,5.79,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2801.3799999999997

67,16:30-16:45,84.94,12.19,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.7,0,26.7,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,53.09,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,51,91,5.79,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2866.18

68,16:45-17:00,80.11,12.19,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.7,0,26.7,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,53.09,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,44.6,77,5.79,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2840.95

69,17:00-17:15,84.94,12.57,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.7,0,26.7,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,38.21,63,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2766.89

70,17:15-17:30,138.02,12.57,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,26.7,0,26.7,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,31.31,49,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2799.07

71,17:30-17:45,123.55,12.57,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,24.24,0,24.24,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,24.93,35,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2759.2999999999997

72,17:45-18:00,135.13,12.57,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,24.24,0,24.24,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,33.78,8.77,13.51,0,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,135.13,0,96.52,164.08,144.78,28.96,5.79,38.61,19.06,21,0,11.89,11.9,17.37,20.75,41.02,164.08,20.75,53.57,41.02,2751.01

73,18:00-18:15,159.26,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,24.24,0,24.24,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,14.22,11,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2658.66

74,18:15-18:30,159.26,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,24.24,0,24.24,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,10.09,7,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2650.53

75,18:30-18:45,178.56,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,24.24,0,24.24,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,0.85,4,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2657.59

76,18:45-19:00,202.69,12.75,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,24.24,0,24.24,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,0.28,1,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2678.1500000000005

77,19:00-19:15,222,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29,0,29,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,0.24,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2706.4

78,19:15-19:30,246.13,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29,0,29,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2730.2900000000004

79,19:30-19:45,231.65,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29,0,29,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2715.8100000000004

80,19:45-20:00,236.47,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29,0,29,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.87,20.75,27.99,26.32,193.04,26.32,9.65,0,0,0,5.79,96.52,164.08,144.78,28.96,5.79,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,164.08,20.75,53.57,41.02,2720.6300000000006

81,20:00-20:15,265.43,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2713.9700000000007

82,20:15-20:30,270.26,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2718.8000000000006

83,20:30-20:45,265.43,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2713.9700000000007

84,20:45-21:00,260.6,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,13.51,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2709.140000000001

85,21:00-21:15,255.78,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,12.55,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2703.360000000001

86,21:15-21:30,222,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,12.55,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2669.580000000001

87,21:30-21:45,202.69,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,12.55,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2650.270000000001

88,21:45-22:00,197.87,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,12.55,8.69,55.92,0.92,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2645.4500000000007

89,22:00-22:15,173.74,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,11.58,8.69,55.92,0.82,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2620.250000000001

90,22:15-22:30,139.95,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,11.58,8.69,55.92,0.82,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2586.460000000001

91,22:30-22:45,103.28,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,11.58,8.69,55.92,0.82,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2549.790000000001

92,22:45-23:00,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,11.58,8.69,55.92,0.82,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2446.51

93,23:00-23:15,0,13.21,41.02,0,20.75,0,0,0,0,0,0,0,0,0,0,0,29.5,0,29.5,90.25,144.78,20.75,26.32,144.78,0,164.33,8.77,24.85,0,33.78,164.08,217.17,0,0,0,41.02,8.77,10.62,8.69,55.92,0.77,20.75,27.99,26.32,135.13,26.32,9.65,164.08,0,0,5.79,96.52,164.08,144.78,28.96,27.03,38.61,0,0,0,11.89,11.9,28.96,20.75,41.02,0,20.75,53.57,41.02,2445.5000000000005

