Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30334/A/85154,NR/2025/29985/A/85295,NR/2025/30574/C,GNA/NR/2025/07/01/8139,NR/2025/30067/A/85703,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,NR/2025/30646/C,NR/2025/30217/A/85620,NR/2025/30082/A/85635,NR/2025/29915/A/85206,NR/2025/29628/A/85639,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2786,NR/2025/27978/A/85623,GNA/NR/2025/07/01/8230,NR/2025/30083/A/85629,NR/2025/30639/C,NR/2025/30640/C,NR/2025/30649/C,NR/2025/30101/A/85616,NR/2025/30492/A/85587,NR/2025/29440/A/85184,NR/2025/30086/A/85626,NR/2025/27962/A/85602,NR/2025/30084/A/85627,NR/2025/26975/A/85642,NR/2025/30622/C,NR/2025/30191/A/85156,NR/2025/30516/C,NR/2025/30641/C,NR/2025/30579/C,NR/2025/29353/A/85460,NR/2025/30121/A/85162,NR/2025/30105/A/85624,NR/2025/29167/A/85207,NR/2025/29910/A/85636,NR/2025/27970/A/85606,NR/2025/29439/A/85239,NR/2025/29986/A/85297,NR/2025/29992/A/85253,NR/2025/30648/C,NR/2025/30596/C,NR/2025/27968/A/85605,NR/2025/27964/A/85604,NR/2025/30576/C,NR/2025/27963/A/85603,NR/2025/29352/A/85462,NR/2025/28725/A/85568,NR/2025/30642/C,NR/2025/30647/C,NR/2025/30650/C,NR/2025/30531/C,NR/2025/30623/C,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,Total
49,12:00-12:15,83.33,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,16.85,26.97,1937.8

50,12:15-12:30,83.33,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,16.85,26.97,1937.8

51,12:30-12:45,95,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,16.85,26.97,1949.47

52,12:45-13:00,95,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,16.85,26.97,1949.47

53,13:00-13:15,84.55,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,13.18,26.97,1935.35

54,13:15-13:30,84.85,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,13.18,26.97,1935.65

55,13:30-13:45,84.04,5.25,179,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,13.18,26.97,1934.8400000000001

56,13:45-14:00,83.44,5.25,172,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,0,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,13.18,26.97,1927.2400000000002

57,14:00-14:15,90,5.25,168,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,13.18,26.97,2064.55

58,14:15-14:30,88.33,5.25,165,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.97,13.18,26.97,2059.88

59,14:30-14:45,78.2,6.74,140,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.5,13.18,26.5,2025.3000000000002

60,14:45-15:00,72.07,7.03,133,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.5,13.18,26.5,2012.46

61,15:00-15:15,33.33,7.11,126,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.5,13.18,26.5,1966.8000000000002

62,15:15-15:30,33.33,6.86,119,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.5,13.18,26.5,1959.5500000000002

63,15:30-15:45,33.33,6.47,112,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.5,13.18,26.5,1952.1600000000003

64,15:45-16:00,33.33,6.03,105,48.12,134.99,0,15.26,0,14.58,0,0,0,0,20.76,81.81,19.25,43.75,0,224.98,0,48.12,96.25,7.7,0,13.48,0,0,0,0,5.78,76.63,0,48.12,163.87,96.25,81.81,0,0,0,0,0,0,134.75,0,15.44,0.96,0,0,143.17,0,28.63,0,27.91,43.75,37.19,44.28,16.59,26.5,13.18,26.5,1944.7200000000003

65,16:00-16:15,20,5.54,98,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.96,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,13.18,26.5,1969.46

66,16:15-16:30,19.33,5.1,88,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.96,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,13.18,26.5,1958.3500000000004

67,16:30-16:45,15,4.65,77,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.96,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,13.18,26.5,1942.5700000000002

68,16:45-17:00,15,4.17,63,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.96,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,13.18,26.5,1928.0900000000001

69,17:00-17:15,11.67,0,49,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,16.85,26.5,1910.1699999999998

70,17:15-17:30,11.67,0,35,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,16.85,26.5,1896.1699999999998

71,17:30-17:45,11,0,28,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,16.85,26.5,1888.4999999999998

72,17:45-18:00,10,0,21,0,134.99,0,15.26,0,0,7.7,48.12,0,76.63,20.76,81.81,19.25,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,26.5,16.85,26.5,1880.4999999999998

73,18:00-18:15,10,0,14,0,134.99,0,0,0,0,7.7,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,19.42,17.32,29,1834.88

74,18:15-18:30,8.8,0,7,0,134.99,0,0,0,0,7.7,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,16.59,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,19.42,17.32,29,1826.6799999999998

75,18:30-18:45,6.42,0,5,0,134.99,0,0,0,0,7.7,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,19.42,17.32,29,1824.9600000000003

76,18:45-19:00,0.58,0,2,0,134.99,0,0,0,0,7.7,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,0,48.12,13.48,0.87,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,19.42,17.32,29,1816.1200000000001

77,19:00-19:15,0.26,0,1,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,17.78,29,1824.8799999999999

78,19:15-19:30,0,0,0,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,17.78,29,1823.6200000000001

79,19:30-19:45,0,0,0,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,17.78,29,1823.6200000000001

80,19:45-20:00,0,0,0,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,5.78,0,48.12,0,163.87,0,81.81,6.74,29.16,0,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,17.78,29,1823.6200000000001

81,20:00-20:15,0,0,0,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1895.2100000000003

82,20:15-20:30,0,0,0,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1895.2100000000003

83,20:30-20:45,0,0,0,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1895.2100000000003

84,20:45-21:00,0,0,0,0,134.99,0,0,0,0,0,48.12,0,76.63,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1895.2100000000003

85,21:00-21:15,0,0,0,0,134.99,0,0,0,0,0,48.12,0,105.88,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1924.4600000000003

86,21:15-21:30,0,0,0,0,134.99,0,0,0,0,0,48.12,0,105.88,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1924.4600000000003

87,21:30-21:45,0,0,0,0,134.99,0,0,0,0,0,48.12,0,105.88,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1924.4600000000003

88,21:45-22:00,0,0,0,0,134.99,0,0,0,0,0,48.12,0,105.88,20.76,81.81,0,43.75,96.25,224.98,14.58,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1924.4600000000003

89,22:00-22:15,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1893.03

90,22:15-22:30,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,13.48,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,15.02,29,1893.03

91,22:30-22:45,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,12.51,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,17.32,29,1894.3600000000001

92,22:45-23:00,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,12.51,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,17.32,29,1894.3600000000001

93,23:00-23:15,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,12.51,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,16.85,29,1893.89

94,23:15-23:30,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,12.51,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,16.85,29,1893.89

95,23:30-23:45,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,12.51,0.91,37.19,96.25,43.75,25.99,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,16.85,29,1893.89

96,23:45-24:00,0,0,0,0,134.99,0,0,0,0,0,24,0,105.88,20.76,81.81,0,43.75,96.25,224.98,7.27,0,0,7.7,48.12,12.51,0.91,37.19,96.25,43.75,26.13,0,48.12,0,163.87,0,81.81,6.74,29.16,54.14,19.25,0,25.1,134.75,44.28,0,0,0,0,0,0,28.63,143.17,27.91,0,0,0,0,29,16.85,29,1894.03

