Column1,Block,GNA/NR/2025/08/01/5126,NR/2025/34583/C,NR/2025/32534/A/100863,NR/2025/32535/A/100864,NR/2025/33632/A/100604,NR/2025/32532/A/100860,NR/2025/33633/A/100603,NR/2025/32535/A/100865,NR/2025/32532/A/100861,NR/2025/32599/A/100945,NR/2025/33637/A/100601,NR/2025/32534/A/100862,NR/2025/34571/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/34078/A/100511,NR/2025/34570/C,NR/2025/31043/A/100909,NR/2025/32559/A/100914,NR/2025/34587/C,NR/2025/32610/A/100913,NR/2025/34586/C,NR/2025/29440/A/100450,NR/2025/34540/C,NR/2025/29992/A/100510,NR/2025/31421/A/100930,NR/2025/34524/C,NR/2025/34525/C,NR/2025/32262/A/100439,NR/2025/34568/C,NR/2025/34569/C,NR/2025/32455/A/101013,NR/2025/34584/C,NR/2025/31049/A/100906,NR/2025/32397/A/100370,NR/2025/31048/A/100907,NR/2025/34247/A/100869,NR/2025/32556/A/100915,NR/2025/34263/A/100719,NR/2025/31045/A/100908,NR/2025/32004/A/100918,NR/2025/32375/A/100925,GNARE/NR/2024/12/20/3668,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,Total
56,13:45-14:00,20.44,8.81,0.38,0.19,1.15,0.48,1.44,0.38,0.58,133,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,0,0,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,83.59,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1384.49

57,14:00-14:15,20.44,8.81,0.38,0.19,1.15,0.48,1.44,0.38,0.58,161,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,91.67,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1612.9900000000002

58,14:15-14:30,20.44,8.81,0.38,0.19,1.15,0.48,1.44,0.38,0.58,158,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,90,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1608.3200000000002

59,14:30-14:45,20.44,8.81,0.64,0.19,1.15,0.48,1.44,0.55,0.92,147,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,87.51,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1595.6000000000001

60,14:45-15:00,20.44,8.81,0.67,0.19,1.15,0.48,1.44,0.67,0.96,140,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,83.6,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1584.8799999999999

61,15:00-15:15,20.44,10.77,0.67,0.19,1.15,0.48,1.44,0.67,0.96,137,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,76.65,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1576.89

62,15:15-15:30,20.44,10.77,0.77,0.19,1.15,0.48,1.44,0.62,0.88,130,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,69.7,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1562.91

63,15:30-15:45,20.44,10.77,0.77,0.19,1.15,0.48,1.44,0.6,0.85,126,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,62.76,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1551.92

64,15:45-16:00,20.44,10.77,0.77,0.19,1.15,0.48,1.44,0.56,0.79,119,1.64,0.29,76.6,0,13.47,37.18,0,0,192.42,0,48.1,0.96,163.56,44.26,0,96.21,96.21,0,43.73,43.73,0,48.1,0,0,0,0,0,81.78,0,0,0,55.81,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1537.87

65,16:00-16:15,20.44,10.77,0.77,0.19,0,0.48,0,0.49,0.69,116,0,0.29,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,0,0,163.56,43.73,81.78,96.21,76.6,48.1,56.69,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1531.26

66,16:15-16:30,20.44,10.77,0.77,0.19,0,0.48,0,0.44,0.63,105,0,0.29,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,0,0,163.56,43.73,81.78,96.21,76.6,48.1,49.8,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1513.2599999999998

67,16:30-16:45,20.44,10.77,0.77,0.19,0,0.48,0,0.37,0.52,91,0,0.29,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,0,0,163.56,43.73,81.78,96.21,76.6,48.1,33,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1482.28

68,16:45-17:00,20.44,8.81,0.77,0.19,0,0.48,0,0.25,0.36,77,0,0.29,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,0,0,163.56,43.73,81.78,96.21,76.6,48.1,30.46,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1463.5

69,17:00-17:15,20.44,8.16,0.77,0.19,0,0.48,0,0.15,0.21,63,0,0.29,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,26.39,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1453.19

70,17:15-17:30,20.44,7.88,0.77,0.19,0,0.48,0,0.06,0.09,53,0,0.29,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,22.36,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1438.6699999999998

71,17:30-17:45,20.44,7.7,0.77,0.19,0,0.48,0,0,0,42,0,0.29,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,18.2,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1423.18

72,17:45-18:00,20.44,7.76,0.77,0.19,0,0.47,0,0,0,32,0,0.28,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,0,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,14.11,20.76,19.24,14.58,15.25,0,0,20.44,14.58,28.93,81.78,81.78,40.89,1409.1299999999999

73,18:00-18:15,20.44,8.58,0.77,0.13,0,0.3,0,0,0,21,0,0.18,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,10.57,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1360.58

74,18:15-18:30,20.44,6.23,0,0.07,0,0.15,0,0,0,14,0,0.1,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,7.4,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1347

75,18:30-18:45,20.44,4.07,0,0.02,0,0.04,0,0,0,7,0,0.02,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,3.58,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1333.78

76,18:45-19:00,20.44,2.61,0,0,0,0,0,0,0,5,0,0,0,0,13.47,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,1.21,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1327.8700000000001

77,19:00-19:15,20.44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0.7,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1307.3200000000002

78,19:15-19:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0.28,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1305.9

79,19:30-19:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0.07,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1305.69

80,19:45-20:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,0,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1305.6200000000001

81,20:00-20:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1359.74

82,20:15-20:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1359.74

83,20:30-20:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1359.74

84,20:45-21:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,76.6,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1359.74

85,21:00-21:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

86,21:15-21:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

87,21:30-21:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

88,21:45-22:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

89,22:00-22:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

90,22:15-22:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

91,22:30-22:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

92,22:45-23:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.91,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.97

93,23:00-23:15,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.93

94,23:15-23:30,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.93

95,23:30-23:45,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.93

96,23:45-24:00,20.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.73,192.42,37.18,0,0.87,0,44.26,48.1,0,0,54.12,0,0,48.1,0,96.21,8.66,0,163.56,43.73,81.78,96.21,105.83,48.1,0,20.76,0,14.58,0,0,0,20.44,14.58,28.93,33.67,81.78,40.89,1388.93

