Time,Block,NR/2023/11469/A,NR/2023/14888/C,NR/2023/14887/C,NR/2023/11654/A,NR/2023/14879/C,NR/2023/13283/A,NR/2023/13284/A,NR/2023/12646/A,NR/2023/11203/A,NR/2023/11315/A,NR/2023/14867/D,NR/2023/11328/A,NR/2023/14885/C,NR/2023/14868/D,NR/2023/14864/D,NR/2023/14890/C,NR/2023/11325/A,NR/2023/14187/F,NR/2023/14688/F,NR/2023/13859/A,NR/2023/13858/A,NR/2023/11470/A,NR/2023/11739/A,NR/2023/11954/A,NR/2023/11458/A,NR/2023/13983/F,NR/2023/14873/C,NR/2023/14893/C,NR/2023/11697/A,NR/2023/14688/F/II,NR/2023/14884/C,NR/2023/14882/C,NR/2023/13983/F/II,NR/2023/13573/A,ER/2023/9115/C,NR/2023/14869/D,WR/2023/17287/C,NR/2023/14863/D,NR/2023/14866/D,Total
58,14:15-14:30,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,62.750000,0.000000,70.5,0.000000,3.1,164.5,1471.02

59,14:30-14:45,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,67.5,0.000000,2.46,157.5,1397.63

60,14:45-15:00,84.940000,0.000000,0.000000,152.530000,16.360000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,66,0.000000,2.41,154,1392.58

61,15:00-15:15,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,60,0.000000,2.87,140,1371.2

62,15:15-15:30,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,55.2,0.000000,1.85,128.8,1354.18

63,15:30-15:45,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,51.6,0.000000,2.08,120.4,1342.41

64,15:45-16:00,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,0.970000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.970000,6.760000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,47.4,0.000000,3.12,110.6,1329.45

65,16:00-16:15,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,44.4,0.000000,2.76,103.6,1318.93

66,16:15-16:30,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,40.5,0.000000,2.09,94.5,1305.26

67,16:30-16:45,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,37.5,0.000000,1.41,87.5,1294.58

68,16:45-17:00,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,23.100000,62.990000,22.200000,19.310000,48.270000,0.000000,24.140000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,106.190000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,33,0.000000,1.06,77,1279.23

69,17:00-17:15,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,48.270000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,27,0.000000,0.82,63,1153.83

70,17:15-17:30,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,48.270000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,21,0.000000,0.68,49,1133.69

71,17:30-17:45,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,48.270000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,18,0.000000,0.3,42,1123.31

72,17:45-18:00,84.940000,0.000000,0.000000,152.530000,14.520000,24.140000,0.000000,0.000000,62.990000,22.200000,19.310000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,0.000000,48.270000,0.820000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,15,0.000000,0,35,1113.01

73,18:00-18:15,84.940000,0.000000,0.000000,152.530000,14.520000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.870000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,13.5,0.000000,0,31.5,1101.03

74,18:15-18:30,84.940000,0.000000,0.000000,152.530000,14.520000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.870000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,10.5,0.000000,0,24.5,1091.03

75,18:30-18:45,84.940000,0.000000,0.000000,152.530000,14.520000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.870000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,9,0.000000,0,21,1086.03

76,18:45-19:00,84.940000,0.000000,0.000000,152.530000,14.520000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,0.000000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.870000,3.860000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,6,0.000000,0,14,1076.03

77,19:00-19:15,84.940000,0.000000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,1.930000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,3,50.000000,0,7,1181.5

78,19:15-19:30,84.940000,0.000000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,1.930000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,1.8,50.000000,0,4.2,1177.5

79,19:30-19:45,84.940000,0.000000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,2.900000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,0.6,50.000000,0,1.4,1174.47

80,19:45-20:00,84.940000,0.000000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,2.900000,0.000000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,0.000000,0,50.000000,0,0,1172.47

81,20:00-20:15,84.940000,8.210000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,2.900000,0.000000,0.000000,0.000000,6.760000,48.270000,0.000000,0.000000,0.000000,0,50.000000,0,0,1228.95

82,20:15-20:30,84.940000,8.210000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,2.900000,0.000000,0.000000,0.000000,6.760000,48.270000,0.000000,0.000000,0.000000,0,50.000000,0,0,1228.95

83,20:30-20:45,84.940000,8.210000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,2.900000,0.000000,0.000000,0.000000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1277.22

84,20:45-21:00,84.940000,8.210000,0.000000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,24.140000,181.010000,84.470000,21.230000,42.470000,36.420000,48.270000,0.920000,2.900000,0.000000,0.000000,0.000000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1277.22

85,21:00-21:15,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,20.260000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,2.900000,0.000000,0.000000,3.870000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1375.68

86,21:15-21:30,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,20.260000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,2.900000,0.000000,0.000000,3.870000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1375.68

87,21:30-21:45,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,20.260000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,0.970000,0.000000,0.000000,3.870000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1373.75

88,21:45-22:00,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,0.000000,0.000000,62.990000,22.200000,0.000000,48.270000,0.000000,0.000000,193.080000,62.750000,24.140000,3.860000,20.260000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,0.970000,0.000000,0.000000,3.870000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1373.75

89,22:00-22:15,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,0.970000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1565.75

90,22:15-22:30,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,0.970000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1565.75

91,22:30-22:45,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,0.970000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1565.75

92,22:45-23:00,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.920000,0.970000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1565.75

93,23:00-23:15,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.870000,0.000000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1564.73

94,23:15-23:30,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.870000,0.000000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1564.73

95,23:30-23:45,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.870000,0.000000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1564.73

96,23:45-24:00,84.940000,8.210000,55.030000,152.530000,19.120000,0.000000,85.820000,23.100000,62.990000,22.200000,0.000000,48.270000,46.300000,0.000000,193.080000,62.750000,24.140000,3.860000,20.270000,181.010000,84.470000,21.230000,42.470000,36.420000,91.710000,0.870000,0.000000,0.000000,36.780000,3.860000,6.760000,96.540000,0.000000,0.000000,0.000000,0,50.000000,0,0,1564.73

