Block,Time,KOTESHWR,AURY_GF,DADRT2,TANDA2,KOLDAM,UNCHAHAR3,SINGRAULI,ANTA_CRF,SEWA2,URI,UNCHAHAR4,DADRI_LF,NJPC,UNCHAHAR2,RIHAND2,JHAJJAR,KISHANGANGA,CHAMERA1,RIHAND1,DADRI_CRF,AURY_RF,TANAKPUR,DADRI_GF,AURY_CRF,RIHAND3,DHAULIGNGA,SINGRAULI_HYDRO,BSIUL,RAPPB,RAPPC,DADRI_RF,ANTA_RF,SALAL,DULHASTI,ANTA_GF,URI2,TEHRI,ANTA_LF,RAMPUR,UNCHAHAR1,PARBATI3,CHAMERA2,AURY_LF,CHAMERA3,NAPP,KUDGI,BRBCL,SASAN,KHSTPP-II,KHSTPP-I,TALA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
34,08:15-08:30,8.591807,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,10.221636,10.688928,0.000000,0.000000,22.005250,16.429483,56.726838,332.092600,0.000000,0.000000,89.074400,0.000000,0.000000,6.201321,0.000000,0.000000,119.733058,8.825046,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,15.954825,0.000000,30.883045,45.198481,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,19.233099,11.62,19.364004,405.453114,94.079316,42.734993,4.269762,9.563976,0,0,0,0,0

35,08:30-08:45,8.591807,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,5.110818,10.688928,0.000000,0.000000,22.005250,16.429483,56.726838,332.092600,0.000000,0.000000,89.074400,0.000000,0.000000,7.441585,0.000000,0.000000,119.733058,8.825046,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,15.954825,0.000000,30.883045,45.198481,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,19.233099,20.33,19.364004,405.453114,94.079316,38.324941,4.269762,6.059577,0,0,0,0,0

36,08:45:09:00,8.591807,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,4.517137,10.688928,0.000000,0.000000,22.005250,16.429483,56.726838,332.092600,0.000000,0.000000,89.074400,0.000000,0.000000,7.441585,0.000000,0.000000,119.733058,0.000000,0.759388,6.313439,0.000000,25.432968,0.000000,0.000000,12.938057,15.954825,0.000000,30.883045,30.132320,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,19.233099,27.11,19.364004,405.453114,94.079316,34.989393,4.269762,6.059577,0,0,0,0,0

37,09:00:09:15,8.591807,0.000000,284.199425,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,10.688928,0.000000,0.000000,22.005250,16.429483,56.726838,332.092600,0.000000,0.000000,89.074400,0.000000,0.000000,7.441585,0.000000,0.000000,119.733058,0.000000,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,12.938057,15.954825,0.000000,30.883045,30.132320,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,19.233099,10.65,19.364004,405.453114,94.079316,34.989393,4.269762,6.059577,0,0,0,0,0

38,09:15-09:30,8.591807,0.000000,285.429039,0.000000,0.000000,12.499462,100.208700,0.000000,0.000000,10.688928,0.000000,0.000000,22.005250,16.429483,56.726838,332.092600,0.000000,0.000000,89.074400,0.000000,0.000000,7.441585,0.000000,0.000000,119.733058,0.000000,0.759388,0.000000,0.000000,25.432968,0.000000,0.000000,12.938057,15.954825,0.000000,14.326649,16.347089,0.000000,0.000000,9.623908,0.000000,12.647984,0.000000,0.000000,19.233099,17.43,19.364004,405.453114,94.079316,34.989393,4.269762,6.059577,0,0,0,0,0

