Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/77719,NR/2025/27622/A/77583,NR/2025/28037/C,NR/2025/26777/A/77654,NR/2025/28038/C,NR/2025/26569/A/77964,NR/2025/27985/C,NR/2025/28067/C,NR/2025/27782/A/77991,NR/2025/27499/A/77994,NR/2025/26570/A/77965,NR/2025/28068/C,NR/2025/28076/C,NR/2025/27361/A/77716,SR/2025/17354/C,NR/2025/28071/C,NR/2025/28077/C,NR/2025/28082/C,NR/2025/27987/C,NR/2025/26564/A/77963,NR/2025/28083/C,NR/2025/28058/C,NR/2025/27168/A/77747,NR/2025/28005/C,NR/2025/27726/A/78000,NR/2025/27462/A/77586,NR/2025/28078/C,NR/2025/28073/C,NR/2025/27728/A/77999,NR/2025/27088/A/78015,NR/2025/28079/C,NR/2025/26861/A/77977,NR/2025/26860/A/77966,NR/2025/26975/A/78003,NR/2025/26445/A/78019,NR/2025/26561/A/77961,NR/2025/27727/A/77992,NR/2025/26952/A/77557,NR/2025/27162/A/78002,NR/2025/26889/A/77995,NR/2025/28035/C,NR/2025/26785/A/77595,NR/2025/27281/A/78070,NR/2025/26563/A/77962,NR/2025/28036/C,NR/2025/27157/A/77653,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,NR/2025/27360/A/77717,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/27242/A/77754,NR/2025/27724/A/77691,NR/2025/27359/A/77718,NR/2025/27393/A/77714,NR/2025/27167/A/77746,NR/2025/27725/A/78001,GNA/NR/2025/06/01/7782,NR/2025/26085/A/77593,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
41,10:00-10:15,84.37,182,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1766.890000000001

42,10:15-10:30,88.8,189,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1778.3200000000008

43,10:30-10:45,92.76,196,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1789.2800000000009

44,10:45-11:00,96.67,200,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1797.1900000000007

45,11:00-11:15,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1804.490000000001

46,11:15-11:30,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1804.490000000001

47,11:30-11:45,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1804.490000000001

48,11:45-12:00,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,0,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.95,26.95,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.71,1804.490000000001

49,12:00-12:15,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.63,1939.5600000000006

50,12:15-12:30,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.63,1939.5600000000006

51,12:30-12:45,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.63,1939.5600000000006

52,12:45-13:00,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.63,1939.5600000000006

53,13:00-13:15,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,11.58,0,0,16.89,0,11.89,0.97,11.9,10.63,1939.5600000000006

54,13:15-13:30,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,12.55,0,0,16.89,0,11.89,0.97,11.9,10.63,1940.5300000000007

55,13:30-13:45,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,12.55,0,0,16.89,0,11.89,0.97,11.9,10.63,1940.5300000000007

56,13:45-14:00,100,203,12.55,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,0,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,0,0,0,0,0,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,0,26.96,26.96,33.78,12.55,0,0,16.89,0,11.89,0.97,11.9,10.63,1940.5300000000007

57,14:00-14:15,100,175,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,12.55,33.78,111,16.89,0,11.89,0.97,11.9,10.71,2413.2300000000005

58,14:15-14:30,100,168,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,12.55,33.78,111,16.89,0,11.89,0.97,11.9,10.71,2406.2300000000005

59,14:30-14:45,91.01,165,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,12.55,33.78,111,16.89,0,11.89,0.97,11.9,10.71,2394.2400000000007

60,14:45-15:00,87.42,158,11.58,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,12.55,33.78,111,16.89,0,11.89,0.97,11.9,10.71,2383.6500000000005

61,15:00-15:15,83.44,144,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,0,11.89,0.97,11.9,10.81,2363.8400000000006

62,15:15-15:30,79.17,133,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,0,11.89,0.97,11.9,10.81,2348.5700000000006

63,15:30-15:45,74.22,123,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,0,11.89,0.97,11.9,10.81,2333.620000000001

64,15:45-16:00,69.28,109,8.69,128.97,0,74.32,0,24.85,5.79,0,0,0,55.92,28.96,38.61,0,135.13,108.45,9.65,53.09,0,29.92,135.13,16.89,135.13,0,0,29.92,9.65,0,0,29.92,0,0,0,96.52,15.81,0,0,0,0,144.78,0,0,0,144.78,0,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,0,11.89,0.97,11.9,10.81,2314.6800000000007

65,16:00-16:15,58.94,81,5.79,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,0,0,108.45,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,53.09,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.18,2545.7500000000005

66,16:15-16:30,55.67,70,5.79,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,0,0,108.45,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,53.09,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.18,2531.4800000000005

67,16:30-16:45,50.66,60,5.79,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,0,0,108.45,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,53.09,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.18,2516.4700000000007

68,16:45-17:00,44.15,49,5.79,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,0,0,108.45,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,53.09,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.18,2498.9600000000005

69,17:00-17:15,37.61,46,0,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,144.78,0,108.45,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2575.6800000000007

70,17:15-17:30,30.19,35,0,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2611.4900000000007

71,17:30-17:45,23.45,25,0,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2594.7500000000005

72,17:45-18:00,15.91,14,0,0,135.13,0,0,0,0,14.62,0,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,135.13,55.92,0,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,17.37,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2576.2100000000005

73,18:00-18:15,11.16,7,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2455.4000000000005

74,18:15-18:30,7.05,5,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2449.2900000000004

75,18:30-18:45,0.28,1,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2438.5200000000004

76,18:45-19:00,0.28,1,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,26.8,26.8,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2438.5200000000004

77,19:00-19:15,0.28,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,29,21.48,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2434.4

78,19:15-19:30,0.28,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,29,21.48,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2434.4

79,19:30-19:45,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,29,29,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2441.64

80,19:45-20:00,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,0,74.32,5.79,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,135.13,33.78,28.96,33.78,16.89,43.92,28.96,29,29,33.78,13.51,33.78,111,16.89,14.62,11.89,0.87,11.9,11.54,2441.64

81,20:00-20:15,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,13.51,33.78,111,16.89,14.62,11.89,0.92,11.9,11.54,2463.9300000000003

82,20:15-20:30,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,13.51,33.78,111,16.89,14.62,11.89,0.92,11.9,11.54,2463.9300000000003

83,20:30-20:45,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,13.51,33.78,111,16.89,14.62,11.89,0.92,11.9,11.18,2463.57

84,20:45-21:00,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,13.51,33.78,111,16.89,14.62,11.89,0.92,11.9,11.18,2463.57

85,21:00-21:15,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,12.55,33.78,111,16.89,14.62,11.89,0.92,11.9,11.08,2462.51

86,21:15-21:30,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,12.55,33.78,111,16.89,14.62,11.89,0.92,11.9,11.08,2462.51

87,21:30-21:45,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,12.55,33.78,111,16.89,14.62,11.89,0.92,11.9,11.08,2462.51

88,21:45-22:00,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,12.55,33.78,111,16.89,14.62,11.89,0.92,11.9,11.08,2462.51

89,22:00-22:15,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,11.58,33.78,111,16.89,14.62,11.89,0.82,11.9,10.99,2461.35

90,22:15-22:30,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,11.58,33.78,111,16.89,14.62,11.89,0.82,11.9,10.99,2461.35

91,22:30-22:45,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,11.58,33.78,111,16.89,14.62,11.89,0.82,11.9,10.99,2461.35

92,22:45-23:00,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,144.78,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,11.58,33.78,111,16.89,14.62,11.89,0.82,11.9,10.99,2461.35

93,23:00-23:15,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,0,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,10.62,33.78,111,16.89,14.62,11.89,0.77,11.9,10.9,2315.47

94,23:15-23:30,0,0,0,0,135.13,0,0,0,0,14.62,8.69,144.78,0,28.96,38.61,0,0,162.68,0,0,144.78,0,0,16.89,0,43.87,9.65,0,0,37.3,135.13,0,135.13,74.32,27.03,96.52,144.78,43.87,0,55.92,5.79,0,0,24.85,0,0,217.17,33.78,16.89,16.89,0,33.78,28.96,33.78,16.89,43.92,28.96,29.5,29.5,33.78,10.62,33.78,111,16.89,14.62,11.89,0.77,11.9,10.9,2315.47

