Block,Time,SINGRAULI_HYDRO,ANTA_RF,DADRI_CRF,AURY_LF,PARBATI3,NAPP,UNCHAHAR3,DULHASTI,CHAMERA1,SALAL,UNCHAHAR1,TANDA2,UNCHAHAR2,CHAMERA3,ANTA_CRF,BSIUL,AURY_RF,JHAJJAR,NJPC,DADRI_RF,RIHAND1,KISHANGANGA,DADRI_LF,DHAULIGNGA,UNCHAHAR4,RAPPB,DADRI_GF,URI,SEWA2,URI2,AURY_CRF,RIHAND3,RAMPUR,SINGRAULI,KOLDAM,DADRT2,ANTA_LF,TEHRI,KOTESHWR,RAPPC,CHAMERA2,AURY_GF,ANTA_GF,TANAKPUR,RIHAND2,SASAN,TALA,KHSTPP-II,BRBCL,KHSTPP-I,KUDGI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
20,04:45-05:00,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,0.000000,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,95.509450,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,19.324022,14.174154,58.94,1.797132,0,0,0,0,0

21,05:00-05:15,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,7.565346,0.000000,0.000000,1.062820,0.000000,226.023166,21.959794,0.000000,88.890400,0.000000,0.000000,1.276350,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,113.157289,0.000000,173.916000,0.000000,0.000000,8.574059,49.657366,0.000000,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,33.324238,19.324022,14.174154,61.84,1.797132,0,0,0,0,0

22,05:15-05:30,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,20.125946,0.000000,0.000000,1.062820,0.000000,226.023166,41.174613,0.000000,88.890400,0.000000,0.000000,6.509386,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,131.271919,0.000000,173.916000,0.000000,15.035038,8.574059,49.657366,12.724893,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,66.154168,19.324022,28.170431,62.80,7.174421,0,0,0,0,0

23,05:30-05:45,0.572986,0.000000,0.000000,0.000000,0.000000,0.000000,9.526732,15.921867,0.000000,12.349968,6.666780,0.000000,13.186529,0.000000,0.000000,1.062820,0.000000,226.023166,54.899484,0.000000,88.890400,0.000000,0.000000,8.806816,0.000000,0.000000,0.000000,10.666848,0.000000,10.397858,0.000000,119.485727,0.000000,131.886300,0.000000,198.071000,0.000000,15.035038,8.574059,49.657366,12.724893,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,63.77,6.248995,0,0,0,0,0

24,05:45-06:00,0.572986,0.000000,0.000000,0.000000,3.689918,0.000000,9.526732,31.843734,6.793352,12.349968,6.666780,0.000000,11.430146,0.000000,0.000000,1.062820,0.000000,226.023166,73.199312,0.000000,88.890400,0.000000,0.000000,17.613633,0.000000,0.000000,0.000000,10.666848,5.022984,12.997322,0.000000,119.485727,0.000000,131.886300,0.000000,198.071000,0.000000,30.070076,17.148118,49.657366,12.724893,0.000000,0.000000,3.713107,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,65.70,6.248995,0,0,0,0,0

25,06:00-06:15,0.572986,0.000000,0.000000,0.000000,15.797768,0.000000,9.526732,47.765600,13.586704,12.349968,6.666780,0.000000,11.430146,2.460718,0.000000,3.188460,0.000000,226.023166,91.499140,0.000000,88.890400,0.000000,0.000000,26.420449,0.000000,0.000000,0.000000,48.000816,10.200521,23.915073,0.000000,119.485727,0.000000,131.886300,0.000000,231.731406,0.000000,45.105115,17.148118,49.657366,25.449785,0.000000,0.000000,4.331958,114.132375,404.615574,0.000000,93.884978,19.324022,42.847588,68.60,12.149675,0,0,0,0,0

