Block,Time,BSIUL,DADRT2,JHAJJAR,KUDGI,NJPC,RIHAND3,RSTPSU1TO6,SASAN,TALA,TANAKPUR,AURY_RF,DADRI_CRF,CHAMERA3,DHAULIGNGA,NLCEXP,UNCHAHAR3,URI2,DADRI_GF,KHSTPP-II,KISHANGANGA,KOTESHWR,NAPP,NLCIIST1,RSTPSU7,SIMHST2,TANDA2,URI,FSTPP I & II,KKNP,NLCIIST2,SALAL,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR4,AURY_CRF,AURY_GF,CHAMERA2,MAPS,NLCTS2EXP,NTPL,RAPPB,TALST2,UNCHAHAR2,VALLURNTECL,ANTA_LF,ANTA_RF,DADRI_LF,DADRI_RF,KGSU1AND2,KGSU3AND4,KKNPPU2,NNTPP,RAPPC,RIHAND1,UNCHAHAR1,BRBCL,DULHASTI,KHSTPP-I,KOLDAM,PARBATI3,RIHAND2,SINGRAULI,ANTA_CRF,CHAMERA1,RAMPUR,SEWA2,SIMHST1,TEHRI,ANTA_GF,AURY_LF
52,12:45-13:00,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.11,11.27,76.47,0,32.08,40.4,0,27.05,29.56,0,148.3,2.88,19.32,45.1,0,0,0,2.89,32.01,14.3,0,0,77.85,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,30.92,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

53,13:00-13:15,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.84,11.27,76.47,0,32.08,40.4,0,27.05,26.6,0,148.3,2.88,19.32,45.1,0,0,0,2.89,32.01,14.3,0,0,77.85,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

54,13:15-13:30,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.84,11.27,76.47,0,32.08,40.4,0,27.05,26.6,0,148.3,2.88,19.32,45.1,0,0,0,2.89,32.01,14.3,0,0,77.85,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

55,13:30-13:45,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.84,11.27,76.47,0,32.08,40.4,0,27.05,26.6,0,148.3,2.88,19.32,45.1,0,0,0,2.89,32.01,14.3,0,0,77.85,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

56,13:45-14:00,13.04,686.07,413.81,0,167.1,127.6,0,402.19,12.84,11.27,76.47,0,32.08,40.4,0,27.05,26.6,0,148.3,2.88,19.32,45.1,0,0,0,2.89,32.01,14.3,0,0,77.85,0,0,1.62,0,0,44.22,0,0,0,0,0,43.71,0,15.26,30.28,0,74.03,0,0,0,0,60.23,94.65,20.96,15,53.79,32.17,5.35,21.08,121.71,127.75,0,42.15,3.54,0,0,50.14,0,0

