Column1,Block,GNA/NR/2024/08/16/9423,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01082024/31082024/SKS-Raigarh,GNA/NR/2024/08/16/6265,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/16082024/31082024/MPL/24-25/STOA/128,GNA/NR/2024/08/16/8581,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/08/16/7438,NR/2024/22590/C,NR/2024/22594/C,NR/2024/21968/A/32485,NR/2024/21970/A/32486,NR/2024/21911/A/32443,NR/2024/21961/A/32478,NR/2024/22010/A/32538,NR/2024/21938/A/32477,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22554/C,NR/2024/22432/A/32241,NR/2024/21658/A/32191,NR/2024/22014/A/32185,NR/2024/21983/A/32227,NR/2024/21974/A/32488,NR/2024/21814/A/32489,NR/2024/21971/A/32487,NR/2024/21933/A/32237,NR/2024/22498/A/32540,NR/2024/21860/A/32552,NR/2024/22042/A/32184,NR/2024/21966/A/32242,NR/2024/22279/A/32181,NR/2024/21943/A/32501,NR/2024/21956/A/32504,NR/2024/22591/C,NR/2024/21918/A/32536,SR/2024/13898/C,NR/2024/21954/A/32502,NR/2024/22606/C,NR/2024/22592/C,NR/2024/21940/A/32503,NR/2024/22535/A/32430,NR/2024/22534/A/32432,NR/2024/22593/C,Total
56,13:45-14:00,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,8.86,4.33,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,5.29,33.76,0,1422.797

57,14:00-14:15,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,8.91,8.66,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,5.39,25.29,0,1418.807

58,14:15-14:30,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,8.53,10.1,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,5.19,21.93,0,1416.3070000000002

59,14:30-14:45,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,8.22,10.77,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,19.14,0,1413.5870000000002

60,14:45-15:00,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,8.07,12.31,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,4.9,16.16,0,1411.9970000000003

61,15:00-15:15,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,7.65,5.67,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,2.21,15.48,0,1401.567

62,15:15-15:30,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,6.99,6.73,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,2.4,13.18,0,1399.8570000000002

63,15:30-15:45,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,5.9,7.31,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,2.69,12.12,0,1398.577

64,15:45-16:00,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,15.89,0,5.67,4.62,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.96,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,1.92,10.39,0,1393.1570000000002

65,16:00-16:15,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,16.16,0,4.62,4.81,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.82,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,2.31,10.39,0,1392.817

66,16:15-16:30,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,16.16,0,3,4.52,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.82,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,2.6,9.81,0,1390.617

67,16:30-16:45,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,16.16,0,2.13,4.14,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.82,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,2.98,7.98,0,1387.9170000000001

68,16:45-17:00,48.08,0,0,24.0835,24.0835,12.39,0,0,0,11.93,0,0,0,16.16,0,1.23,3.65,37.15,12.39,96.17,0,11.68,0,0,240.42,12.5,0.82,1.92,48.08,37.15,48.08,37.15,24.04,21.16,48.08,3.85,96.17,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,3.37,5.87,0,1384.8069999999998

69,17:00-17:15,48.08,0,96.17,24.0835,24.0835,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0.96,0,37.15,12.39,0,0,11.68,0,0,240.42,12.5,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1371.777

70,17:15-17:30,48.08,0,96.17,24.0835,24.0835,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0.53,0,37.15,12.39,0,0,11.68,0,0,240.42,12.5,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1371.347

71,17:30-17:45,48.08,0,96.17,24.0835,24.0835,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0.27,0,37.15,12.39,0,0,11.68,0,0,240.42,12.5,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1371.087

72,17:45-18:00,48.08,0,96.17,24.0835,24.0835,12.39,0,24.04,48.08,11.93,21.16,0,96.17,16.34,0,0.14,0,37.15,12.39,0,0,11.68,0,0,240.42,12.5,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,0,27.89,83.84,0,0,0,1370.957

73,18:00-18:15,48.08,0,96.17,24.0835,24.0835,12.39,0,24.04,48.08,11.93,21.16,37.22,96.17,16.62,56.74,0.09,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,16.82,27.89,83.84,0,0,0,1469.327

74,18:15-18:30,48.08,0,96.17,24.0835,24.0835,12.39,0,24.04,48.08,11.93,21.16,37.22,96.17,16.62,56.74,0.03,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,24.04,163.73,90.4,0,23.97,16.86,27.89,83.84,0,0,0,1469.3069999999998

75,18:30-18:45,48.08,0,96.17,0,0,12.39,0,24.04,48.08,11.93,21.16,37.22,96.17,16.62,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,16.41,27.89,83.84,0,0,0,1439.9000000000003

76,18:45-19:00,48.08,0,96.17,0,0,12.39,0,24.04,48.08,11.93,21.16,37.22,96.17,16.62,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,16.93,27.89,83.84,0,0,0,1440.4200000000003

77,19:00-19:15,48.08,0,96.17,3,3,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,17.47,27.89,83.84,0,0,20,1563.31

78,19:15-19:30,48.08,0,96.17,4,4,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,18.87,27.89,83.84,0,0,20,1566.7099999999998

79,19:30-19:45,48.08,0,96.17,30.5,0,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,20.81,27.89,83.84,0,0,20,1591.1499999999996

80,19:45-20:00,48.08,0,96.17,32,0,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,20.9,27.89,83.84,0,0,20,1592.7399999999998

81,20:00-20:15,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,20.06,27.89,83.84,0,0,23,1626.8999999999996

82,20:15-20:30,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,21.1,27.89,83.84,0,0,24,1628.9399999999996

83,20:30-20:45,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,22.52,27.89,83.84,0,0,25,1631.3599999999997

84,20:45-21:00,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,23.23,27.89,83.84,0,0,25,1632.0699999999997

85,21:00-21:15,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,23.39,27.89,83.84,0,0,25,1632.2299999999998

86,21:15-21:30,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,24.29,27.89,83.84,0,0,25,1633.1299999999997

87,21:30-21:45,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,25.73,27.89,83.84,0,0,25,1634.5699999999997

88,21:45-22:00,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,0,0,0,0,240.42,11.54,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,27.16,27.89,83.84,0,0,25,1635.9999999999998

89,22:00-22:15,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,10.58,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,27.52,27.89,83.84,0,0,25,1765.23

90,22:15-22:30,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,10.58,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,43.28,163.73,90.4,0,23.97,26.45,27.89,83.84,0,0,25,1764.16

91,22:30-22:45,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,9.62,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,27.16,27.89,83.84,0,0,25,1787.95

92,22:45-23:00,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,9.62,0.77,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,28.5,27.89,83.84,0,0,25,1789.29

93,23:00-23:15,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,9.62,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,29.38,27.89,83.84,0,0,25,1790.1200000000001

94,23:15-23:30,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,9.62,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,29.27,27.89,83.84,0,0,25,1790.01

95,23:30-23:45,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,9.62,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,29.78,27.89,83.84,0,0,25,1790.52

96,23:45-24:00,48.08,0,96.17,32,32,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,16.8,56.74,0,0,37.15,12.39,0,97.37,0,32.46,0,240.42,9.62,0.72,1.92,0,37.15,48.08,37.15,0,0,48.08,3.85,0,4.81,38.47,67.32,163.73,90.4,0,23.97,27.48,27.89,83.84,0,0,25,1788.22

