Column1,Block,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1333,NR/2025/26178/C,NR/2025/26179/C,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,NR/2025/26181/C,NR/2025/26176/C,NR/2025/26173/C,NR/2025/26175/C,NR/2025/26180/C,NR/2025/26177/C,NR/2025/26085/A/67178,NR/2025/25945/A/67273,NR/2025/25955/A/67269,WR/2025/27361/A/67284,WR/2025/27350/A/66787,NR/2025/26170/C,NR/2025/26172/C,NR/2025/26155/C,NR/2025/26031/A/66840,NR/2025/25947/A/67272,NR/2025/25948/A/67270,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1831,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/16/4327,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/6639,NR/2025/26171/C,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/66733,Total
66,16:15-16:30,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.82,43.7,28.97,24.04,0,20.19,0,213.45,6.73,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,50,48.08,72.11,0,64.13,3.37,1029.81

67,16:30-16:45,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.82,43.7,28.97,24.04,0,20.19,0,213.45,6.73,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,50,48.08,72.11,0,57.49,3.37,1023.1700000000001

68,16:45-17:00,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,0,0,0,0,11.35,0,0.82,43.7,28.97,24.04,0,20.19,0,213.45,6.73,43.7,14.57,26.78,43.7,14.57,9.62,8.37,26.78,9.62,9.62,1.92,0,72.11,50,48.08,72.11,0,49.96,3.17,1015.44

69,17:00-17:15,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,10,4.13,11.25,12.11,11.35,3.85,0.67,43.7,28.97,24.04,0,20.19,2.21,213.45,6.73,43.7,14.57,26.78,43.7,14.57,9.62,8.65,26.78,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,42.17,0,1057.7800000000002

70,17:15-17:30,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,12.5,4.13,11.44,13.85,11.35,3.85,0.67,43.7,28.97,24.04,0,20.19,2.21,242.3,6.73,43.7,14.57,26.78,43.7,14.57,9.62,8.65,26.78,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,34.11,0,1082.9999999999998

71,17:30-17:45,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,25,4.13,11.54,16.15,22.79,3.85,0.67,43.7,28.97,24.04,0,20.19,2.21,242.3,6.73,43.7,14.57,25.92,43.7,14.57,9.62,8.65,25.92,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,26.32,0,1099.83

72,17:45-18:00,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,25,4.13,11.63,15.48,22.79,3.85,0.67,43.7,28.97,24.04,0,20.19,2.21,271.14,6.73,43.7,14.57,14.5,43.7,14.57,9.62,8.65,14.5,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,19.57,0,1098.5

73,18:00-18:15,19.23,96.15,2.88,2.88,13.65,9.42,14.42,2.88,25,4.13,13.65,14.42,22.79,3.85,0.62,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,0,43.7,14.57,9.62,9.02,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,13.68,0,1079.5800000000002

74,18:15-18:30,19.23,96.15,2.88,2.88,20.48,18.94,14.42,2.88,37.5,4.13,14.81,13.85,34.13,3.85,0.62,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,0,43.7,14.57,9.62,9.02,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,9.24,0,1115.9199999999998

75,18:30-18:45,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,15.29,13.08,34.13,3.85,0.62,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,0,43.7,14.57,9.62,9.02,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,5.71,0,1131.62

76,18:45-19:00,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,15.77,11.92,34.13,3.85,0.62,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,0,43.7,14.57,9.62,9.02,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,2.77,0,1128

77,19:00-19:15,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,16.25,11.25,34.13,3.85,0.72,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,32,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0.02,0,1157.62

78,19:15-19:30,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,16.83,10.67,34.13,3.85,0.72,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,32,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0,0,1157.6

79,19:30-19:45,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,17.4,9.9,34.13,3.85,0.72,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,32,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0,0,1157.3999999999999

80,19:45-20:00,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,17.88,9.81,34.13,3.85,0.72,43.7,28.97,24.04,0,2.88,2.21,271.14,6.73,43.7,14.57,32,43.7,14.57,9.62,9.48,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0,0,1157.79

81,20:00-20:15,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,16.25,8.85,34.13,4.62,0.67,43.7,28.97,24.04,0,2.88,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,9.94,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0,0,1155.4199999999998

82,20:15-20:30,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,15.58,8.37,34.13,4.62,0.67,43.7,28.97,24.04,0,2.88,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,9.94,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0,0,1154.2699999999998

83,20:30-20:45,19.23,96.15,2.88,2.88,13.65,28.46,14.42,2.88,25,4.13,15.38,7.31,34.13,4.62,0.67,43.7,28.97,24.04,0,2.88,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,9.94,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0,0,1123.68

84,20:45-21:00,19.23,96.15,2.88,2.88,13.65,28.46,14.42,2.88,25,4.13,15.38,6.92,34.13,4.62,0.67,43.7,28.97,24.04,0,2.88,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,9.94,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.62,0,0,1123.29

85,21:00-21:15,19.23,96.15,2.88,2.88,13.65,28.46,14.42,2.88,25,4.13,15.48,7.6,34.13,4.62,0,43.7,28.97,24.04,0,21.15,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,10.31,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,10.19,0,0,1142.61

86,21:15-21:30,19.23,96.15,2.88,2.88,13.65,28.46,14.42,2.88,25,4.13,15.58,7.5,34.13,4.62,0,43.7,28.97,24.04,0,21.15,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,10.31,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,13.08,0,0,1145.4999999999998

87,21:30-21:45,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,15.67,7.79,34.13,4.62,0,43.7,28.97,24.04,0,32.69,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,10.31,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,16.06,0,0,1189.7299999999998

88,21:45-22:00,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,15.77,8.08,34.13,4.62,0,43.7,28.97,24.04,0,32.69,2.21,271.14,5.77,43.7,14.57,32,43.7,14.57,9.62,10.31,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,17.02,0,0,1191.0799999999997

89,22:00-22:15,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,14.04,8.46,34.13,4.62,0,43.7,28.97,24.04,0,32.69,2.21,271.14,4.81,43.7,14.57,32,43.7,14.57,9.62,10.67,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,19.13,0,0,1191.24

90,22:15-22:30,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,47.5,4.13,13.36,8.37,34.13,4.62,0,43.7,28.97,24.04,0,32.69,2.21,271.14,4.81,43.7,14.57,32,43.7,14.57,9.62,10.67,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,19.71,0,0,1191.05

91,22:30-22:45,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,22.5,4.13,13.08,8.56,34.13,4.62,0,43.7,28.97,24.04,0,32.69,2.21,271.14,4.81,43.7,14.57,32,43.7,14.57,9.62,10.67,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,19.42,0,0,1165.67

92,22:45-23:00,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,22.5,4.13,12.98,9.62,34.13,4.62,0,43.7,28.97,24.04,0,32.69,2.21,271.14,4.81,43.7,14.57,32,43.7,14.57,9.62,10.67,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,18.65,0,0,1165.86

93,23:00-23:15,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,22.5,4.13,12.98,9.04,34.13,4.62,0.62,43.7,28.97,24.04,0,32.69,2.21,271.14,3.85,43.7,14.57,32,43.7,14.57,9.62,9.38,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,16.44,0,0,1161.4399999999998

94,23:15-23:30,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,22.5,4.13,13.08,8.08,34.13,4.62,0.62,43.7,28.97,24.04,0,32.69,2.21,271.14,3.85,43.7,14.57,32,43.7,14.57,9.62,9.38,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,13.17,0,0,1157.3100000000002

95,23:30-23:45,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,22.5,4.13,13.08,6.83,34.13,4.62,0.62,43.7,28.97,24.04,0,32.69,2.21,271.14,3.85,43.7,14.57,32,43.7,14.57,9.62,9.38,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,10.96,0,0,1153.8500000000001

96,23:45-24:00,19.23,96.15,2.88,2.88,20.48,28.46,14.42,2.88,22.5,4.13,13.17,5.58,34.13,4.62,0.62,43.7,28.97,24.04,0,32.69,2.21,271.14,3.85,43.7,14.57,32,43.7,14.57,9.62,9.38,32,9.62,9.62,1.92,0,72.11,50,48.08,72.11,9.42,0,0,1151.15

