Column1,Block,NR/2024/22265/C,NR/2024/22274/C,NR/2024/22275/C,NR/2024/22278/C,NR/2024/22052/A/30471,NR/2024/22273/C,NR/2024/22058/A/30474,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/30092023/31122025/SH-07,NR/2024/22014/A/30424,NR/01082024/31082024/SKS-Raigarh,NR/2024/21860/A/30720,NR/2024/21966/A/30439,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21968/A/30744,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21954/A/30703,NR/2024/21983/A/30435,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/22081/A/30719,NR/2024/21814/A/30756,NR/2024/22042/A/30423,NR/2024/21970/A/30746,NR/2024/21974/A/30749,NR/2024/21961/A/30660,NR/2024/21938/A/30661,NR/2024/21971/A/30748,NR/2024/22010/A/30747,NR/2024/21956/A/30706,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,DD20240805NR26059,NR/2024/21909/A/30640,NR/2024/21943/A/30702,NR/2024/22228/A/30696,NR/2024/21918/A/30707,NR/2024/21940/A/30704,NR/2024/22080/A/30317,NR/01082024/15082024/APL-Raigarh,NR/2024/21658/A/30406,NR/2024/22277/C,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,Total
65,16:00-16:15,0,27.92,163.93,0,26,1.3,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,44.37,90.51,83.95,12.52,0,0.87,16.27,12.16,26.8708,1424.9715999999999

66,16:15-16:30,0,27.92,163.93,0,23.11,1.97,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,0,192.58,38.52,44.37,90.51,83.95,12.52,0,0.87,13.77,12.16,26.8708,1420.2515999999998

67,16:30-16:45,0,27.92,163.93,96.29,19.26,3.95,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,96.29,192.58,38.52,44.37,90.51,83.95,12.52,0,0.87,11.17,12.16,26.8708,1608.3616

68,16:45-17:00,0,27.92,163.93,96.29,13.48,1.95,10.59,0,0,26.8708,1.93,12.4,48.14,48.14,0,37.2,14.52,24,48.14,0,0,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,96.29,192.58,38.52,44.37,90.51,83.95,12.52,0,0.87,8.38,12.16,26.8708,1597.7916

69,17:00-17:15,0,27.92,163.93,96.29,0,2.44,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,96.29,0,38.52,44.37,90.51,83.95,12.52,192.58,0.87,0,12.16,26.8708,1565.8316

70,17:15-17:30,0,27.92,163.93,96.29,0,1.74,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,96.29,0,38.52,44.37,90.51,83.95,12.52,192.58,0.87,0,12.16,26.8708,1565.1316

71,17:30-17:45,0,27.92,163.93,96.29,0,1.34,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,96.29,0,38.52,44.37,90.51,83.95,12.52,192.58,0.87,0,12.16,26.8708,1564.7315999999998

72,17:45-18:00,0,27.92,163.93,96.29,0,0.91,0,0,0,26.8708,1.93,12.4,48.14,0,0,37.2,14.52,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,11.69,24.07,0,96.29,0,38.52,44.37,90.51,83.95,12.52,192.58,0.87,0,12.16,26.8708,1564.3016

73,18:00-18:15,0,27.92,163.93,96.29,0,0.59,0,0,0,24.0835,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,24.07,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.87,0,12.16,24.0835,1502.767

74,18:15-18:30,0,27.92,163.93,96.29,0,0.33,0,0,0,24.0835,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,24.07,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.87,0,12.16,24.0835,1502.507

75,18:30-18:45,0,27.92,163.93,96.29,0,0,0,0,0,24.0835,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.87,0,12.16,24.0835,1521.4370000000001

76,18:45-19:00,0,27.92,163.93,96.29,0,0,0,0,0,24.0835,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.87,0,12.16,24.0835,1521.4370000000001

77,19:00-19:15,0,27.92,163.93,96.29,0,0,0,0,0,0,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.91,0,12.16,7.1736,1480.4836000000003

78,19:15-19:30,0,27.92,163.93,96.29,0,0,0,0,0,0,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.91,0,12.16,7.1736,1480.4836000000003

79,19:30-19:45,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.91,0,12.16,0,1503.8100000000002

80,19:45-20:00,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,15.91,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.91,0,12.16,0,1503.8100000000002

81,20:00-20:15,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.91,0,12.16,0,1506.1000000000001

82,20:15-20:30,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,11.55,192.58,0.91,0,12.16,0,1506.1000000000001

83,20:30-20:45,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1535.64

84,20:45-21:00,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1535.64

85,21:00-21:15,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1535.64

86,21:15-21:30,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1535.64

87,21:30-21:45,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1535.64

88,21:45-22:00,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,0,0,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1535.64

89,22:00-22:15,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1643.98

90,22:15-22:30,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,43.33,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1643.98

91,22:30-22:45,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,67.4,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1668.0500000000002

92,22:45-23:00,0,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,67.4,0,96.29,0,38.52,0,90.51,83.95,10.59,192.58,0.91,0,12.16,30.5,1668.0500000000002

93,23:00-23:15,13.06,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,67.4,0,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,30.5,1680.1100000000001

94,23:15-23:30,19.29,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,67.4,0,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,30.5,1686.3400000000001

95,23:30-23:45,28.98,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,67.4,0,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,30.5,1696.0300000000002

96,23:45-24:00,29.45,27.92,163.93,96.29,0,0,0,0,0,30.5,1.93,12.4,48.14,0,0,37.2,18.2,24,0,48.14,48.14,240.72,48.14,3.85,12.4,37.2,81.25,27.09,37.2,0,67.4,0,96.29,0,38.52,0,90.51,83.95,9.63,192.58,0.87,0,12.16,30.5,1696.5000000000002

