Column1,Block,NR/2025/32652/A/94894,NR/2025/32653/A/94892,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/95180,NR/2025/32535/A/95181,NR/2025/32532/A/95175,NR/2025/32599/A/95169,NR/2025/32532/A/95176,NR/2025/33126/C,NR/2025/32534/A/95178,NR/2025/32535/A/95182,NR/2025/32857/A/94880,NR/30092023/31122025/SH-07,NR/2025/33221/C,NR/2025/33091/C,NR/2025/32375/A/95231,NR/2025/33137/C,NR/2025/32397/A/94748,NR/2025/32598/A/95221,NR/2025/32702/A/94845,NR/2025/32556/A/95243,NR/2025/33140/C,NR/2025/32262/A/94769,NR/2025/32455/A/95250,NR/2025/33127/C,NR/2025/33095/C,NR/2025/33129/C,NR/2025/33096/C,NR/2025/32559/A/95242,NR/2025/31046/A/95149,NR/2025/33130/C,NR/2025/33044/C,NR/2025/32610/A/95239,NR/2025/32004/A/95247,NR/2025/29440/A/94737,NR/2025/33145/C,NR/2025/31047/A/95150,NR/2025/32554/A/95141,NR/2025/31041/A/95147,NR/2025/33131/C,NR/2025/31421/A/95235,NR/2025/31042/A/95148,NR/2025/29992/A/95064,GNA/NR/2025/08/01/6187,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5784,Total
53,13:00-13:15,1.63,1.44,100,0.48,0.19,0.38,200,0.48,8.79,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1533.22

54,13:15-13:30,1.63,1.44,100,0.48,0.19,0.38,200,0.48,8.79,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1533.22

55,13:30-13:45,1.63,1.44,100,0.48,0.19,0.61,200,0.48,8.79,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1533.45

56,13:45-14:00,1.63,1.44,100,0.44,0.19,0.62,200,0.48,8.79,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,0,43.62,0,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1533.4199999999998

57,14:00-14:15,1.63,1.44,99.79,0.44,0.19,0.62,196,0.48,8.79,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1721.17

58,14:15-14:30,1.63,1.44,97.21,0.46,0.19,0.64,193,0.48,8.79,0.29,0.38,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1715.63

59,14:30-14:45,1.63,1.44,96.09,0.77,0.19,0.96,189,0.48,8.79,0.29,0.67,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1711.43

60,14:45-15:00,1.63,1.44,92.71,0.77,0.19,0.96,179,0.48,8.79,0.29,0.67,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1698.0500000000002

61,15:00-15:15,1.63,1.44,88.2,0.77,0.19,0.96,168,0.48,10.74,0.29,0.67,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1684.49

62,15:15-15:30,1.63,1.44,83.59,0.77,0.19,0.96,158,0.48,10.74,0.29,0.67,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1669.88

63,15:30-15:45,1.63,1.44,78.83,0.77,0.19,0.96,137,0.48,10.74,0.29,0.67,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1644.12

64,15:45-16:00,1.63,1.44,73.58,0.77,0.19,0.96,126,0.48,10.74,0.29,0.67,1.15,26.94,0,163.17,0,47.99,0,81.58,13.44,0,47.99,0,0,76.42,95.98,43.62,95.98,0,0,43.62,44.15,0,0,0.96,191.96,0,0,0,37.09,0,0,0,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1627.87

65,16:00-16:15,0,0,67.09,0.77,0.19,0.96,116,0.48,10.74,0.29,0.67,0,26.94,0,0,47.99,0,0,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1607.06

66,16:15-16:30,0,0,60.52,0.76,0.19,0.96,105,0.48,10.74,0.29,0.66,0,26.94,0,0,47.99,0,0,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1589.47

67,16:30-16:45,0,0,54.11,0.62,0.19,0.96,95,0.48,10.74,0.29,0.55,0,26.94,0,0,47.99,0,0,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1572.81

68,16:45-17:00,0,0,47.52,0.5,0.19,0.96,84,0.48,8.14,0.29,0.43,0,26.94,0,0,47.99,0,0,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.33,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1552.38

69,17:00-17:15,0,0,43.8,0.35,0.19,0.96,74,0.48,8.14,0.29,0.31,0,26.94,0,0,47.99,0,8.64,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1547.21

70,17:15-17:30,0,0,37.09,0.21,0.19,0.96,67,0.48,7.86,0.29,0.15,0,26.94,0,0,47.99,0,8.64,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1532.92

71,17:30-17:45,0,0,30.48,0.12,0.19,0.16,53,0.48,7.68,0.29,0.1,0,26.94,0,0,47.99,0,8.64,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1511.19

72,17:45-18:00,0,0,23.83,0,0.19,0,39,0.48,7.75,0.29,0,0,26.94,0,0,47.99,0,8.64,81.58,13.44,43.62,0,0,0,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,26.94,19.2,14.54,40.79,20.4,81.58,20.71,20.4,15.21,14.54,81.58,1490.23

73,18:00-18:15,0,0,18.12,0,0.16,0,28,0.39,8.56,0.24,0,0,16.47,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1473.07

74,18:15-18:30,0,0,13.46,0,0.1,0,18,0.24,6.22,0.14,0,0,16.47,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1455.76

75,18:30-18:45,0,0,6.85,0,0.05,0,11,0.12,4.06,0.08,0,0,3.85,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1427.1399999999999

76,18:45-19:00,0,0,3.35,0,0.02,0,6,0.06,2.6,0.04,0,0,3.87,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1417.07

77,19:00-19:15,0,0,1.94,0,0,0,2,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1437.8799999999999

78,19:15-19:30,0,0,0.81,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,28.86,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1434.75

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,26.87,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1431.95

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,0,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,25.21,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1430.2900000000002

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,23.52,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1482.59

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,21.95,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1481.02

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,19.58,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1478.6499999999999

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,76.42,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,16.21,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1475.28

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1499.38

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1499.38

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1499.38

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,17.27,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1499.38

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1496.6200000000001

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,13.44,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1496.6200000000001

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,12.48,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1495.66

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,12.48,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.91,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1495.66

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,12.48,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1495.6100000000001

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,12.48,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1495.6100000000001

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,12.48,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1495.6100000000001

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,30,47.99,0,47.99,0,8.64,81.58,12.48,43.62,0,53.99,47.99,0,0,0,0,43.62,0,0,0,37.09,105.58,0.86,191.96,95.98,163.17,0,0,47.99,95.98,44.15,11.15,14.51,30,0,7.28,40.79,20.4,33.59,20.71,20.4,0,14.54,81.58,1495.6100000000001

