Time,Block,NR/2023/12053/A,NR/2023/15304/F,NR/2023/12431/A,NR/2023/14745/A,NR/2023/14895/A,NR/2023/15983/C,NR/2023/12592/A,NR/2023/15974/C,NR/2023/13635/A,NR/2023/12052/A,NR/2023/14737/A,NR/2023/15982/C,NR/2023/12422/A,WR/2023/18072/C,NR/2023/15057/F,NR/2023/12168/A,NR/2023/15694/F,NR/2023/15309/F,NR/2023/12591/A,NR/2023/15969/C,NR/2023/15303/F,NR/2023/15402/F,NR/2023/14746/A,NR/2023/15955/D,NR/2023/12167/A,NR/2023/14898/A,NR/2023/12347/A,NR/2023/15296/F,NR/2023/15306/F,NR/2023/12148/A,NR/2023/13862/A,NR/2023/15958/D,Total
70,17:15-17:30,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,2.17,1033.99

71,17:30-17:45,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,1.62,1033.44

72,17:45-18:00,0.000000,0.580000,124.830000,24.130000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.820000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,1.29,1033.11

73,18:00-18:15,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0.86,1045.01

74,18:15-18:30,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0.41,1044.56

75,18:30-18:45,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0.2,1044.35

76,18:45-19:00,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.750000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,38.600000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1044.15

77,19:00-19:15,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1005.69

78,19:15-19:30,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1005.69

79,19:30-19:45,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1005.69

80,19:45-20:00,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,9.080000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1005.69

81,20:00-20:15,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,8.070000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1004.68

82,20:15-20:30,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,8.070000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1004.68

83,20:30-20:45,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,8.070000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1004.68

84,20:45-21:00,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,8.070000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,48.260000,0.970000,0.930000,22.200000,0.000000,0,1004.68

85,21:00-21:15,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,8.070000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,0.000000,0,1048.1

86,21:15-21:30,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,8.070000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,0.000000,0,1048.1

87,21:30-21:45,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,8.070000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,0.000000,0,1048.1

88,21:45-22:00,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,0.000000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,0.000000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,0.000000,0,1046.08

89,22:00-22:15,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.74

90,22:15-22:30,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.74

91,22:30-22:45,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.74

92,22:45-23:00,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.920000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.74

93,23:00-23:15,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.69

94,23:15-23:30,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.69

95,23:30-23:45,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.69

96,23:45-24:00,36.410000,0.580000,124.830000,0.000000,95.540000,0.000000,99.890000,18.840000,24.980000,62.970000,62.730000,0,36.770000,0.000000,0.870000,46.520000,193.020000,4.830000,49.940000,6.050000,0.910000,0.000000,85.800000,0.000000,24.130000,77.210000,91.680000,0.970000,0.930000,22.200000,23.090000,0,1191.69

