Column1,Block,NR/2025/27622/A/79840,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/80175,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,NR/30092023/26122029/SH-06,NR/2025/28768/C,NR/2025/28888/C,NR/2025/28803/C,NR/2025/28822/C,NR/2025/26570/A/80229,NR/2025/28817/C,NR/2025/28748/C,NR/2025/26445/A/80370,NR/2025/28786/C,NR/2025/28840/C,NR/2025/28796/C,NR/2025/28854/C,NR/2025/28842/C,NR/2025/28828/C,NR/2025/28139/A/80169,NR/2025/28844/C,NR/2025/28744/C,NR/2025/26445/A/80792,NR/2025/28886/C,NR/2025/28140/A/80171,NR/2025/28746/C,NR/2025/28804/C,NR/2025/28663/C,NR/2025/28747/C,NR/2025/28667/C,NR/2025/28835/C,NR/2025/28837/C,NR/2025/28876/C,NR/2025/28138/A/79991,NR/2025/27281/A/80373,NR/2025/28858/C,NR/2025/26085/A/79940,NR/2025/28861/C,NR/2025/27088/A/80360,NR/2025/27725/A/80290,NR/2025/26861/A/80270,NR/2025/27726/A/80289,NR/2025/28860/C,NR/2025/27168/A/80325,NR/2025/26889/A/80316,NR/2025/27728/A/80287,NR/2025/27462/A/79841,NR/2025/28862/C,NR/2025/26561/A/80225,NR/2025/26860/A/80281,NR/2025/27727/A/80285,NR/2025/28884/C,NR/2025/27167/A/80324,NR/2025/26952/A/79915,NR/2025/27157/A/79962,NR/2025/26785/A/80101,NR/2025/27499/A/80315,NR/2025/28141/A/80173,NR/2025/27782/A/80284,NR/2025/26563/A/80226,NR/2025/27242/A/80294,NR/2025/26564/A/80227,NR/2025/27724/A/79944,NR/2025/26777/A/79958,NR/2025/27162/A/80298,NR/2025/26569/A/80228,NR/2025/26975/A/80314,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/14/1761,GNA/NR/2025/06/14/5424,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,Total
33,08:00-08:15,5.07,24.42,77,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.97,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,9.66,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1815.6699999999998

34,08:15-08:30,5.8,30.11,91,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,0,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0.97,0.97,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1836.1

35,08:30-08:45,5.8,35.8,105,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,96.63,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.97,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1953.38

36,08:45-09:00,5.8,41.49,119,19.46,29.16,193.26,48.32,11.91,13.23,24.16,24.16,19.46,0,0,0,28.99,0,0,0,63.58,96.63,0,0,0,0,98.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,1.93,0.97,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,0,0,0,0,0,8.78,0,48.32,0,10.63,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,1973.0700000000002

37,09:00-09:15,8.48,52.39,133,19.46,17.39,193.26,48.32,11.91,13.04,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,10.63,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2032.19

38,09:15-09:30,8.7,57.16,147,19.46,17.39,193.26,48.32,11.91,13.04,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2051.1899999999996

39,09:30-09:45,8.7,61.75,158,19.46,17.39,193.26,48.32,11.91,13.04,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2067.74

40,09:45-10:00,8.7,65.79,168,19.46,17.39,193.26,48.32,11.91,13.04,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2081.7799999999997

41,10:00-10:15,11.12,65.36,175,19.46,17.39,193.26,48.32,11.91,12.85,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2090.58

42,10:15-10:30,11.4,68.8,179,19.46,17.39,193.26,48.32,11.91,12.85,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2098.2999999999997

43,10:30-10:45,8.83,43.62,182,19.46,17.39,193.26,48.32,11.91,12.85,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2073.5499999999997

44,10:45-11:00,8.83,45.48,186,19.46,17.39,193.26,48.32,11.91,12.85,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2079.41

45,11:00-11:15,8.83,45.91,189,19.46,17.39,193.26,48.32,11.91,12.67,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2082.66

46,11:15-11:30,8.83,46.67,189,19.46,17.39,193.26,48.32,11.91,12.67,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2083.4199999999996

47,11:30-11:45,8.83,47.56,189,19.46,17.39,193.26,48.32,11.91,12.67,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2084.3099999999995

48,11:45-12:00,8.8,48.52,189,19.46,17.39,193.26,48.32,11.91,12.67,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,0,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2085.24

49,12:00-12:15,8.8,48.73,175,19.46,17.39,193.26,48.32,11.91,12.58,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2206.64

50,12:15-12:30,8.8,49.43,172,19.46,17.39,193.26,48.32,11.91,12.58,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2204.34

51,12:30-12:45,8.8,38.39,172,19.46,28.99,193.26,48.32,11.91,12.58,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2204.9

52,12:45-13:00,8.82,38.6,172,19.46,28.99,193.26,48.32,11.91,12.58,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2205.13

53,13:00-13:15,8.83,38.74,172,19.46,28.99,193.26,48.32,11.91,12.39,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,1.93,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,11.6,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2205.09

54,13:15-13:30,8.84,38.85,172,19.46,28.99,193.26,48.32,11.91,12.39,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,12.56,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2205.21

55,13:30-13:45,8.84,39.02,172,19.46,28.99,193.26,48.32,11.91,12.39,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,12.56,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2205.38

56,13:45-14:00,8.83,39.21,172,19.46,28.99,193.26,48.32,11.91,12.39,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,0,26.35,135.28,0,0,0,0,55.99,24.88,0,53.15,8.78,26.35,0,0,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,0,0,0,48.32,0,12.56,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2205.56

57,14:00-14:15,7.75,32.95,165,19.46,28.99,193.26,48.32,11.91,12.39,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,12.56,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2769.8999999999996

58,14:15-14:30,7.54,34.73,161,19.46,28.99,193.26,48.32,11.91,12.39,24.16,24.16,19.46,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,12.56,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2767.4699999999993

59,14:30-14:45,6.86,36.37,133,32,28.99,193.26,48.32,11.91,12.39,24.16,24.16,6.93,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,12.56,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2740.4399999999996

60,14:45-15:00,6.79,37.69,126,32,28.99,193.26,48.32,11.91,12.39,24.16,24.16,6.93,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0.97,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,12.56,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2734.6899999999996

61,15:00-15:15,4.77,38.02,119,32,28.99,193.26,48.32,11.91,12.67,24.16,24.16,0,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,13.53,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2719.3500000000004

62,15:15-15:30,4.89,38.56,109,32,28.99,193.26,48.32,11.91,12.67,24.16,24.16,0,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,13.53,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2710.01

63,15:30-15:45,4.98,37.27,98,32,28.99,193.26,48.32,11.91,12.67,24.16,24.16,0,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,13.53,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2697.8100000000004

64,15:45-16:00,5.06,37.79,88,32,28.99,193.26,48.32,11.91,12.67,24.16,24.16,0,106.29,0,5.8,28.99,0,192.64,129.12,63.58,96.63,26.35,193.26,0,8.78,98.71,23.07,26.35,135.28,0,0,33.82,144.94,55.99,24.88,144.94,53.15,8.78,26.35,0,38.65,0,0,0.97,0,0,0,0,0,0,24.16,0,0,0,0,15.83,0,0,0,24.16,0,0,0,0,193.26,0,0,48.32,0,13.53,0,0,0,0,48.32,11.9,24.16,0,0,48.32,62.81,2688.41

65,16:00-16:15,3.4,31.91,98,32,28.99,193.26,48.32,11.91,13.04,24.16,24.16,0,0,0,0,28.99,144.94,0,0,63.58,96.63,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,53.15,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2918.210000000001

66,16:15-16:30,3.47,31.72,88,32,28.99,193.26,48.32,11.91,13.04,24.16,24.16,0,0,0,0,28.99,144.94,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,53.15,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2811.460000000001

67,16:30-16:45,3.6,27.84,88,32,28.99,193.26,48.32,11.91,13.04,24.16,24.16,0,0,0,0,28.99,144.94,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,53.15,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2807.710000000001

68,16:45-17:00,3.54,27.64,77,32,28.99,193.26,48.32,11.91,13.04,24.16,24.16,0,0,0,0,28.99,144.94,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,53.15,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2796.4500000000007

69,17:00-17:15,0,13.33,67,32,28.99,193.26,48.32,11.91,13.5,24.16,24.16,32,0,0,0,28.99,144.94,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,0,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2747.9100000000008

70,17:15-17:30,0,13.33,53,32,28.99,193.26,48.32,11.91,13.5,24.16,24.16,32,0,0,0,28.99,144.94,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,0,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2733.9100000000008

71,17:30-17:45,0,13.33,46,32,28.99,193.26,48.32,11.91,13.5,24.16,24.16,32,0,0,0,28.99,144.94,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,0,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2726.9100000000008

72,17:45-18:00,0,12.77,32,32,28.99,193.26,48.32,11.91,13.5,24.16,24.16,32,0,0,0,28.99,144.94,0,0,63.58,0,0,0,0,0,98.71,23.07,0,0,0,0,33.82,0,0,0,0,0,0,0,0,38.65,24.88,0,0.87,0,192.64,8.78,0,26.35,0,24.16,0,26.35,9.66,0,144.94,106.29,26.35,0,24.16,135.28,217.42,0,0,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,0,0,48.32,62.81,2712.3500000000013

73,18:00-18:15,0,10.26,21,32,28.99,193.26,48.32,11.91,13.96,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,0,0,0,48.32,0,162.87,23.07,0,0,33.05,44.45,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3364.6700000000014

74,18:15-18:30,0,7.83,11,32,28.99,193.26,48.32,11.91,13.96,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,44.45,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3499.1200000000013

75,18:30-18:45,0,5.51,5,32,28.99,193.26,48.32,11.91,13.96,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,44.45,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3490.8000000000006

76,18:45-19:00,0,3.27,2,32,28.99,193.26,48.32,11.91,13.96,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,44.45,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3485.560000000001

77,19:00-19:15,0,1.85,0,32,28.99,193.26,48.32,11.91,14.43,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3491.310000000001

78,19:15-19:30,0,0.67,0,32,28.99,193.26,48.32,11.91,14.43,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3490.1300000000015

79,19:30-19:45,0,0,0,32,28.99,193.26,48.32,11.91,14.43,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3489.4600000000014

80,19:45-20:00,0,0,0,32,28.99,193.26,48.32,11.91,14.43,24.16,24.16,32,0,48.32,0,14.49,144.94,0,0,63.58,146.88,0,0,48.32,0,162.87,23.07,0,0,33.05,53.15,33.82,0,0,0,0,0,0,0,53.15,38.65,24.88,0,0.87,32.85,192.64,8.78,0,26.35,170.07,24.16,5.8,26.35,9.66,87.93,144.94,106.29,26.35,129.74,24.16,0,217.42,0,8.7,193.26,8.78,0,48.32,144.94,13.53,193.26,55.99,0,5.8,48.32,11.9,24.16,48.32,40.29,48.32,62.81,3489.4600000000014

