Column1,Block,GNA/NR/2025/04/23/5165,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/23/7818,GNA/NR/2025/04/23/3759,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/23/9598,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/2139,NR/2025/26106/C,NR/2025/25948/A/66423,NR/2025/25955/A/66422,NR/2025/26031/A/66132,WR/2025/27361/A/66433,GNA/NR/2025/04/01/1333,NR/30092023/26122029/SH-06,GNA/NR/2025/04/23/3332,NR/2025/25945/A/66425,GNA/NR/2025/04/23/4454,NR/2025/25947/A/66424,GNA/NR/2025/04/01/5285,NR/01082024/19092033/Chanju/TPDDL/01082024,WR/2025/27350/A/66119,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7459,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/23/9647,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/23/1623,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/23/9481,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/23/7720,NR/2025/25752/A/66027,GNARE/NR/2024/12/20/3668,Total
75,18:30-18:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,28.85,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,9.75,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,7.1,902.7100000000002

76,18:45-19:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.58,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,9.75,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,3.69,906.0300000000002

77,19:00-19:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.58,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,10.12,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.71

78,19:15-19:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.58,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,10.12,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.71

79,19:30-19:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.67,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,10.12,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.8

80,19:45-20:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.77,14.57,28.97,6.73,24.04,2.88,32,0,33.11,0,33.11,2.88,10.12,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.9000000000001

81,20:00-20:15,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.77,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.49,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.31

82,20:15-20:30,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.67,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.49,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.21

83,20:30-20:45,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,35.58,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.49,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,902.1200000000001

84,20:45-21:00,0,48.08,0,0,28.84,0,14.57,19.23,43.7,96.15,37.4,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.49,0,0,9.62,50,106.73,2.88,0,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,903.94

85,21:00-21:15,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,35.09,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,21.15,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,916.35

86,21:15-21:30,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.42,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,927.2199999999999

87,21:30-21:45,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.42,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,927.2199999999999

88,21:45-22:00,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.52,14.57,28.97,5.77,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,927.32

89,22:00-22:15,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.61,14.57,28.97,4.81,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,926.4499999999999

90,22:15-22:30,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.61,14.57,28.97,4.81,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,926.4499999999999

91,22:30-22:45,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.61,14.57,28.97,4.81,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,926.4499999999999

92,22:45-23:00,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.61,14.57,28.97,4.81,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,926.4499999999999

93,23:00-23:15,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.61,14.57,28.97,3.85,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,925.4899999999999

94,23:15-23:30,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.61,14.57,28.97,3.85,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,925.4899999999999

95,23:30-23:45,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.61,14.57,28.97,3.85,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,925.4899999999999

96,23:45-24:00,0,48.08,0,0,22.04,0,14.57,19.23,43.7,96.15,34.52,14.57,28.97,3.85,24.04,2.88,32,0,33.11,0,33.11,2.88,10.86,0,0,9.62,50,106.73,2.88,32.69,1.92,72.11,9.62,61.54,32,9.62,72.11,0,0,0,925.4

