Column1,Time,GNA/NR/2024/09/23/7704,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/23/4543,NR/01102023/15082037/GNA_NR_2012_01,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2024/09/23/7579,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/09/01/7908,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/16/2535,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35
81,20:00-20:15,42,0,96.77,58.06,98.94,0,0,0,13.5,0,0,0,40.5,0,0,43,0,30,0,0,0,0,7.96,220.64,21.77,13.5,43,0,44.02,0,13.34,273.62,0,24.19,24.78,2.42,0,30.27,10.53,77.42,115.66,0,32,32,0,0

82,20:15-20:30,42,0,96.77,58.06,98.94,0,0,0,13.17,0,0,0,39.5,0,0,42.67,0,30,0,0,0,0,7.96,220.64,21.77,13.16,42.67,0,44.02,0,13,273.62,0,24.19,24.78,2.42,0,30.27,10.53,77.42,115.66,0,32,32,0,0

83,20:30-20:45,42,0,96.77,58.06,98.94,0,0,0,12.83,0,0,0,38.5,0,0,42.33,0,30,0,0,0,0,7.96,220.64,21.77,12.84,42.33,0,44.02,0,12.66,273.62,0,24.19,24.78,2.42,0,31.29,10.53,69.67,115.66,0,32,32,0,0

84,20:45-21:00,42,0,96.77,58.06,98.94,0,0,0,12.33,0,0,0,37,0,0,42,0,30,0,0,0,0,7.96,220.64,21.77,12.34,42,0,44.02,0,12.66,273.62,0,24.19,24.78,2.42,0,31.29,10.53,69.67,115.66,0,32,32,0,0

85,21:00-21:15,42,0,96.77,58.06,98.94,0,0,0,16.67,0,0,0,50,0,0,46.67,0,30,0,0,0,0,7.96,220.64,21.77,16.66,46.67,0,44.02,0,12,273.62,0,24.19,17.5,2.42,0,31.29,10.44,69.67,115.66,0,32,32,0,0

86,21:15-21:30,42,0,96.77,58.06,98.94,0,0,0,16.5,0,0,0,49.5,0,0,47,0,30,0,0,0,0,7.96,220.64,21.77,16.5,47,0,42.82,0,11.66,273.62,0,24.19,17.5,2.42,0,30.78,10.44,69.67,115.66,0,32,32,0,0

87,21:30-21:45,42,0,96.77,58.06,98.94,0,0,0,16.5,0,0,0,49.5,0,0,38.67,0,30,0,0,0,0,7.96,220.64,21.77,16.5,38.67,0,41.62,0,11.34,273.62,0,24.19,17.5,2.42,0,29.77,10.44,69.67,115.66,0,32,32,0,0

88,21:45-22:00,42,0,96.77,58.06,98.94,0,0,0,16.17,0,0,0,48.5,0,0,39,0,30,0,0,0,0,7.96,220.64,21.77,16.16,39,0,39.22,0,11.34,273.62,0,24.19,17.5,2.42,0,29.77,10.44,69.67,115.66,0,32,32,0,0

89,22:00-22:15,42,0,96.77,58.06,98.94,0,0,0,11.33,0,0,0,34,0,0,39,0,30,0,0,0,0,7.96,220.64,21.77,11.34,39,0,37.82,0,11.34,273.62,0,24.19,17.5,2.42,163.3,30.28,10.44,69.67,115.66,0,32,32,0,0

90,22:15-22:30,42,0,96.77,58.06,98.94,0,0,0,11,0,0,0,33,0,0,39.33,0,30,0,0,0,0,7.96,220.64,21.77,11,39.33,0,36.21,0,11.34,273.62,0,24.19,17.5,2.42,163.3,30.28,10.44,69.67,115.66,0,32,32,0,0

91,22:30-22:45,42,8.8,96.77,58.06,98.94,0,0,0,10.67,0,0,0,32,0,0,39.33,0,30,0,0,0,0,7.96,220.64,21.77,10.66,39.33,0,39.42,0,11.34,273.62,0,24.19,17.5,2.42,163.3,31.29,10.44,69.67,115.66,0,32,32,0,0

92,22:45-23:00,42,8.8,96.77,58.06,98.94,0,0,0,10.83,0,0,0,32.5,0,0,39,0,30,0,0,0,0,7.96,220.64,21.77,10.84,39,0,38.62,0,11.34,273.62,0,24.19,17.5,2.42,163.3,30.78,10.44,69.67,115.66,0,32,32,0,0

93,23:00-23:15,42,8.8,96.77,58.06,98.94,0,0,0,11,0,0,0,33,0,0,39,0,30,0,0,0,0,7.96,220.64,21.77,11,39,0,37.62,0,11.34,273.62,0,24.19,17.5,2.42,163.3,29.78,10.34,69.67,115.66,0,32,32,0,0

94,23:15-23:30,42,8.8,96.77,58.06,98.94,0,0,0,11.33,0,0,0,34,0,0,39,0,30,0,0,0,0,7.96,220.64,21.77,11.34,39,0,37.02,0,11,273.62,0,24.19,17.5,2.42,163.3,29.78,10.34,69.67,115.66,0,32,32,0,0

95,23:30-23:45,42,8.8,96.77,58.06,98.94,0,0,0,11.67,0,0,0,35,0,0,39,0,30,0,0,0,0,7.96,220.64,21.77,11.66,39,0,36.42,0,11,273.62,0,24.19,17.5,2.42,163.3,29.78,10.34,69.67,115.66,0,32,32,0,0

96,23:45-24:00,42,8.8,96.77,58.06,98.94,0,0,0,11.83,0,0,0,35.5,0,0,38.67,0,30,0,0,0,0,7.96,220.64,21.77,11.84,38.67,0,36.42,0,10.66,273.62,0,24.19,17.5,2.42,163.3,29.78,10.34,69.67,115.66,0,32,32,0,0

