Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/64967,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/01/5285,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/4565,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/6639,WR/2025/27361/A/65403,GNA/NR/2025/04/16/2341,WR/2025/27350/A/65114,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/6490,NR/2025/26034/C,NR/2025/25947/A/65380,NR/2025/25945/A/65381,NR/2025/25924/A/65131,NR/2025/25955/A/65378,NR/2025/25948/A/65379,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,Total
92,22:45-23:00,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,232.88,43.74,43.74,4.81,28.99,14.58,13.17,50,948.96

93,23:00-23:15,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,13.17,50,948.0000000000001

94,23:15-23:30,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,13.17,50,948.0000000000001

95,23:30-23:45,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,13.17,50,948.0000000000001

96,23:45-24:00,0,0,2.89,1.92,72.17,28.87,2.89,29.5,2.89,9.62,9.62,48.12,0,43.3,29.5,14.43,72.17,24.06,19.25,0,96.23,9.62,232.88,43.74,43.74,3.85,28.99,14.58,13.17,50,948.0000000000001

