Column1,Block,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,SR/2024/14066/C,NR/2024/22966/C,NR/2024/22969/C,NR/2024/22970/C,NR/2024/22802/A/35696,NR/2024/22874/A/35698,NR/2024/22833/A/35692,NR/2024/22888/A/35675,NR/2024/21658/A/35426,NR/2024/22839/A/35690,NR/2024/22734/A/35653,NR/2024/22754/A/35672,NR/2024/22753/A/35673,NR/2024/22860/A/35681,NR/2024/22835/A/35729,NR/2024/22820/A/35389,NR/2024/22872/A/35461,NR/2024/22837/A/35691,NR/2024/22816/A/35548,NR/2024/22832/A/35694,NR/2024/22848/A/35683,NR/2024/22968/C,NR/2024/22898/A/35481,NR/2024/22974/C,NR/2024/22899/A/35483,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/04/1294,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,Total
56,13:45-14:00,26.8708,26.8708,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,0,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.78,35.43,0,5.5,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1373.5016

57,14:00-14:15,24.0835,24.0835,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.9,42.59,0,5.46,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1388.7170000000003

58,14:15-14:30,24.0835,24.0835,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.9,42.59,0,5.43,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1388.6870000000004

59,14:30-14:45,24.0835,24.0835,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.95,42.59,0,5.43,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1388.7370000000003

60,14:45-15:00,24.0835,24.0835,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.59,42.59,0,5.62,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1388.567

61,15:00-15:15,24.0835,24.0835,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.53,42.59,0,5.18,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1388.0670000000002

62,15:15-15:30,24.0835,24.0835,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.58,42.59,0,5.46,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1388.3970000000002

63,15:30-15:45,26.9,26,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.54,42.59,0,5.57,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1393.1999999999998

64,15:45-16:00,26.9,26,13.21,0,241.98,164.78,28.07,62.08,48.4,37.39,25.15,0.97,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.55,42.59,0,5.26,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1392.8999999999999

65,16:00-16:15,26.9071,26.9071,13.21,0,241.98,164.78,28.07,62.08,32.37,37.39,25.15,0.87,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.55,39.2,1.95,6.11,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1377.0942

66,16:15-16:30,26.9071,26.9071,13.21,0,241.98,164.78,28.07,62.08,32.37,37.39,25.15,0.87,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.39,33.39,5.23,6.05,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1374.3442000000002

67,16:30-16:45,26.9071,26.9071,13.21,0,241.98,164.78,28.07,62.08,32.37,37.39,25.15,0.87,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.35,28.07,7.95,6.03,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1371.6842

68,16:45-17:00,26.9071,26.9071,13.21,0,241.98,164.78,28.07,62.08,32.37,37.39,25.15,0.87,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,48.4,37.39,84.38,0.43,23.23,6.17,6.4,0,12.47,48.4,24.74,21.78,24.2,0,0,96.79,2.42,0,1365.5142000000003

69,17:00-17:15,26.9071,26.9071,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.82,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,0,37.39,84.38,0.45,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1329.6842000000001

70,17:15-17:30,26.9071,26.9071,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.82,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,0,37.39,84.38,0.56,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1329.7942

71,17:30-17:45,26.9071,26.9071,13.21,0,241.98,164.78,28.07,0,32.37,37.39,25.15,0.82,12.47,96.79,0,0,13.55,90.98,4.84,12.58,37.39,0,37.39,84.38,0.58,0,0,0,62.08,12.47,48.4,24.74,21.78,24.2,48.4,0,96.79,2.42,0,1329.8142000000003

