Time,Block,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21173/A/27629,NR/2024/21062/A/27870,NR/2024/21087/A/27630,NR/2024/21113/A/27894,NR/2024/21339/A/27597,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/R2,NR/2024/21141/A/27766,NR/2024/21655/C,NR/2024/21679/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21683/C,NR/2024/21160/A/27641,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/20711/A/27941,NR/2024/21103/A/28015,NR/2024/21023/A/27611,NR/2024/21152/A/27559,NR/2024/21651/C,NR/2024/21158/A/27642,NR/2024/21227/A/27879,NR/2024/20931/A/27821,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01102023/23072042/L_NR_2012_04,NR/2024/21688/C,NR/2024/20966/A/27560,NR/2024/21076/A/27909,NR/2024/21567/A/27893,NR/2024/21686/C,NR/2024/21099/A/27600,NR/19072024/19072024/HPX-TAMCTG-180724-01742,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21150/A/27636,NR/2024/21108/A/27878,NR/2024/21072/A/27896,NR/2024/21144/A/27786,NR/2024/21186/A/27905,NR/2024/21146/A/27637,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/27599,NR/2024/21496/A/27882,NR/2024/21654/C,NR/19072024/19072024/HPX-TAMCTG-180724-01739,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21153/A/27638,NR/2024/21183/A/27910,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21159/A/27634,NR/2024/21148/A/27635,NR/2024/21238/A/27916,NR/2024/21210/A/27598,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/19072024/19072024/IEX-240718-01592,NR/2024/20573/A/27845,NR/2024/21075/A/27913,NR/2024/20688/A/27631,NR/2024/20574/A/27849,NR/2024/21089/A/27895,NR/2024/21096/A/27883,NR/2024/19779/A/27590,NR/2024/21671/C,NR/30092023/31122025/SH-07,NR/2024/21500/A/27480,NR/2024/21199/A/27610,NR/2024/21156/A/27640,Total
27,06:30-06:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,1.250000,0.46,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.670000,0.000000,14.950000,5.760000,0.000000,0.610000,1583.96

28,06:45-07:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.570000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0.71,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.670000,0.000000,14.950000,5.760000,0.000000,0.610000,1582.96

29,07:00-07:15,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0.86,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.770000,0.000000,14.950000,5.760000,0.000000,0.610000,1582.75

30,07:15-07:30,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,0.85,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.770000,0.000000,14.950000,5.760000,0.000000,0.610000,1582.74

31,07:30-07:45,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,1.02,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.770000,0.000000,14.950000,5.760000,0.000000,0.610000,1582.91

32,07:45:08:00,15.080000,24.010000,0.000000,24.010000,37.100000,0.000000,96.040000,24.010000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,0.000000,1.920000,240.100000,0.670000,0.000000,0.000000,48.020000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,96.040000,48.020000,0.000000,1.31,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,72.030000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.770000,0.000000,14.950000,5.760000,0.000000,0.610000,1583.2

33,08:00-08:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,1.54,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,14.950000,5.760000,72.030000,0.610000,1583.62

34,08:15-08:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,1.74,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,14.950000,5.760000,72.030000,0.610000,1583.82

35,08:30-08:45,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,1.89,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,14.950000,6.720000,72.030000,0.610000,1583.97

36,08:45:09:00,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,2.17,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,14.950000,6.720000,72.030000,0.610000,1584.25

37,09:00:09:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,1.88,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,15.580000,6.720000,72.030000,0.610000,1585.55

38,09:15-09:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,2.38,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,15.580000,6.720000,72.030000,0.610000,1586.05

39,09:30-09:45,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,4.800000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,2.93,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,15.580000,6.720000,72.030000,0.610000,1588.52

40,09:45-10:00,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,0.960000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,2.65,0.000000,0.000000,1.580000,21.130000,32.000000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,15.580000,10.560000,72.030000,0.610000,1588.24

41,10:00-10:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,0.960000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,2.87,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1589.1

42,10:15-10:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,0.960000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,4.11,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1590.34

43,10:30-10:45,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,3.98,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1591.17

44,10:45-11:00,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,2.31,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1589.5

45,11:00-11:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,3.58,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1590.77

46,11:15-11:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,3.9,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1591.09

47,11:30-11:45,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,3.06,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1590.25

48,11:45-12:00,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,25.950000,0.360000,0.000000,48.020000,0.000000,4.45,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1591.64

49,12:00-12:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.38,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1612.64

50,12:15-12:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,4,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1613.26

51,12:30-12:45,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.88,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1613.14

52,12:45-13:00,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,2.98,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,10.560000,72.030000,0.610000,1612.24

53,13:00-13:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.31,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,9.600000,72.030000,0.610000,1612.57

54,13:15-13:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.57,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,9.600000,72.030000,0.610000,1612.83

55,13:30-13:45,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.76,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,9.600000,72.030000,0.610000,1613.02

56,13:45-14:00,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,13.110000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,2.68,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,9.600000,72.030000,0.610000,1611.94

57,14:00-14:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,12.200000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,9.600000,72.030000,0.610000,1611.35

58,14:15-14:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,12.200000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.1,0.000000,0.000000,1.580000,21.130000,24.110000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,24.110000,9.600000,72.030000,0.610000,1611.45

59,14:30-14:45,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,12.200000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.17,0.000000,0.000000,1.580000,21.130000,23.470000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,23.470000,9.600000,72.030000,0.610000,1610.24

60,14:45-15:00,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,2.880000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,12.200000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.46,0.000000,0.000000,1.580000,21.130000,23.470000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,23.470000,9.600000,72.030000,0.610000,1610.53

61,15:00-15:15,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,12.200000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,3.02,0.000000,0.000000,1.580000,21.130000,23.470000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,23.470000,10.560000,72.030000,0.610000,1610.09

62,15:15-15:30,15.080000,24.010000,24.010000,24.010000,37.100000,96.040000,0.000000,0.000000,0.000000,163.510000,0.000000,0.000000,0.000000,0.970000,12.370000,96.040000,83.730000,96.040000,1.920000,240.100000,0.670000,0.000000,48.020000,0.000000,0.000000,1.920000,4.800000,90.280000,6.130000,0.000000,24.010000,0.000000,12.200000,0.870000,23.930000,37.100000,0.480000,48.020000,0.360000,0.000000,48.020000,0.000000,2.79,0.000000,0.000000,1.580000,21.130000,23.470000,0.000000,0.870000,0.520000,2.880000,48.020000,0.000000,0.000000,0.000000,11.670000,66.450000,0.000000,37.100000,24.010000,0.960000,0.000000,23.470000,10.560000,72.030000,0.610000,1609.86

