Time,Block,NR/2023/10488/A,NR/2023/13844/D,NR/2023/13053/F,NR/2023/12661/A,NR/2023/13847/D,NR/2023/10561/A,NR/2023/10436/A,NR/2023/12923/F,NR/2023/13861/C,NR/2023/13872/C,NR/2023/12706/A,NR/2023/10956/A,NR/2023/13871/C,NR/2023/10650/A,NR/2023/10432/A,NR/2023/11709/A,ER/2023/8541/C,NR/2023/12924/F,NR/2023/12916/F,NR/2023/12922/F,NR/2023/10705/A,WR/2023/16419/C,NR/2023/11068/A,NR/2023/13053/F/II,NR/2023/12813/F,NR/2023/11507/A,NR/2023/13870/C,NR/2023/12915/F,NR/2023/12169/A,NR/2023/10435/A,NR/2023/13854/D,NR/2023/13369/F,NR/2023/10720/A,NR/2023/10959/A,NR/2023/12919/F,NR/2023/12917/F,NR/2023/10460/A,NR/2023/13845/D,NR/2023/13860/C,NR/2023/10651/A,NR/2023/13843/D,NR/2023/12920/F,NR/2023/11953/A,NR/2023/13855/D,NR/2023/10786/A,NR/2023/11266/A,NR/2023/12872/F,NR/2023/13679/F,NR/2023/11712/A,NR/2023/10947/A,NR/2023/12921/F,NR/2023/12814/F,Total
41,10:00-10:15,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,147,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,5.23,0.980000,0.000000,63,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1858.94

42,10:15-10:30,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,156.1,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,5.81,0.980000,0.000000,66.9,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1872.52

43,10:30-10:45,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,164.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,5.91,0.980000,0.000000,70.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1884.62

44,10:45-11:00,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,171.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,6.1,0.980000,0.000000,73.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1894.81

45,11:00-11:15,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,176.4,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,7.55,0.980000,0.000000,75.6,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1903.26

46,11:15-11:30,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,178.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.33,0.980000,0.000000,76.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1907.04

47,11:30-11:45,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1917.32

48,11:45-12:00,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,100.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1917.32

49,12:00-12:15,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1867.32

50,12:15-12:30,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1867.32

51,12:30-12:45,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1867.32

52,12:45-13:00,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.300000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1867.32

53,13:00-13:15,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.120000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,14.280000,0.970000,0.920000,23.240000,99.270000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1811.5

54,13:15-13:30,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.120000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,14.280000,0.970000,0.920000,23.240000,99.270000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1811.5

55,13:30-13:45,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,50.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.120000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,14.280000,0.970000,0.920000,23.240000,99.270000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1811.5

56,13:45-14:00,48.410000,24.200000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.120000,0.370000,0.000000,24.200000,185.5,24.200000,23.720000,14.280000,0.970000,0.920000,23.240000,99.270000,36.690000,63.180000,8.61,0.980000,0.000000,79.5,91.010000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1761.5

57,14:00-14:15,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.210000,0.370000,0.000000,24.200000,175,24.200000,23.720000,14.280000,0.970000,0.920000,23.240000,99.270000,36.690000,63.180000,8.61,0.980000,0.000000,75,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1780.42

58,14:15-14:30,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.210000,0.370000,0.000000,24.200000,172.2,24.200000,23.720000,14.280000,0.970000,0.920000,23.240000,99.270000,36.690000,63.180000,8.61,0.980000,0.000000,73.8,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1776.42

59,14:30-14:45,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.210000,0.370000,0.000000,24.200000,169.4,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,72.6,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1828.06

60,14:45-15:00,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,30.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.210000,0.370000,0.000000,24.200000,163.1,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,8.61,0.980000,0.000000,69.9,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1819.06

61,15:00-15:15,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.400000,0.370000,0.000000,24.200000,155.4,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,8.61,0.980000,0.000000,66.6,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1780.29

62,15:15-15:30,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,0.000000,48.410000,0.000000,62.930000,255.520000,18.400000,0.370000,0.000000,24.200000,145.6,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,8.61,0.980000,0.000000,62.4,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1766.29

63,15:30-15:45,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,13.000000,48.410000,0.000000,62.930000,255.520000,18.400000,0.370000,0.000000,24.200000,137.2,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,7.75,0.980000,0.000000,58.8,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1766.43

64,15:45-16:00,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,16.000000,48.410000,0.000000,62.930000,255.520000,18.400000,0.370000,0.000000,24.200000,126,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,6.78,0.980000,0.000000,54,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1752.46

65,16:00-16:15,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,19.000000,48.410000,0.000000,62.930000,255.520000,18.580000,0.370000,0.000000,24.200000,115.5,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,5.23,0.980000,0.000000,49.5,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1739.09

66,16:15-16:30,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,22.000000,48.410000,0.000000,62.930000,255.520000,18.580000,0.370000,0.000000,24.200000,105,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,4.74,0.980000,0.000000,45,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1726.6

67,16:30-16:45,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,25.000000,48.410000,0.000000,62.930000,255.520000,18.580000,0.370000,0.000000,24.200000,93.1,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,4.36,0.980000,0.000000,39.9,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1712.22

68,16:45-17:00,48.410000,19.360000,24.200000,62.930000,45.510000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,15.810000,28.000000,48.410000,0.000000,62.930000,255.520000,18.580000,0.370000,0.000000,24.200000,79.1,24.200000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,2.03,0.980000,0.000000,33.9,106.500000,63.630000,0.970000,4.840000,64.390000,0.000000,0.980000,85.690000,1692.89

69,17:00-17:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.760000,0.370000,0.000000,24.200000,67.9,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,1.94,0.980000,0.000000,29.1,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1528.35

70,17:15-17:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.760000,0.370000,0.000000,24.200000,59.5,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,1.45,0.980000,0.000000,25.5,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1515.86

71,17:30-17:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.760000,0.370000,0.000000,24.200000,49,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,1.16,0.980000,0.000000,21,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1500.57

72,17:45-18:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,7.750000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.810000,50.000000,48.410000,0.000000,62.930000,255.520000,18.760000,0.370000,0.000000,24.200000,38.5,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,38.730000,63.180000,0.68,0.980000,0.000000,16.5,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1485.09

73,18:00-18:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,58.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,0.000000,24.200000,28,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0.48,0.980000,36.530000,12,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1519.03

74,18:15-18:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,58.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,0.000000,24.200000,21,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.980000,36.530000,9,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1508.55

75,18:30-18:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,58.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,0.000000,24.200000,17.5,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.980000,36.530000,7.5,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1503.55

76,18:45-19:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,58.000000,48.410000,0.000000,62.930000,255.520000,18.860000,0.370000,0.000000,24.200000,14,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.980000,36.530000,6,48.410000,63.630000,0.680000,4.840000,64.390000,0.000000,0.980000,85.690000,1498.55

77,19:00-19:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,0.000000,24.200000,9.34,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.980000,36.530000,4,48.410000,63.630000,0.730000,4.840000,64.390000,0.000000,0.980000,85.690000,1434.12

78,19:15-19:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,0.000000,24.200000,4.12,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.980000,36.530000,1.77,48.410000,63.630000,0.730000,4.840000,64.390000,0.000000,0.980000,85.690000,1426.67

79,19:30-19:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,0.000000,24.200000,0.97,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.980000,36.530000,0.41,48.410000,63.630000,0.730000,4.840000,64.390000,0.000000,0.980000,85.690000,1422.16

80,19:45-20:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.040000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.970000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.980000,36.530000,0,48.410000,63.630000,0.730000,4.840000,64.390000,0.000000,0.980000,85.690000,1420.78

81,20:00-20:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,48.410000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1420.8

82,20:15-20:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,48.410000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1420.8

83,20:30-20:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,48.410000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1420.8

84,20:45-21:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,48.410000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1420.8

85,21:00-21:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1464.37

86,21:15-21:30,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,0.000000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1464.37

87,21:30-21:45,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,38.730000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.830000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1503.1

88,21:45-22:00,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,111.340000,14.280000,43.570000,0.000000,0.000000,0.610000,0.520000,1.020000,15.870000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,0.000000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,36.690000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.770000,4.840000,64.390000,0.000000,0.930000,85.690000,1575.75

89,22:00-22:15,48.410000,0.000000,24.200000,62.930000,0.000000,48.410000,24.200000,0.610000,9.680000,0.000000,6.780000,85.170000,58.090000,83.270000,43.570000,23.180000,0.000000,0.610000,0.520000,1.020000,232.470000,0.000000,48.410000,0.000000,62.930000,255.520000,19.170000,0.370000,54.220000,24.200000,0,0.000000,23.720000,21.280000,0.920000,0.920000,23.240000,147.910000,35.680000,63.180000,0,0.930000,36.530000,0,91.980000,63.630000,0.730000,4.840000,64.390000,23.240000,0.930000,85.690000,1907.68

