Time,Block,NR/2023/14031/C,NR/2023/12919/F,NR/2023/14017/D,NR/2023/10705/A,NR/2023/12169/A,NR/2023/12813/F,NR/2023/11712/A,NR/2023/14028/C,NR/2023/14029/C,NR/2023/10436/A,NR/2023/10720/A,NR/2023/10650/A,ER/2023/8639/C,NR/2023/12661/A,NR/2023/12872/F,NR/2023/12917/F,NR/2023/11068/A,NR/2023/12924/F,NR/2023/12920/F,NR/2023/14025/D,NR/2023/10460/A,NR/2023/10561/A,NR/2023/12916/F,NR/2023/12922/F,NR/2023/12814/F,NR/2023/10786/A,NR/2023/12915/F,NR/2023/12706/A,NR/2023/11266/A,NR/2023/10435/A,NR/2023/13679/F,NR/2023/10947/A,NR/2023/12923/F,NR/2023/13369/F,NR/2023/10488/A,NR/2023/11709/A,NR/2023/14022/D,NR/2023/10651/A,NR/2023/14024/D,NR/2023/10956/A,NR/2023/11507/A,NR/2023/11953/A,NR/2023/12921/F,NR/2023/10432/A,NR/2023/10959/A,NR/2023/14021/D,NR/2023/14023/D,Total
46,11:15-11:30,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,7.07,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,171.5,73.5,1664.86

47,11:30-11:45,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,7.26,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1670.05

48,11:45-12:00,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,7.75,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1670.54

49,12:00-12:15,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,7.75,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1670.54

50,12:15-12:30,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,7.75,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1670.54

51,12:30-12:45,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,8.04,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1670.83

52,12:45-13:00,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,37.710000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,8.04,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1670.83

53,13:00-13:15,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,8.52,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1672.33

54,13:15-13:30,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,8.81,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1672.62

55,13:30-13:45,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,9.38,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1673.19

56,13:45-14:00,18.860000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.010000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,0.000000,49.300000,63.180000,8.81,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1672.62

57,14:00-14:15,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,8.33,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,175,75,1710.99

58,14:15-14:30,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,50.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,8.23,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,170.1,72.9,1703.89

59,14:30-14:45,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,8.04,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,164.5,70.5,1645.7

60,14:45-15:00,19.040000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,38.730000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,7.84,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,156.8,67.2,1634.5

61,15:00-15:15,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,7.75,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,149.8,64.2,1625.61

62,15:15-15:30,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,7.07,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,140,60,1610.93

63,15:30-15:45,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,5.81,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,133,57,1599.67

64,15:45-16:00,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,49.300000,63.180000,5.18,85.170000,255.520000,0.000000,0.980000,43.570000,7.090000,121.1,51.9,1582.04

65,16:00-16:15,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,147.910000,63.180000,4.26,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,110.6,47.4,1678.92

66,16:15-16:30,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,147.910000,63.180000,3.68,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,98,42,1660.34

67,16:30-16:45,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,147.910000,63.180000,3.39,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,87.5,37.5,1645.05

68,16:45-17:00,19.230000,0.970000,38.730000,15.810000,0.000000,62.930000,64.390000,39.740000,30.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.970000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,106.500000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,24.200000,48.410000,23.180000,147.910000,63.180000,2.52,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,77,33,1629.18

69,17:00-17:15,19.410000,0.970000,0.000000,15.810000,0.000000,62.930000,64.390000,39.740000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,2.28,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,70,30,1444.63

70,17:15-17:30,19.410000,0.970000,0.000000,15.810000,0.000000,62.930000,64.390000,39.740000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,1.65,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,49,21,1414

71,17:30-17:45,19.410000,0.970000,0.000000,15.810000,0.000000,62.930000,64.390000,39.740000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0.97,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,35,15,1393.32

72,17:45-18:00,19.410000,0.970000,0.000000,15.810000,0.000000,62.930000,64.390000,39.740000,0.000000,24.200000,23.720000,7.750000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0.68,85.170000,255.520000,0.000000,0.980000,43.570000,21.280000,31.5,13.5,1388.03

73,18:00-18:15,19.600000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0.19,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,31.5,13.5,1428.78

74,18:15-18:30,19.600000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,24.5,10.5,1418.59

75,18:30-18:45,19.600000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,21,9,1413.59

76,18:45-19:00,19.600000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.680000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,14,6,1403.59

77,19:00-19:15,19.680000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,7,3,1393.72

78,19:15-19:30,19.680000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,4.2,1.8,1389.72

79,19:30-19:45,19.680000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,1.4,0.6,1385.72

80,19:45-20:00,19.680000,0.970000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.980000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.980000,43.570000,21.280000,0,0,1383.72

81,20:00-20:15,19.680000,0.920000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1383.61

82,20:15-20:30,19.680000,0.920000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1383.61

83,20:30-20:45,19.680000,0.920000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1383.61

84,20:45-21:00,19.680000,0.920000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,48.410000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1383.61

85,21:00-21:15,19.680000,0.920000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1427.18

86,21:15-21:30,19.680000,0.920000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1427.18

87,21:30-21:45,19.680000,0.920000,0.000000,15.830000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1427.18

88,21:45-22:00,19.680000,0.920000,0.000000,15.870000,0.000000,62.930000,64.390000,37.710000,0.000000,24.200000,23.720000,14.280000,0.000000,33.890000,0.770000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,0.000000,0.610000,0.000000,48.410000,0.000000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1427.22

89,22:00-22:15,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.39

90,22:15-22:30,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.39

91,22:30-22:45,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.39

92,22:45-23:00,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.730000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.39

93,23:00-23:15,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.630000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.29

94,23:15-23:30,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.630000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.29

95,23:30-23:45,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.630000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.29

96,23:45-24:00,19.680000,0.920000,0.000000,232.470000,54.220000,62.930000,64.390000,36.690000,0.000000,24.200000,23.720000,83.270000,0.000000,33.890000,0.630000,0.920000,48.410000,0.610000,0.930000,24.200000,23.240000,48.410000,0.520000,1.020000,85.690000,91.980000,0.370000,6.780000,63.630000,24.200000,4.840000,23.240000,0.610000,0.000000,48.410000,23.180000,147.910000,63.180000,0,85.170000,255.520000,36.530000,0.930000,43.570000,21.280000,0,0,1812.29

