Column1,Block,NR/2024/22898/A/36228,NR/2024/23043/C,NR/2024/22899/A/36227,NR/2024/23044/C,NR/2024/21658/A/36169,NR/2024/22754/A/36434,NR/2024/22874/A/36463,NR/2024/22734/A/36464,NR/2024/22839/A/36458,NR/2024/23040/C,NR/2024/22860/A/36450,NR/2024/22848/A/36452,NR/2024/22835/A/36438,NR/2024/22837/A/36459,NR/2024/22820/A/36197,NR/2024/22816/A/36158,NR/2024/23017/A/36375,NR/2024/22802/A/36462,NR/30092023/31122025/SH-07,NR/2024/23045/C,NR/2024/22832/A/36461,NR/2024/22833/A/36460,NR/2024/22888/A/36443,NR/2024/22753/A/36435,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6020,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6566,NR/2024/23048/C,Total
75,18:30-18:45,0,0,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,26.0137,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1342.6936999999998

76,18:45-19:00,0,0,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,26.3223,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1343.0022999999999

77,19:00-19:15,0,0,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6799999999998

78,19:15-19:30,0,0,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6799999999998

79,19:30-19:45,0,0,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6799999999998

80,19:45-20:00,0,0,0,109.92,0.82,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6799999999998

81,20:00-20:15,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6299999999999

82,20:15-20:30,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6299999999999

83,20:30-20:45,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6299999999999

84,20:45-21:00,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,32,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1348.6299999999999

85,21:00-21:15,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,10.3765,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1327.0065

86,21:15-21:30,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,10.3765,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1327.0065

87,21:30-21:45,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,10.3765,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1327.0065

88,21:45-22:00,0,0,0,109.92,0.77,0,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,11.62,0,10.3765,28.09,37.41,37.41,43.58,0,12.47,14.15,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1327.0065

89,22:00-22:15,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,10.65,0,10.3765,28.09,37.41,37.41,43.58,181.59,12.47,13.97,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1567.9764999999998

90,22:15-22:30,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,10.65,0,10.3765,28.09,37.41,37.41,43.58,181.59,12.47,13.97,24.8,96.85,32,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1567.9764999999998

91,22:30-22:45,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1602.6641999999997

92,22:45-23:00,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,91.04,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1602.6641999999997

93,23:00-23:15,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,94.33,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1605.9541999999997

94,23:15-23:30,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,94.33,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1605.9541999999997

95,23:30-23:45,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,94.33,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1605.9541999999997

96,23:45-24:00,0,0,0,109.92,0.77,60.53,48.42,96.85,6.78,242.12,13.56,84.43,94.33,37.41,4.84,0,9.68,0,26.9071,28.09,37.41,37.41,67.8,181.59,12.47,13.97,24.8,96.85,26.9071,21.79,2.42,0,48.42,96.85,48.42,24.21,0,1605.9541999999997

