Column1,Time,GNARE/SR/2025/01/13/4532,NR/01102023/22052037/LT-59,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/02/01/2143,NR/01102023/30042040/GNA_LT_35,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,GNA/WR/2025/01/01/8625,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,NR/30092023/31122025/SH-07,GNA/NR/2025/02/01/9969,NR/30092023/26122029/SH-06,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13
81,20:00-20:15,16.01,0.63,50,150,115.05,0,86.75,31.74,0,1.2,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,19.4,26.22,0,0,18.33,0,0,36.67,0,0,0,13.67,0,55.01,18.33,0,36.66,0,0,0,0

82,20:15-20:30,15.61,0.63,50,150,115.05,0,86.75,31.74,0,1.2,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,19.4,26.22,0,0,18.33,0,0,37.33,0,0,0,13.67,0,55.01,18.33,0,37.34,0,0,0,0

83,20:30-20:45,15.21,0.63,50,150,106.57,0,86.75,31.74,0,1.2,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,26.12,25.72,0,0,11.5,0,0,38.33,0,0,0,13,0,34.5,11.5,0,38.34,0,0,0,0

84,20:45-21:00,15.01,0.63,50,150,98.07,0,86.75,31.74,0,1.2,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,26.12,25.72,0,0,12,0,0,39,0,0,0,12.67,0,36,12,0,39,0,0,0,0

85,21:00-21:15,10.6,0.63,50,150,89.59,0,86.75,31.74,0,1.49,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,26.12,25.72,0,0,12.83,0,0,39.33,0,0,0,13,0,38.51,12.83,0,39.34,0,0,0,0

86,21:15-21:30,10.4,0.63,50,150,81.1,0,86.75,31.74,0,1.49,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,26.12,25.72,0,0,13.67,0,0,40,0,0,0,13.67,0,40.99,13.67,0,40,0,0,0,0

87,21:30-21:45,10.2,0,50,150,70.16,0,86.75,31.74,0,1.49,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,26.12,25.72,0,0,14.5,0,0,46.67,0,0,0,13.67,0,43.5,14.5,0,46.66,0,0,0,0

88,21:45-22:00,10,0,50,150,70.16,0,86.75,31.74,0,1.49,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,31.74,32,31.74,26.12,25.72,0,0,15.67,0,0,46,0,0,0,13.67,0,46.99,15.67,0,46,0,0,0,0

89,22:00-22:15,17.61,0.63,50,150,70.16,0,75.82,25.97,0,1.49,0.96,0,8.66,100.2,0,1.3,224.05,0,75,8.66,50,25.97,32,25.97,26.12,25.72,0,0,15.67,0,0,45,0,0,0,13.67,0,46.99,15.67,0,45,0,0,0,0

90,22:15-22:30,17.21,0.63,50,150,70.16,0,75.82,25.97,0,1.49,0.96,0,8.66,100.2,0,1.3,224.05,0,75,8.66,50,25.97,32,25.97,26.12,25.72,0,0,15.33,0,0,43.33,0,0,0,13.67,0,46.01,15.33,0,43.34,0,0,0,0

91,22:30-22:45,19.01,0.63,50,150,70.16,0,86.75,25.97,0,1.49,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,25.97,32,25.97,26.12,25.22,0,0,14.83,0,0,38.33,0,0,0,11.67,0,44.51,14.83,0,38.34,0,0,0,0

92,22:45-23:00,18.01,0.63,50,150,70.16,0,86.75,25.97,0,1.49,0.96,0,8.66,100.2,0,1.3,259.55,0,75,8.66,50,25.97,32,25.97,26.12,25.22,0,0,14,0,0,36.67,0,0,0,11.67,0,42,14,0,36.66,0,0,0,0

93,23:00-23:15,17.61,0.63,50,150,70.16,0,86.75,23.08,0,1.49,0.92,0,8.66,71.35,0,1.3,259.55,0,75,8.66,50,23.08,32,23.08,26.12,25.22,0,0,13.33,0,0,28.33,0,0,0,11.67,0,40.01,13.33,0,28.34,0,0,0,0

94,23:15-23:30,17.01,0.63,50,150,70.16,0,86.75,23.08,0,1.49,0.92,0,8.66,52.9,0,1.3,259.55,0,75,8.66,50,23.08,32,23.08,26.12,25.22,0,0,13.33,0,0,29,0,0,0,11.67,0,40.01,13.33,0,29,0,0,0,0

95,23:30-23:45,16.01,0,50,150,70.16,0,86.75,23.08,0,1.49,0.92,0,8.66,52.9,0,1.3,259.55,0,75,8.66,50,23.08,32,23.08,26.12,25.22,0,0,13.33,0,0,29,0,0,0,11.67,0,40.01,13.33,0,29,0,0,0,0

96,23:45-24:00,15.01,0,50,150,70.16,0,86.75,23.08,0,1.49,0.92,0,8.66,52.9,0,1.3,259.55,0,75,8.66,50,23.08,32,23.08,26.12,25.22,0,0,13.33,0,0,30,0,0,0,11.67,0,40.01,13.33,0,30,0,0,0,0

