Column1,Block,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27731/C,NR/2025/27462/A/76622,NR/2025/27499/A/77004,NR/2025/27393/A/76946,NR/2025/27360/A/76950,NR/2025/26889/A/77006,NR/2025/26561/A/76960,NR/2025/26861/A/76966,NR/2025/27242/A/76761,NR/2025/27724/A/77018,NR/2025/26085/A/76995,NR/2025/27168/A/76983,NR/2025/27167/A/76978,NR/2025/26952/A/76657,NR/2025/26785/A/76627,NR/2025/27725/A/77031,NR/2025/27088/A/77060,NR/2025/26445/A/77069,NR/2025/26777/A/76690,NR/2025/27359/A/76952,NR/2025/26860/A/76908,NR/2025/27749/C,NR/2025/26563/A/76961,NR/2025/26569/A/76963,NR/2025/27162/A/77114,NR/2025/26570/A/76964,NR/2025/27281/A/77105,NR/2025/27727/A/77022,NR/2025/27157/A/76688,NR/2025/26975/A/77115,NR/2025/26564/A/76962,NR/2025/27361/A/76948,NR/2025/27834/C,NR/2025/27763/C,NR/2025/27765/C,NR/2025/27836/C,NR/2025/27816/C,NR/2025/27806/C,NR/2025/27728/A/77023,NR/2025/27726/A/77024,NR/2025/27817/C,NR/2025/27809/C,NR/2025/27835/C,NR/2025/27810/C,NR/2025/27837/C,NR/2025/27818/C,NR/2025/27811/C,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/76954,NR/2025/27622/A/77010,Total
45,11:00-11:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,11.83,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,193,12.56,1752.5999999999997

46,11:15-11:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,11.83,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1755.5999999999997

47,11:30-11:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,11.83,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1755.5999999999997

48,11:45-12:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.95,11.91,26.95,20.53,11.83,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,0,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1755.5999999999997

49,12:00-12:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.7799999999997

50,12:15-12:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.7799999999997

51,12:30-12:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.7799999999997

52,12:45-13:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.7799999999997

53,13:00-13:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.65,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.6899999999996

54,13:15-13:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.65,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.6899999999996

55,13:30-13:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.65,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.6899999999996

56,13:45-14:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.65,53.14,0,0,0,0,0,0,0,41.06,7.73,0.97,20.53,20.53,0,0,0,0,0,0,0,0,106.27,0,0,0,0,0,0,0,0,0,0,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,196,12.56,1890.6899999999996

57,14:00-14:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,186,11.59,2077.1800000000003

58,14:15-14:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,100,179,11.59,2070.1800000000003

59,14:30-14:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,88.36,168,11.59,2047.54

60,14:45-15:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,84.87,158,11.59,2034.05

61,15:00-15:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,72.91,151,8.69,2012.1900000000003

62,15:15-15:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,69.18,137,8.69,1994.4600000000003

63,15:30-15:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,64.85,130,8.69,1983.13

64,15:45-16:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.55,53.14,0,0,111.1,28.98,0,0,0,41.06,9.66,0.97,20.53,20.53,0,0,0,0,0,0,16.91,0,106.27,0,0,0,0,0,0,0,0,0,38.64,8.05,135.25,24.88,24.15,29.95,164.24,0,0,162.84,5.8,18.85,55.98,18.85,9.66,164.24,60.54,119,8.69,1967.8200000000002

65,16:00-16:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,53.14,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,53.81,105,5.8,2161.66

66,16:15-16:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,53.14,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,47.56,91,5.8,2141.41

67,16:30-16:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,53.14,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,42.1,77,5.8,2121.95

68,16:45-17:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,11.74,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,53.14,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,36.53,63,5.8,2102.38

69,17:00-17:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,31.06,49,0,2024.25

70,17:15-17:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,25.03,35,0,2004.22

71,17:30-17:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,19.68,28,0,1991.8700000000001

72,17:45-18:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.02,0,9.66,0,111.1,28.98,0,0,0,41.06,9.66,0.87,20.53,20.53,135.25,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,14.6,18,0,1976.79

73,18:00-18:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,10.52,7,0,1842.29

74,18:15-18:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,7.27,5,0,1837.04

75,18:30-18:45,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0.62,1,0,1826.3899999999999

76,18:45-19:00,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.39,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0.23,0,0,1825

77,19:00-19:15,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.76,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0.15,0,0,1825.29

78,19:15-19:30,17.39,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.76,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,16.91,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1825.1399999999999

79,19:30-19:45,26.08,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.76,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,22.06,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1838.98

80,19:45-20:00,26.08,11.9,41.06,20.53,20.53,53.38,164.24,41.06,41.06,26.96,11.91,26.96,20.53,12.76,0,9.66,8.69,111.1,28.98,5.8,0,0,41.06,10.63,0.87,20.53,20.53,0,0,8.05,164.24,0,164.24,22.06,106.27,0,0,0,55.98,0,24.88,24.15,217.37,5.8,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1838.98

81,20:00-20:15,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,13.23,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,10.63,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,23.89,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1864.8200000000002

82,20:15-20:30,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,13.23,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,10.63,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,25.73,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1866.6599999999999

83,20:30-20:45,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.3,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,10.63,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,25.73,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1865.73

84,20:45-21:00,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.3,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,10.63,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,27.56,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1867.56

85,21:00-21:15,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,29.4,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1868.33

86,21:15-21:30,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,29.4,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1868.33

87,21:30-21:45,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,30.88,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1869.81

88,21:45-22:00,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.2,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.92,20.53,20.53,0,0,8.05,164.24,0,164.24,32.35,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1871.2799999999997

89,22:00-22:15,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.02,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.82,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.46

90,22:15-22:30,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.02,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.82,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.46

91,22:30-22:45,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.02,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.82,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.46

92,22:45-23:00,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,12.02,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.82,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.46

93,23:00-23:15,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,11.83,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.77,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.2199999999998

94,23:15-23:30,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,11.83,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.77,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.2199999999998

95,23:30-23:45,26.08,11.9,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,11.83,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.77,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.98,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.2199999999998

96,23:45-24:00,26.08,12.17,41.06,20.53,20.53,53.38,0,41.06,41.06,29.5,11.91,26.66,20.53,11.83,0,9.66,8.69,111.1,28.98,5.8,0,164.24,41.06,9.66,0.77,20.53,20.53,0,0,8.05,164.24,0,164.24,33.81,106.27,0,0,0,55.74,0,24.88,24.15,217.37,27.05,0,38.64,0,0,0,0,29.95,0,18.85,18.85,162.84,0,0,0,0,0,0,0,0,0,1872.25

