Time,Block,NR/2023/10959/A,NR/2023/10786/A,NR/2023/11953/A,NR/2023/10947/A,NR/2023/13513/C,NR/2023/13502/C,NR/2023/12706/A,NR/2023/13491/D,NR/2023/13495/D,NR/2023/12915/F,NR/2023/11447/A,NR/2023/12872/F,NR/2023/13369/F,NR/2023/10561/A,NR/2023/11507/A,NR/2023/12169/A,NR/2023/11709/A,NR/2023/13490/D,NR/2023/10488/A,NR/2023/11712/A,NR/2023/10436/A,NR/2023/13494/D,NR/2023/10956/A,NR/2023/12923/F,NR/2023/10435/A,NR/2023/13509/C,NR/2023/13506/C,NR/2023/12916/F,NR/2023/12661/A,NR/2023/10720/A,NR/2023/10460/A,NR/2023/11266/A,NR/2023/12814/F,NR/2023/10651/A,NR/2023/12921/F,NR/2023/12920/F,NR/2023/12917/F,NR/2023/13504/C,NR/2023/12919/F,NR/2023/12922/F,NR/2023/13315/F,NR/2023/12924/F,NR/2023/10432/A,NR/2023/12813/F,NR/2023/13493/D,Total

49,12:00-12:15,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,7.35,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1599.05

50,12:15-12:30,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,7.55,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1599.25

51,12:30-12:45,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,7.74,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1599.44

52,12:45-13:00,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,7.84,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1599.54

53,13:00-13:15,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,8.23,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1600.95

54,13:15-13:30,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,9.39,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1602.11

55,13:30-13:45,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,8.9,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1601.62

56,13:45-14:00,25.040000,90.960000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,79.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,0.000000,8.71,48.380000,64.350000,24.190000,185.5,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1601.43

57,14:00-14:15,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,78,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,8.23,48.380000,64.350000,24.190000,182,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1634.61

58,14:15-14:30,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,75,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,8.13,48.380000,64.350000,24.190000,175,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1624.51

59,14:30-14:45,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,72,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,7.69,48.380000,64.350000,24.190000,168,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1614.07

60,14:45-15:00,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,69,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,7.6,48.380000,64.350000,24.190000,161,100.160000,0.610000,24.190000,14.230000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1603.98

61,15:00-15:15,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,64.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,7.55,48.380000,64.350000,24.190000,150.5,100.160000,0.610000,24.190000,14.230000,34.670000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1590.97

62,15:15-15:30,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,61.5,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,6.97,48.380000,64.350000,24.190000,143.5,100.160000,0.610000,24.190000,14.230000,34.670000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1580.39

63,15:30-15:45,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,57,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,6.58,48.380000,64.350000,24.190000,133,100.160000,0.610000,24.190000,14.230000,34.670000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1565

64,15:45-16:00,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,52.8,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,5.9,48.380000,64.350000,24.190000,123.2,100.160000,0.610000,24.190000,14.230000,34.670000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,43.550000,1550.32

65,16:00-16:15,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,47.1,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,4.64,48.380000,64.350000,24.190000,109.9,100.160000,0.610000,24.190000,14.320000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1532.13

66,16:15-16:30,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,43.2,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,3.87,48.380000,64.350000,24.190000,100.8,100.160000,0.610000,24.190000,14.320000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1518.36

67,16:30-16:45,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,39,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,2.9,48.380000,64.350000,24.190000,91,100.160000,0.610000,24.190000,14.320000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1503.39

68,16:45-17:00,25.040000,106.450000,0.000000,0.000000,0.000000,8.230000,6.770000,27.570000,36,0.370000,14.960000,0.970000,24.190000,48.380000,300.460000,0.000000,23.170000,2.03,48.380000,64.350000,24.190000,84,100.160000,0.610000,24.190000,14.320000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,44.510000,1492.52

69,17:00-17:15,25.040000,48.380000,0.000000,0.000000,0.000000,8.230000,6.770000,65.150000,33,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,1.94,48.380000,64.350000,24.190000,77,100.160000,0.610000,24.190000,14.410000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1369.87

70,17:15-17:30,25.040000,48.380000,0.000000,0.000000,0.000000,8.230000,6.770000,65.150000,27,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,1.45,48.380000,64.350000,24.190000,63,100.160000,0.610000,24.190000,14.410000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1349.38

71,17:30-17:45,25.040000,48.380000,0.000000,0.000000,0.000000,8.230000,6.770000,65.150000,23.1,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,1.16,48.380000,64.350000,24.190000,53.9,100.160000,0.610000,24.190000,14.410000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1336.09

72,17:45-18:00,25.040000,48.380000,0.000000,0.000000,0.000000,8.230000,6.770000,65.150000,18,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,0.68,48.380000,64.350000,24.190000,42,100.160000,0.610000,24.190000,14.410000,35.690000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1318.61

73,18:00-18:15,25.040000,48.380000,36.510000,0.000000,0.000000,8.230000,6.770000,142.370000,15,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,0.48,48.380000,64.350000,24.190000,35,100.160000,0.610000,24.190000,14.510000,34.670000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1421.22

74,18:15-18:30,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,12,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,28,100.160000,0.610000,24.190000,14.510000,34.670000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1402.51

75,18:30-18:45,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,9,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,21,100.160000,0.610000,24.190000,14.510000,34.670000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1392.51

76,18:45-19:00,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,6,0.370000,14.960000,0.680000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,14,100.160000,0.610000,24.190000,14.510000,34.670000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1390.73

77,19:00-19:15,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,3,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,7,100.160000,0.610000,24.190000,14.590000,34.670000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1380.86

78,19:15-19:30,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,1.5,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,3.5,100.160000,0.610000,24.190000,14.590000,34.670000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1375.86

79,19:30-19:45,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,0,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.590000,34.670000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1370.86

80,19:45-20:00,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,0,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.590000,34.670000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.980000,0.980000,0.920000,0.000000,0.970000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1370.86

81,20:00-20:15,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.690000,32.630000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1368.81

82,20:15-20:30,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.690000,32.630000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1368.81

83,20:30-20:45,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.690000,32.630000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1368.81

84,20:45-21:00,25.040000,48.380000,36.510000,0.000000,0.000000,0.000000,6.770000,142.370000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.690000,32.630000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1368.81

85,21:00-21:15,25.040000,91.930000,36.510000,0.000000,0.000000,8.230000,6.770000,76.420000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1346.51

86,21:15-21:30,25.040000,91.930000,36.510000,0.000000,65.800000,8.230000,6.770000,74.160000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,32.630000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,0.000000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1410.05

87,21:30-21:45,25.040000,91.930000,36.510000,0.000000,117.090000,0.000000,6.770000,27.570000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,32.630000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,19.350000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1434.09

88,21:45-22:00,25.040000,91.930000,36.510000,0.000000,122.900000,0.000000,6.770000,27.570000,0,0.370000,14.960000,0.770000,0.000000,48.380000,300.460000,0.000000,0.000000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.780000,32.630000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,97.740000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1518.29

89,22:00-22:15,25.040000,91.930000,36.510000,23.220000,119.030000,0.000000,6.770000,27.570000,0,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,82.250000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1598.54

90,22:15-22:30,25.040000,91.930000,36.510000,23.220000,113.220000,0.000000,6.770000,27.570000,0,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,179.020000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1689.5

91,22:30-22:45,25.040000,91.930000,36.510000,23.220000,100.640000,0.000000,6.770000,27.570000,0,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,277.730000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1775.63

92,22:45-23:00,25.040000,91.930000,36.510000,23.220000,76.450000,0.000000,6.770000,27.570000,0,0.370000,14.960000,0.730000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.870000,31.610000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,359.020000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1832.73

93,23:00-23:15,25.040000,91.930000,36.510000,23.220000,54.190000,0.000000,6.770000,27.570000,0,0.370000,14.960000,0.630000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,59.850000,85.640000,63.140000,0.930000,0.930000,0.920000,417.080000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1868.53

94,23:15-23:30,25.040000,91.930000,36.510000,23.220000,47.420000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.630000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,429.660000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1874.35

95,23:30-23:45,25.040000,91.930000,36.510000,23.220000,42.580000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.630000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,428.690000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1868.54

96,23:45-24:00,25.040000,91.930000,36.510000,23.220000,44.510000,8.230000,6.770000,27.570000,0,0.370000,14.960000,0.630000,0.000000,48.380000,300.460000,54.190000,23.170000,0,48.380000,64.350000,24.190000,0,100.160000,0.610000,24.190000,14.970000,31.610000,0.520000,62.900000,23.710000,23.220000,51.630000,85.640000,63.140000,0.930000,0.930000,0.920000,419.010000,0.920000,1.020000,4.840000,0.610000,43.550000,62.900000,0.000000,1860.79

