Time,Block,NR/2023/10487/A,NR/2023/12163/C,NR/2023/11342/A,NR/2023/12176/C,NR/2023/11963/F,NR/2023/11955/F,NR/2023/11956/F,NR/2023/12173/C,NR/2023/11862/F,NR/2023/11476/A,NR/2023/11941/F,NR/2023/10613/A,NR/2023/11960/F,NR/2023/11959/F,NR/2023/11952/F,NR/2023/12158/D,NR/2023/10236/A,NR/2023/11958/F,NR/2023/11961/F,NR/2023/11962/F,NR/2023/11957/F,NR/2023/11947/F,NR/2023/10229/A,NR/2023/10344/A,NR/2023/12174/C,NR/2023/12157/D,NR/2023/12153/D,NR/2023/12155/D,Total
83,20:30-20:45,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,193.300000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,801.44

84,20:45-21:00,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,193.300000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,801.44

85,21:00-21:15,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,134.150000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,742.29

86,21:15-21:30,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,134.150000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,742.29

87,21:30-21:45,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,675.22

88,21:45-22:00,41.560000,27.520000,115.980000,13.740000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,0.000000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,675.22

89,22:00-22:15,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,687.8

90,22:15-22:30,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,687.8

91,22:30-22:45,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,687.8

92,22:45-23:00,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,30.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,10.000000,0,0,0,687.8

93,23:00-23:15,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,647.8

94,23:15-23:30,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,647.8

95,23:30-23:45,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,647.8

96,23:45-24:00,41.560000,27.520000,115.980000,13.660000,0.420000,0.360000,0.370000,0.000000,2.900000,48.320000,0.000000,12.660000,0.640000,0.640000,36.470000,67.080000,214.830000,0.560000,0.700000,0.420000,0.720000,6.770000,42.970000,12.250000,0.000000,0,0,0,647.8

