Time,Block,NR/2023/14177/D,NR/2023/13679/F,NR/2023/11507/A,NR/2023/12920/F,NR/2023/14167/D,NR/2023/11712/A,NR/2023/12924/F,NR/2023/10786/A,NR/2023/12921/F,NR/2023/11709/A,NR/2023/12916/F,NR/2023/14175/D,NR/2023/12706/A,NR/2023/14171/D,NR/2023/12915/F,NR/2023/10956/A,NR/2023/14172/D,NR/2023/12661/A,NR/2023/10435/A,NR/2023/10947/A,NR/2023/10650/A,NR/2023/12169/A,NR/2023/10488/A,NR/2023/14205/C,NR/2023/12872/F,NR/2023/10651/A,NR/2023/10432/A,NR/2023/12923/F,NR/2023/10460/A,NR/2023/13985/F,NR/2023/14183/C,NR/2023/14206/C,NR/2023/10720/A,NR/2023/10561/A,NR/2023/12814/F,NR/2023/10436/A,NR/2023/11068/A,NR/2023/12917/F,NR/2023/10705/A,NR/2023/11953/A,NR/2023/13369/F,NR/2023/10959/A,NR/2023/14201/C,NR/2023/11266/A,NR/2023/14173/D,NR/2023/12813/F,NR/2023/12919/F,NR/2023/12922/F,Total
45,11:00-11:15,0.000000,4.840000,255.460000,0.980000,6.31,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,69.6,6.780000,162.4,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1654.7

46,11:15-11:30,0.000000,4.840000,255.460000,0.980000,6.44,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1667.83

47,11:30-11:45,0.000000,4.840000,255.460000,0.980000,6.53,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1667.92

48,11:45-12:00,0.000000,4.840000,255.460000,0.980000,6.71,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1668.1

49,12:00-12:15,0.000000,4.840000,255.460000,0.980000,6.81,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1668.2

50,12:15-12:30,0.000000,4.840000,255.460000,0.980000,6.89,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1668.28

51,12:30-12:45,0.000000,4.840000,255.460000,0.980000,7.08,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1668.47

52,12:45-13:00,0.000000,4.840000,255.460000,0.980000,8.52,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1669.91

53,13:00-13:15,0.000000,4.840000,255.460000,0.980000,9.58,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1670.97

54,13:15-13:30,0.000000,4.840000,255.460000,0.980000,10.16,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,73.5,6.780000,171.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1671.55

55,13:30-13:45,0.000000,4.840000,255.460000,0.980000,9.58,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,72,6.780000,168,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1665.97

56,13:45-14:00,0.000000,4.840000,255.460000,0.980000,9.2,64.370000,0.610000,90.990000,0.980000,0.000000,0.520000,67.5,6.780000,157.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,16.730000,63.620000,68.940000,62.920000,0.970000,1.020000,1650.59

57,14:00-14:15,0.000000,4.840000,255.460000,0.980000,8.52,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,66,6.780000,154,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1685.88

58,14:15-14:30,0.000000,4.840000,255.460000,0.980000,7.74,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,63.9,6.780000,149.1,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1678.1

59,14:30-14:45,0.000000,4.840000,255.460000,0.980000,7.26,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,61.5,6.780000,143.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1669.62

60,14:45-15:00,0.000000,4.840000,255.460000,0.980000,6.78,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,58.8,6.780000,137.2,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,30.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.040000,63.620000,68.940000,62.920000,0.970000,1.020000,1660.14

61,15:00-15:15,38.720000,4.840000,255.460000,0.980000,5.81,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,55.5,6.780000,129.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.220000,63.620000,68.940000,62.920000,0.970000,1.020000,1657.07

62,15:15-15:30,38.720000,4.840000,255.460000,0.980000,4.84,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,52.8,6.780000,123.2,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.220000,63.620000,68.940000,62.920000,0.970000,1.020000,1647.1

63,15:30-15:45,38.720000,4.840000,255.460000,0.980000,4.36,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,50.1,6.780000,116.9,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.220000,63.620000,68.940000,62.920000,0.970000,1.020000,1637.62

64,15:45-16:00,38.720000,4.840000,255.460000,0.980000,3.39,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,46.5,6.780000,108.5,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,35.670000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.220000,63.620000,68.940000,62.920000,0.970000,1.020000,1624.65

65,16:00-16:15,38.720000,4.840000,255.460000,0.980000,2.66,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,44.4,6.780000,103.6,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,0.000000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1619.14

66,16:15-16:30,38.720000,4.840000,255.460000,0.980000,2.22,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,39.6,6.780000,92.4,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,12.580000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1615.28

67,16:30-16:45,38.720000,4.840000,255.460000,0.980000,1.69,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,33,6.780000,77,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,24.200000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1604.37

68,16:45-17:00,38.720000,4.840000,255.460000,0.980000,1.22,64.370000,0.610000,106.480000,0.980000,23.170000,0.520000,30,6.780000,70,0.370000,85.150000,33.880000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.970000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,28.070000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,24.200000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1597.77

69,17:00-17:15,38.720000,4.840000,255.460000,0.980000,0.83,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,27,6.780000,63,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,41.620000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1485.51

70,17:15-17:30,38.720000,4.840000,255.460000,0.980000,0.44,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,22.5,6.780000,52.5,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,45.500000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1474

71,17:30-17:45,38.720000,4.840000,255.460000,0.980000,0.23,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,15,6.780000,35,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,75.500000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1478.79

72,17:45-18:00,38.720000,4.840000,255.460000,0.980000,0.1,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,13.5,6.780000,31.5,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,7.740000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,37.700000,96.800000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.810000,0.000000,0.000000,21.280000,19.410000,63.620000,68.940000,62.920000,0.970000,1.020000,1494.96

73,18:00-18:15,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,13.5,6.780000,31.5,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,102.610000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1621.86

74,18:15-18:30,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,10.5,6.780000,24.5,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,88.090000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1597.34

75,18:30-18:45,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,9,6.780000,21,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,54.210000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1558.46

76,18:45-19:00,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,6,6.780000,14,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.680000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,88.090000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1582.34

77,19:00-19:15,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,3,6.780000,7,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,35.820000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1520.12

78,19:15-19:30,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,1.8,6.780000,4.2,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,60.980000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1541.28

79,19:30-19:45,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,0.6,6.780000,1.4,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,28.070000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1504.37

80,19:45-20:00,38.720000,4.840000,255.460000,0.980000,0,64.370000,0.610000,48.400000,0.980000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,36.690000,54.210000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.970000,1.020000,1528.51

81,20:00-20:15,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,48.400000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,96.800000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.920000,1.020000,1530.23

82,20:15-20:30,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,48.400000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,142.300000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.920000,1.020000,1575.73

83,20:30-20:45,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,48.400000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,198.440000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.920000,1.020000,1631.87

84,20:45-21:00,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,48.400000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,245.870000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,147.880000,62.920000,0.920000,1.020000,1679.3

85,21:00-21:15,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,235.220000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1633.27

86,21:15-21:30,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,273.940000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1671.99

87,21:30-21:45,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,328.150000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.830000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1726.2

88,21:45-22:00,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,0.000000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,0.000000,14.280000,0.000000,48.400000,0.000000,0.770000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,374.620000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,15.870000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1772.71

89,22:00-22:15,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,40.660000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1824.85

90,22:15-22:30,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,101.640000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1885.83

91,22:30-22:45,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,153.910000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1938.1

92,22:45-23:00,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.730000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,197.470000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1981.66

93,23:00-23:15,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.630000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,226.510000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,2010.6

94,23:15-23:30,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.630000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,240.060000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,2024.15

95,23:30-23:45,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.630000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,237.160000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,2021.25

96,23:45-24:00,0.000000,4.840000,255.460000,0.930000,0,64.370000,0.610000,91.960000,0.930000,23.170000,0.520000,0,6.780000,0,0.370000,85.150000,24.200000,62.920000,24.200000,23.230000,83.250000,54.210000,48.400000,0.000000,0.630000,63.160000,43.560000,0.610000,23.230000,24.200000,34.650000,213.930000,23.720000,48.400000,85.670000,24.200000,48.400000,0.920000,232.430000,36.520000,0.000000,21.280000,19.590000,63.620000,68.940000,62.920000,0.920000,1.020000,1998.02

