Time,Block,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/21974/A/30080,NR/2024/21860/A/30058,NR/2024/22014/A/29930,NR/01082024/30092024/LT_MEJA_DELHI,NR/2024/21872/A/29857,NR/2024/22156/C,NR/2024/21943/A/30093,NR/2024/22195/C,NR/2024/21932/A/29832,NR/2024/21961/A/29943,NR/2024/21970/A/30078,NR/2024/21870/A/29855,NR/01082024/31082024/jitpl,NR/2024/22081/A/30057,NR/2024/21968/A/30077,NR/2024/21869/A/29848,NR/2024/21909/A/30053,NR/2024/21966/A/30051,NR/2024/22042/A/30032,NR/01082024/31082024/SKS-Raigarh,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21971/A/30079,NR/2024/22184/C,NR/2024/21956/A/30097,NR/01102023/14082046/L_NR_2021_16,NR/30092023/26122029/SH-06,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21871/A/29856,NR/2024/21814/A/30081,NR/2024/21938/A/29945,NR/2024/21918/A/30119,NR/2024/22155/C,NR/2024/21868/A/29858,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/23072042/L_NR_2012_04,NR/2024/22199/C,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21876/A/29864,NR/2024/21983/A/29984,NR/2024/21954/A/30094,NR/2024/22137/C,NR/01082024/01082024/HPX_TAM_31072024_01942,NR/2024/22167/C,NR/2024/21873/A/29866,NR/2024/22136/C,NR/2024/22181/C,NR/2024/22090/C,NR/2024/21658/A/29811,NR/30092023/31122025/SH-07,NR/2024/22146/C,NR/2024/21875/A/29865,NR/2024/22175/C,NR/01082024/15082024/APL-Raigarh,NR/2024/22010/A/30116,NR/2024/22185/C,NR/2024/22173/C,NR/2024/21940/A/30095,NR/01102023/02012046/L_NR_2021_17,Total
32,07:45:08:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,48.160000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,2.8,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.770000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1385.56

33,08:00-08:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,48.160000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,3.24,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1386.19

34,08:15-08:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,48.160000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,3.66,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1386.61

35,08:30-08:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,48.160000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,4.12,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1387.07

36,08:45:09:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,48.160000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,3.27,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1386.22

37,09:00:09:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,3.05,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1386

38,09:15-09:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,3.13,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1386.08

39,09:30-09:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,3.3,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1386.25

40,09:45-10:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,3.4,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1386.35

41,10:00-10:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,3.39,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1386.34

42,10:15-10:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,3.52,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1386.47

43,10:30-10:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,4.58,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1387.53

44,10:45-11:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,4.99,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1387.94

45,11:00-11:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,7.94,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1390.89

46,11:15-11:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,6.12,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1389.07

47,11:30-11:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,7.2,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1390.15

48,11:45-12:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,7.22,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1390.17

49,12:00-12:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,7.22,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1390.17

50,12:15-12:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,7.53,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1390.48

51,12:30-12:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,4.45,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1387.4

52,12:45-13:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,14.530000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,7.63,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1390.58

53,13:00-13:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,6.1,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1393.65

54,13:15-13:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,5.96,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1393.51

55,13:30-13:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,6.53,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1394.08

56,13:45-14:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,6.34,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1393.89

57,14:00-14:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,3.64,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1378.59

58,14:15-14:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,4.55,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1379.5

59,14:30-14:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,4.16,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1379.11

60,14:45-15:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,22.970000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,5.53,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,22.970000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1393.08

61,15:00-15:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,18.680000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,5.53,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,18.680000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1384.5

62,15:15-15:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,7.89,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1382.84

63,15:30-15:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,5.64,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1380.59

64,15:45-16:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,19.130000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,5.48,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.960000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1380.43

65,16:00-16:15,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,5.55,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.870000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1377.19

66,16:15-16:30,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,5.14,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.870000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1376.78

67,16:30-16:45,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,4.28,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.870000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1375.92

68,16:45-17:00,0.000000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,192.640000,48.160000,3.850000,12.410000,0.000000,0.000000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,48.160000,24.000000,2.85,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.870000,16.670000,0.000000,0.000000,0.000000,0.000000,11.690000,0.000000,0.000000,83.970000,0,1374.49

69,17:00-17:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,32.090000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,1.51,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.870000,16.670000,90.540000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1447.62

70,17:15-17:30,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,42.390000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,1.32,96.320000,0.000000,0.000000,163.980000,0.000000,0.000000,0.870000,16.670000,90.540000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1457.73

71,17:30-17:45,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,47.240000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,1.38,96.320000,0.000000,0.000000,163.980000,0.000000,11.740000,0.870000,16.670000,90.540000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1474.38

72,17:45-18:00,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,0.000000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,47.240000,37.210000,0.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,0.000000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,1.63,96.320000,0.000000,0.000000,163.980000,0.000000,11.700000,0.870000,16.670000,90.540000,0.000000,0.000000,192.640000,11.690000,0.000000,0.000000,83.970000,0,1474.59

73,18:00-18:15,48.160000,37.210000,48.160000,1.930000,7.930000,0.000000,48.160000,38.530000,0.000000,0.000000,0.000000,12.410000,0.000000,12.170000,240.800000,37.210000,0.000000,0.000000,0.000000,3.850000,12.410000,0.000000,32.090000,37.210000,27.000000,24.080000,0,16.670000,0.000000,0.000000,48.160000,0.000000,90.540000,20.710000,0.000000,15.910000,0.000000,0.000000,0.000000,0.000000,0.000000,24.000000,1.06,96.320000,72.240000,0.000000,163.980000,24.080000,0.000000,0.870000,16.670000,90.540000,0.000000,0.000000,192.640000,0.000000,0.000000,28.900000,83.970000,0,1656.57

