Time,Block,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20688/A/29039,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/27072024/27072024/IEX_240726-01729,NR/2024/21339/A/28974,NR/2024/21210/A/28978,NR/2024/20574/A/29225,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/2024/21715/A/28798,NR/2024/21146/A/29021,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/22009/C,NR/2024/21156/A/29024,NR/30092023/26122029/SH-06,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21141/A/28988,NR/2024/21183/A/29292,NR/2024/21199/A/29003,NR/2024/21023/A/29004,NR/2024/21108/A/29255,NR/2024/21142/A/28980,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/27072024/27072024/HPX-TAMCTG-270724-01870,NR/2024/21942/C,NR/2024/21227/A/29256,NR/2024/21075/A/29294,NR/2024/21967/C,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/20966/A/28926,NR/2024/21152/A/28925,NR/2024/21682/A/29316,NR/2024/21089/A/29240,NR/2024/22002/C,NR/2024/20573/A/29226,NR/2024/21087/A/29038,NR/2024/21096/A/29258,NR/2024/21072/A/29242,NR/2024/21144/A/29001,NR/2024/19779/A/28920,NR/2024/21148/A/29015,NR/2024/20711/A/29334,NR/2024/21103/A/29257,NR/2024/21159/A/29014,NR/2024/21076/A/29291,NR/2024/21958/C,NR/2024/21153/A/29025,NR/2024/21567/A/29238,NR/2024/21952/C,NR/2024/21173/A/29037,NR/2024/21062/A/29221,NR/2024/21099/A/28982,NR/2024/21238/A/29295,NR/2024/21158/A/29023,NR/2024/21986/C,NR/2024/20931/A/29198,NR/2024/21150/A/29020,NR/2024/21160/A/29022,NR/2024/21186/A/29252,NR/2024/21113/A/29239,NR/2024/21941/C,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,Total
27,06:30-06:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.680000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1594.26

28,06:45-07:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.680000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1594.26

29,07:00-07:15,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.770000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0,0,0,1594.16

30,07:15-07:30,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.770000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0.24,0,0,1594.4

31,07:30-07:45,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.770000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0.49,0,0,1594.65

32,07:45:08:00,24.120000,0.000000,96.460000,66.740000,0.000000,72.340000,96.460000,0.000000,0.000000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,0.000000,0.000000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,48.230000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.770000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,0.000000,24.120000,2.890000,0.680000,0.000000,0.000000,0.880000,0.970000,0.000000,37.260000,0.66,0,0,1594.82

33,08:00-08:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,0.82,0,0,1595.17

34,08:15-08:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,0.87,0,0,1595.22

35,08:30-08:45,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,0.95,0,0,1595.3

36,08:45:09:00,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,8.680000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.150000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.23,0,0,1595.58

37,09:00:09:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,9.650000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.970000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.23,0,0,1596.37

38,09:15-09:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,9.650000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.970000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.36,0,0,1596.5

39,09:30-09:45,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,11.580000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.970000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.15,0,0,1598.22

40,09:45-10:00,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,11.580000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.970000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.52,0,0,1598.59

41,10:00-10:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,11.580000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.49,0,0,1599.38

42,10:15-10:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,11.580000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,3.56,0,0,1600.45

43,10:30-10:45,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,3.67,0,0,1601.52

44,10:45-11:00,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.09,0,0,1599.94

45,11:00-11:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,4.41,0,0,1602.26

46,11:15-11:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,3.32,0,0,1601.17

47,11:30-11:45,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.49,0,0,1600.34

48,11:45-12:00,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.3,0,0,1600.15

49,12:00-12:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.17,0,0,1600.02

50,12:15-12:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.93,0,0,1600.78

51,12:30-12:45,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.95,0,0,1600.8

52,12:45-13:00,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,11.790000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,3.38,0,0,1601.23

53,13:00-13:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.070000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.77,0,0,1599.9

54,13:15-13:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.070000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.5,0,0,1599.63

55,13:30-13:45,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.070000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.18,0,0,1599.31

56,13:45-14:00,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.070000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.07,0,0,1599.2

57,14:00-14:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.36,0,0,1599.76

58,14:15-14:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.99,0,0,1601.39

59,14:30-14:45,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,2.69,0,0,1601.09

60,14:45-15:00,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.340000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.72,0,0,1600.12

61,15:00-15:15,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.700000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.5,0,0,1600.26

62,15:15-15:30,0.000000,0.000000,0.000000,66.740000,0.000000,0.000000,0.000000,0.000000,96.460000,48.230000,0.000000,14.560000,22.970000,12.540000,0.360000,12.420000,0.000000,0.610000,22.970000,0.000000,12.700000,0.000000,21.220000,72.340000,96.460000,24.040000,48.230000,0.000000,0.000000,164.220000,0.000000,11.720000,0.000000,0.000000,4.820000,1.930000,241.150000,37.260000,0.000000,0.000000,24.120000,24.120000,37.260000,0.480000,0.960000,0.520000,96.460000,84.090000,0.880000,90.670000,0.000000,1.590000,12.420000,27.970000,24.120000,24.120000,24.120000,2.890000,0.680000,0.000000,48.230000,0.880000,0.970000,0.000000,37.260000,1.38,0,0,1600.14

