Column1,Block,WR/2025/27361/A/64743,WR/2025/27350/A/64647,NR/2025/25752/A/64496,GNARE/NR/2024/12/20/3668,NR/2025/25924/A/64650,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/16/1389,NR/2025/25945/A/64730,NR/2025/25947/A/64728,NR/2025/25948/A/64726,NR/2025/26009/C,NR/2025/25955/A/64724,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/1831,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/1333,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/01/6490,Total
92,22:45-23:00,24.06,0,0,0,4.81,2.89,48.12,28.87,43.74,43.74,14.58,223.25,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,29.5,2.89,9.62,72.17,96.23,72.17,9.62,940.16

93,23:00-23:15,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,223.25,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,4.5,2.89,9.62,72.17,96.23,72.17,9.62,914.1999999999999

94,23:15-23:30,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,223.25,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,4.5,2.89,9.62,72.17,96.23,72.17,9.62,914.1999999999999

95,23:30-23:45,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,223.25,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,4.5,2.89,9.62,72.17,96.23,72.17,9.62,914.1999999999999

96,23:45-24:00,24.06,0,0,0,3.85,2.89,48.12,28.87,43.74,43.74,14.58,223.25,29.14,9.62,0,50,43.74,14.58,1.92,29.5,19.25,2.89,13.26,4.5,2.89,9.62,72.17,96.23,72.17,9.62,914.1999999999999

