Column1,Block,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/26335/A/75721,NR/2025/26289/A/75724,NR/2025/25967/A/75677,NR/2025/27478/C,NR/2025/27492/C,NR/2025/27505/C,NR/2025/27501/C,NR/2025/26828/A/75691,NR/2025/27493/C,NR/2025/26879/A/75712,NR/2025/25860/A/75683,NR/2025/25859/A/75684,NR/2025/26101/A/75388,NR/2025/27149/A/75342,NR/2025/26085/A/75204,NR/2025/26827/A/75692,NR/2025/26336/A/75717,NR/2025/26825/A/75700,NR/2025/26829/A/75690,NR/2025/25861/A/75682,NR/2025/27517/C,NR/2025/26232/A/75727,NR/2025/26785/A/75227,NR/2025/26265/A/75725,NR/2025/26082/A/75824,NR/2025/26202/A/75823,NR/2025/26822/A/75693,NR/2025/26191/A/75307,NR/2025/27420/C,NR/2025/26153/A/75229,NR/2025/26004/A/75310,NR/2025/26291/A/75722,NR/2025/26379/A/75676,NR/2025/26959/A/75341,NR/2025/26005/A/75314,NR/2025/26233/A/75726,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/75225,NR/2025/27426/C,NR/2025/27443/C,NR/2025/27452/C,NR/2025/27464/C,NR/2025/27425/C,NR/2025/27421/C,NR/2025/27422/C,NR/2025/27424/C,NR/2025/27512/C,NR/2025/27502/C,NR/2025/27503/C,NR/2025/27504/C,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698,Total
41,10:00-10:15,0,14.49,10.63,82.12,12.58,164.24,26.61,26.61,182,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,3.86,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,57.01,12.56,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1850.04

42,10:15-10:30,0,14.49,10.63,82.12,12.58,164.24,26.61,26.61,189,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,3.86,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,59.82,12.56,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1859.85

43,10:30-10:45,0,14.49,10.63,82.12,12.58,164.24,26.61,26.61,196,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,3.86,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,58.7,12.56,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1865.73

44,10:45-11:00,0,14.49,10.63,82.12,12.58,164.24,26.61,26.61,203,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,3.86,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,6.76,48.3,0,60.83,12.56,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1874.86

45,11:00-11:15,0,14.49,10.63,82.12,12.39,164.24,26.61,26.61,203,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,62.68,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1878.46

46,11:15-11:30,0,14.49,10.63,82.12,12.39,164.24,26.61,26.61,207,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,64.12,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1883.9

47,11:30-11:45,0,14.49,10.63,82.12,12.39,164.24,26.61,26.61,207,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,65.05,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1884.83

48,11:45-12:00,0,14.49,10.63,82.12,12.39,164.24,26.61,26.61,207,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,66.08,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1885.86

49,12:00-12:15,0,14.49,10.63,82.12,12.2,164.24,26.7,26.7,207,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,66.79,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1886.56

50,12:15-12:30,0,14.49,10.63,82.12,12.2,164.24,26.7,26.7,207,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,67.54,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1887.31

51,12:30-12:45,0,14.49,10.63,82.12,12.2,164.24,26.7,26.7,200,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,71.14,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1883.91

52,12:45-13:00,0,14.49,10.63,82.12,12.2,164.24,26.7,26.7,200,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,71.01,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1883.78

53,13:00-13:15,0,14.49,10.63,82.12,12.02,164.24,26.7,26.7,182,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,71.35,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1865.9399999999998

54,13:15-13:30,0,14.49,10.63,82.12,12.02,164.24,26.7,26.7,182,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,70.98,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1865.57

55,13:30-13:45,0,14.49,10.63,82.12,12.02,164.24,26.7,26.7,193,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,70.24,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1875.83

56,13:45-14:00,0,14.49,10.63,82.12,12.02,164.24,26.7,26.7,193,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,0,2.9,0.97,0,0,0,0,0,0,0,0,0,47.34,0,0,0,96.61,9.95,48.3,0,0,8.69,48.3,0,68.89,13.53,52.85,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1874.48

57,14:00-14:15,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,189,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,2.9,0,0,0,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,9.66,39.61,0,67.35,11.59,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1955.6899999999998

58,14:15-14:30,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,179,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,2.9,0,0,0,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,9.66,39.61,0,65.1,11.59,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1943.4399999999998

59,14:30-14:45,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,172,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,2.9,0,0,0,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,9.66,39.61,0,62,11.59,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1933.34

60,14:45-15:00,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,165,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,2.9,0,0,0,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,9.66,39.61,0,59.69,11.59,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1924.03

61,15:00-15:15,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,158,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,1.93,0,0,0,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,11.59,39.61,0,56.59,8.69,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1911.9899999999998

62,15:15-15:30,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,151,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,1.93,0,0,0,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,11.59,39.61,0,53.54,8.69,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1901.9399999999998

63,15:30-15:45,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,144,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,1.93,0,0,111.1,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,11.59,39.61,0,50.44,8.69,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,2002.9399999999998

64,15:45-16:00,0,14.49,10.63,82.12,11.83,164.24,26.7,26.7,137,0,164.24,0,54.28,37.33,14.64,0,48.3,0,0,96.61,33.81,1.93,0,0,111.1,0,0,111.1,0,0,0,0,0,0,0,0,96.61,0,48.3,0,0,11.59,39.61,0,46.66,8.69,62.8,53.14,48.3,164.24,4.83,48.3,24.15,4.83,0,43.91,43.91,14.64,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1992.1599999999999

65,16:00-16:15,0,14.49,10.63,82.12,12.58,164.24,26.7,26.7,119,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,33.81,1.93,0.82,43.91,111.1,43.91,37.33,111.1,0,4.83,53.14,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,38.78,5.8,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,2020.9899999999993

66,16:15-16:30,0,14.49,10.63,82.12,12.58,164.24,26.7,26.7,105,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,33.81,1.93,0.82,43.91,111.1,43.91,37.33,111.1,0,4.83,53.14,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,34.38,5.8,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,2002.5899999999995

67,16:30-16:45,0,14.49,10.63,82.12,12.58,164.24,26.7,26.7,91,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,33.81,1.93,0.82,43.91,111.1,43.91,37.33,111.1,0,4.83,53.14,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,29.89,5.8,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1984.0999999999995

68,16:45-17:00,0,14.49,10.63,82.12,12.58,164.24,26.7,26.7,77,48.3,164.24,0,54.28,0,0,14.64,48.3,0,0,96.61,33.81,1.93,0.82,43.91,111.1,43.91,37.33,111.1,0,4.83,53.14,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,28.1,5.8,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1968.3099999999993

69,17:00-17:15,0,14.49,10.63,82.12,13.23,164.24,26.7,26.7,63,48.3,164.24,43.47,54.28,0,0,14.64,48.3,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,25.41,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1970.4699999999996

70,17:15-17:30,0,14.49,10.63,82.12,13.23,164.24,26.7,26.7,49,48.3,164.24,43.47,54.28,0,0,14.64,48.3,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1952.9299999999994

71,17:30-17:45,0,14.49,10.63,82.12,13.23,164.24,26.7,26.7,35,48.3,164.24,43.47,108.55,0,0,14.64,48.3,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1987.4299999999994

72,17:45-18:00,0,14.49,10.63,82.12,13.23,164.24,26.7,26.7,25,48.3,164.24,43.47,108.55,0,0,14.64,48.3,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,0,0,0,17.56,0,13.53,0,0,0,20.53,1972.2299999999996

73,18:00-18:15,0,14.49,10.63,82.12,14.14,164.24,26.7,26.7,18,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2108.3999999999996

74,18:15-18:30,0,14.49,10.63,82.12,14.14,164.24,26.7,26.7,11,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2099.5399999999995

75,18:30-18:45,0,14.49,10.63,82.12,14.14,164.24,26.7,26.7,6,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2092.74

76,18:45-19:00,0,14.49,10.63,82.12,14.14,164.24,26.7,26.7,1,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.68,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2086.8499999999995

77,19:00-19:15,0,14.49,10.63,82.12,14.79,164.24,29,25.55,0,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.72,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2087.0899999999997

78,19:15-19:30,0,14.49,10.63,82.12,14.79,164.24,29,25.55,0,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.72,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2087.0899999999997

79,19:30-19:45,0,14.49,10.63,82.12,14.79,164.24,29,29,0,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.72,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2090.5399999999995

80,19:45-20:00,0,14.49,10.63,82.12,14.79,164.24,29,29,0,48.3,164.24,43.47,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.72,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,11.59,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2090.5399999999995

81,20:00-20:15,0,14.49,10.63,82.12,15.35,164.24,24.6,29.5,0,48.3,164.24,62.8,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2104.6499999999996

82,20:15-20:30,0,14.49,10.63,82.12,15.35,164.24,24.6,29.5,0,48.3,164.24,62.8,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2104.6499999999996

83,20:30-20:45,0,14.49,10.63,82.12,15.35,164.24,24.6,29.5,0,48.3,164.24,62.8,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2104.6499999999996

84,20:45-21:00,0,14.49,10.63,82.12,15.35,164.24,24.6,29.5,0,48.3,164.24,62.8,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,0,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2104.6499999999996

85,21:00-21:15,0,14.49,10.63,82.12,15.82,164.24,24.6,29.5,0,48.3,164.24,62.8,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2261.36

86,21:15-21:30,0,14.49,10.63,82.12,15.82,164.24,24.6,29.5,0,48.3,164.24,62.8,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2261.36

87,21:30-21:45,0,14.49,10.63,82.12,15.82,164.24,9.6,29.5,0,48.3,164.24,62.8,162.84,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2246.36

88,21:45-22:00,0,14.49,10.63,82.12,15.82,164.24,9.6,29.5,0,48.3,164.24,62.8,108.55,0,0,14.64,0,33.81,0,96.61,33.81,1.93,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,9.66,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2192.07

89,22:00-22:15,0,14.49,10.63,82.12,16,164.24,29.5,29.5,0,48.3,164.24,62.8,54.28,0,0,14.64,0,33.81,0,96.61,33.81,2.9,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,7.73,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2156.92

90,22:15-22:30,0,14.49,10.63,82.12,16,164.24,29.5,29.5,0,48.3,164.24,62.8,54.28,0,0,14.64,0,33.81,0,96.61,33.81,2.9,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,7.73,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2156.92

91,22:30-22:45,0,14.49,10.63,82.12,16,164.24,29.5,29.5,0,48.3,164.24,62.8,54.28,0,0,14.64,0,33.81,0,96.61,33.81,2.9,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,7.73,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2156.92

92,22:45-23:00,0,14.49,10.63,82.12,16,164.24,29.5,29.5,0,48.3,164.24,62.8,54.28,0,0,14.64,0,33.81,0,96.61,33.81,2.9,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,7.73,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2156.92

93,23:00-23:15,0,14.49,10.63,82.12,16,164.24,29.5,29.5,0,48.3,164.24,62.8,54.28,0,0,14.64,0,33.81,0,96.61,33.81,2.9,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2155.9500000000003

94,23:15-23:30,0,14.49,10.63,82.12,16,164.24,29.5,29.5,0,48.3,164.24,62.8,54.28,0,0,14.64,0,33.81,0,96.61,33.81,2.9,0.77,43.91,111.1,43.91,37.33,111.1,88.61,4.83,0,96.61,47.34,0,14.64,48.3,0,62.8,48.3,24.15,164.24,6.76,48.3,4.83,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,28.98,67.63,28.98,5.8,17.56,0,13.53,5.8,14.49,19.32,20.53,2155.9500000000003

