Time,Block,ER/2023/8040/C,NR/2023/10786/A,NR/2023/12872/F,WR/2023/15879/C,NR/2023/11266/A,NR/2023/12813/F,NR/2023/10651/A,NR/2023/11953/A,NR/2023/11709/A,NR/2023/12814/F,NR/2023/12923/F,NR/2023/11507/A,ER/2023/8029/C,NR/2023/12915/F,NR/2023/12922/F,NR/2023/10436/A,NR/2023/10959/A,NR/2023/10460/A,NR/2023/12919/F,NR/2023/12917/F,NR/2023/12956/F,NR/2023/10720/A,NR/2023/12924/F,NR/2023/11447/A,NR/2023/13149/C,NR/2023/13072/D,SR/2023/5884/C,NR/2023/13146/C,NR/2023/12920/F,NR/2023/13157/C,NR/2023/12916/F,NR/2023/12661/A,NR/2023/12169/A,NR/2023/10947/A,NR/2023/12921/F,NR/2023/13164/C,NR/2023/12706/A,NR/2023/13141/D,NR/2023/10956/A,NR/2023/11712/A,NR/2023/13153/C,WR/2023/15878/C,NR/2023/13133/D,NR/2023/13138/D,NR/2023/13130/D,Total
43,10:30-10:45,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.720000,28.000000,4.73,164.5,70.5,1540.89

44,10:45-11:00,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.720000,28.000000,5.17,164.5,70.5,1541.33

45,11:00-11:15,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.620000,28.000000,5.51,172.2,73.8,1552.57

46,11:15-11:30,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.620000,28.000000,6.39,173.6,74.4,1555.45

47,11:30-11:45,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.620000,28.000000,6.39,173.6,74.4,1555.45

48,11:45-12:00,4.410000,90.940000,0.970000,100.000000,0.000000,62.890000,63.130000,0.000000,0.000000,78.370000,0.420000,300.400000,53.000000,0.360000,0.690000,24.190000,25.040000,23.220000,0.560000,0.710000,4.840000,23.700000,0.420000,14.960000,24.190000,59.840000,0.00,27.520000,0.660000,30.000000,0.350000,38.700000,0.000000,0.000000,0.660000,10.000000,6.770000,20.050000,100.140000,64.340000,16.620000,28.000000,6.48,173.6,74.4,1555.54

