Time,Block,NR/2023/11328/A,NR/2023/13859/A,NR/2023/13983/F,NR/2023/13283/A,NR/2023/14582/C,NR/2023/13858/A,NR/2023/14116/F,NR/2023/13573/A,NR/2023/11264/A,NR/2023/12646/A,NR/2023/11521/A,NR/2023/13704/A,NR/2023/11315/A,NR/2023/14583/C,NR/2023/14120/F,NR/2023/14114/F,NR/2023/13704/A/II,NR/2023/14187/F,NR/2023/11204/A,NR/2023/14566/D,NR/2023/11325/A,NR/2023/13983/F/II,NR/2023/13284/A,NR/2023/11470/A,NR/2023/14115/F,NR/2023/14117/F,NR/2023/11203/A,NR/2023/14136/F,NR/2023/14591/C,NR/2023/14113/F,NR/2023/11469/A,NR/2023/14569/D,NR/2023/14121/F,NR/2023/11654/A,NR/2023/14568/D,NR/2023/14119/F,NR/2023/14570/D,NR/2023/11524/A,SR/2023/6907/C,NR/2023/14118/F,ER/2023/8876/C,NR/2023/14567/D,NR/2023/14572/C,WR/2023/16980/C,NR/2023/13573/A/II,NR/2023/11954/A,NR/2023/11458/A,NR/2023/14564/D,NR/2023/11205/A,NR/2023/11739/A,NR/2023/11697/A,NR/2023/13283/A/II,NR/2023/11892/A,NR/2023/14565/D,Total
39,09:30-09:45,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,100.8,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,43.2,5.790000,0.000000,43.440000,0.000000,0.000000,3.38,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1701.18

40,09:45-10:00,48.270000,178.120000,0.970000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,108.5,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,46.5,5.790000,0.000000,43.440000,0.000000,0.000000,3.38,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1712.18

41,10:00-10:15,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,113.4,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,48.6,5.790000,0.000000,43.440000,0.000000,90.750000,3.38,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1809.85

42,10:15-10:30,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,119,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,51,5.790000,0.000000,43.440000,0.000000,90.750000,3.38,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1817.85

43,10:30-10:45,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,126,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,54,5.790000,0.000000,43.440000,0.000000,90.750000,3.38,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1827.85

44,10:45-11:00,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,133,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,57,5.790000,0.000000,43.440000,0.000000,90.750000,3.86,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1838.33

45,11:00-11:15,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,140,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,4.15,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1848.62

46,11:15-11:30,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,140,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,4.05,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1848.52

47,11:30-11:45,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,140,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,4.34,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1848.81

48,11:45-12:00,48.270000,178.120000,0.970000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,47.300000,0.610000,257.760000,140,1.010000,145.780000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,5.21,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1849.68

49,12:00-12:15,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,140,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,6.08,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1850.45

50,12:15-12:30,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,140,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,6.95,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1851.32

51,12:30-12:45,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,140,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,7.82,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1852.19

52,12:45-13:00,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,140,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,60,5.790000,0.000000,43.440000,0.000000,90.750000,9.17,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1853.54

53,13:00-13:15,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,133,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,57,5.790000,0.000000,43.440000,0.000000,90.750000,8.59,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1842.96

54,13:15-13:30,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,119,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,51,5.790000,0.000000,43.440000,0.000000,90.750000,7.82,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1822.19

55,13:30-13:45,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,109.9,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,47.1,5.790000,0.000000,43.440000,0.000000,90.750000,6.95,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1808.32

56,13:45-14:00,48.270000,178.120000,0.970000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,96.6,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,41.4,5.790000,0.000000,43.440000,0.000000,90.750000,6.08,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1788.45

57,14:00-14:15,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,89.6,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,38.4,5.790000,0.000000,43.440000,0.000000,106.190000,5.21,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1816.02

58,14:15-14:30,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,84.7,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,36.3,5.790000,0.000000,43.440000,0.000000,106.190000,4.34,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1808.15

59,14:30-14:45,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,81.2,1.010000,193.080000,193.080000,0.00,0.980000,75.000000,34.8,5.790000,0.000000,43.440000,0.000000,106.190000,4.34,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1803.15

60,14:45-15:00,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,77.7,1.010000,193.080000,193.080000,0.00,0.980000,50.000000,33.3,5.790000,0.000000,43.440000,0.000000,106.190000,3.48,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1772.29

61,15:00-15:15,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,74.9,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,32.1,5.790000,0.000000,43.440000,0.000000,106.190000,2.9,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1717.71

62,15:15-15:30,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,72.1,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,30.9,5.790000,0.000000,43.440000,0.000000,106.190000,1.93,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1712.74

63,15:30-15:45,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,70,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,30,5.790000,0.000000,43.440000,0.000000,106.190000,1.93,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1709.74

64,15:45-16:00,48.270000,178.120000,0.970000,0.000000,17.180000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,0.970000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,66.5,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,28.5,5.790000,0.000000,43.440000,0.000000,106.190000,1.93,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1704.74

65,16:00-16:15,48.270000,178.120000,0.820000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,61.6,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,26.4,2.900000,0.000000,43.440000,0.000000,106.190000,1.93,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1697.69

66,16:15-16:30,48.270000,178.120000,0.820000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,56,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,24,2.900000,0.000000,43.440000,0.000000,106.190000,1.84,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1689.6

67,16:30-16:45,48.270000,178.120000,0.820000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,50.4,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,21.6,2.900000,0.000000,43.440000,0.000000,106.190000,1.84,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1681.6

68,16:45-17:00,48.270000,178.120000,0.820000,0.000000,17.280000,77.230000,0.970000,0.000000,21.530000,23.100000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,24.140000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,44.1,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,18.9,2.900000,0.000000,43.440000,0.000000,106.190000,1.08,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1671.84

69,17:00-17:15,48.270000,178.120000,0.820000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,38.5,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,16.5,2.900000,0.000000,43.440000,0.000000,48.270000,1.08,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1558.78

70,17:15-17:30,48.270000,178.120000,0.820000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,33.6,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,14.4,2.900000,0.000000,43.440000,0.000000,48.270000,1.08,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1551.78

71,17:30-17:45,48.270000,178.120000,0.820000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,28,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,12,2.900000,0.000000,43.440000,0.000000,48.270000,0.48,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1543.18

72,17:45-18:00,48.270000,178.120000,0.820000,0.000000,17.380000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,7.720000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,22.4,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,9.6,2.900000,0.000000,43.440000,0.000000,48.270000,0.19,15.760000,0.000000,0.000000,24.140000,0.000000,18.340000,1534.89

73,18:00-18:15,48.270000,178.120000,0.870000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,14.240000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,17.5,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,7.5,2.900000,150.000000,43.440000,36.420000,48.270000,0,15.780000,0.000000,0.000000,0.000000,66.520000,18.340000,1763.17

74,18:15-18:30,48.270000,178.120000,0.870000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,14.240000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,13.3,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,5.7,2.900000,150.000000,43.440000,36.420000,48.270000,0,15.780000,0.000000,0.000000,0.000000,66.520000,18.340000,1757.17

75,18:30-18:45,48.270000,178.120000,0.870000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,14.240000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,9.1,1.010000,193.080000,193.080000,0.00,0.980000,0.000000,3.9,2.900000,150.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,18.340000,1777.41

76,18:45-19:00,48.270000,178.120000,0.870000,0.000000,17.460000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,30.000000,0.610000,0.520000,0.000000,3.860000,14.240000,38.620000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,6.3,1.010000,193.080000,193.080000,63.00,0.980000,0.000000,2.7,2.900000,150.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,18.340000,1836.41

77,19:00-19:15,48.270000,178.120000,0.920000,0.000000,17.560000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,3.5,1.010000,193.080000,193.080000,145.00,0.980000,0.000000,1.5,2.900000,100.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1777.6

78,19:15-19:30,48.270000,178.120000,0.920000,0.000000,17.560000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,145.00,0.980000,0.000000,0,2.900000,100.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1772.6

79,19:30-19:45,48.270000,178.120000,0.920000,0.000000,17.560000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,71.00,0.980000,0.000000,0,2.900000,100.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1698.6

80,19:45-20:00,48.270000,178.120000,0.920000,0.000000,17.560000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.980000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,71.00,0.980000,0.000000,0,2.900000,100.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1698.6

81,20:00-20:15,48.270000,178.120000,0.920000,0.000000,17.650000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,2.900000,50.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1577.53

82,20:15-20:30,48.270000,178.120000,0.920000,0.000000,17.650000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,0.00,0.870000,0.000000,0,2.900000,50.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1577.53

83,20:30-20:45,48.270000,178.120000,0.920000,0.000000,17.650000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,77.00,0.870000,0.000000,0,2.900000,50.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1654.53

84,20:45-21:00,48.270000,178.120000,0.920000,0.000000,17.650000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,105.00,0.870000,0.000000,0,2.900000,50.000000,43.440000,36.420000,48.270000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1682.53

85,21:00-21:15,48.270000,178.120000,0.920000,0.000000,17.740000,77.230000,0.970000,0.000000,21.530000,0.000000,48.270000,6.760000,22.200000,0.000000,0.610000,0.520000,0.000000,3.860000,14.240000,0.000000,24.140000,0.000000,0.000000,21.240000,0.950000,0.930000,62.990000,0.000000,4.830000,0.380000,84.940000,0.000000,0.610000,257.760000,0,1.010000,193.080000,193.080000,147.00,0.870000,0.000000,0,1.930000,50.000000,43.440000,36.420000,91.710000,0,15.780000,26.240000,0.000000,0.000000,66.520000,0.000000,1767.09

