Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/6891,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/9482,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/01/01/8625,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/9606,NR/01102023/30042040/GNA_LT_36,GNA/SR/2025/03/01/7500,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/5143,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/3469,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036
77,19:00-19:15,10.33,31.01,0,0,0.38,0,0,0,0,0,0,0,32.34,10,10.33,0,32.33,0,0,7,0,0,65.88,0,1.78,31.29,1.38,17.28,0,259.78,100.01,271.44,100,1.49,50,0,50,0,4.22,28.8,5.76,0,0,6.72,0,28.8,28.8

78,19:15-19:30,10.33,31.01,0,0,0,0,0,0,0,0,0,0,33,10,10.33,0,33,0,0,7,0,0,65.88,0,1.78,31.29,1.38,17.28,0,259.78,100.01,271.44,100,1.49,50,0,50,0,4.22,28.8,5.76,0,0,6.72,0,28.8,28.8

79,19:30-19:45,10.33,31.01,0,0,0,0,0,0,0,0,0,0,21.66,10,10.33,0,21.67,0,0,7,0,0,65.88,0,1.78,31.29,1.38,17.28,0,259.78,100.01,271.44,100,1.49,50,0,50,0,4.22,28.8,5.76,0,0,6.72,0,28.8,28.8

80,19:45-20:00,10.33,31.01,0,0,0,0,0,0,0,0,0,0,22.34,10,10.33,0,22.33,0,0,7,0,0,65.88,0,1.78,31.29,1.38,17.28,0,259.78,100.01,271.44,100,1.49,50,0,50,0,4.22,28.8,5.76,0,0,6.72,0,28.8,28.8

81,20:00-20:15,11.33,34.01,0,0,0,0,0,0,0,0,0,0,23.66,12.67,11.33,0,23.67,0,0,7,0,0,65.88,0,1.78,31.29,1.38,17.28,0,259.78,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

82,20:15-20:30,13.17,39.49,0,0,0,0,0,0,0,0,0,0,26,12.67,13.17,0,26,0,0,7,0,0,65.88,0,1.78,31.29,1.38,17.28,0,259.78,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

83,20:30-20:45,14.83,44.51,0,0,0,0,0,0,0,0,0,0,26.66,8.33,14.83,0,26.67,0,0,7,0,0,65.88,0,1.78,31.29,1.53,17.28,0,259.78,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

84,20:45-21:00,16.17,48.49,0,0,0,0,0,0,0,0,0,0,27,8.33,16.17,0,27,0,0,7,0,0,65.88,0,1.78,31.29,1.53,17.28,0,259.78,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

85,21:00-21:15,15.67,46.99,0,0,0,0,0,0,0,0,0,0,44.34,9,15.67,0,44.33,0,0,7,0,0,65.88,0,1.78,31.29,1.45,17.28,0,228.39,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

86,21:15-21:30,15.33,46.01,0,0,0,0,0,0,0,0,0,0,48.34,10,15.33,0,48.33,0,0,7,0,0,65.88,0,1.78,30.79,1.45,17.28,0,228.39,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

87,21:30-21:45,14.83,44.51,0,0,0,0,0,0,0,0,0,0,53,11.67,14.83,0,53,0,0,7,0,0,65.88,0,1.78,30.79,1.45,17.28,0,228.39,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

88,21:45-22:00,14.33,43.01,0,0,0,0,0,0,0,0,0,0,54,13.33,14.33,0,54,0,0,7,0,0,65.88,0,1.78,30.79,1.45,17.28,0,228.39,100.01,271.44,100,1.44,75,0,50,0,4.41,28.8,5.76,0,0,6.72,0,28.8,28.8

89,22:00-22:15,14.83,44.51,0,0,0,0,0,0,0,0,0,0,49.34,14.67,14.83,0,49.33,0,0,7,2.5,63.42,65.88,0,1.78,30.79,1.38,17.28,2.5,228.39,100.01,271.44,100,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

90,22:15-22:30,15.5,46.5,0,0,0,0,0,0,0,0,0,0,44.34,14.67,15.5,0,44.33,0,0,7,2.5,63.42,65.88,0,1.78,30.28,1.38,17.28,2.5,228.39,100.01,271.44,100,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

91,22:30-22:45,15.67,46.99,0,0,0,0,0,0,0,0,0,0,39.66,14.67,15.67,0,39.67,0,0,7,2.5,63.42,65.88,0,1.78,29.27,1.38,17.28,2.5,228.39,100.01,271.44,100,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

92,22:45-23:00,15.83,47.51,0,0,0,0,0,0,0,0,0,0,35.34,14.67,15.83,0,35.33,0,0,7,2.5,63.42,65.88,0,1.78,29.27,1.38,17.28,2.5,228.39,100.01,271.44,100,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

93,23:00-23:15,16.33,49.01,0,0,0,0,0,0,0,0,0,0,35.34,15,16.33,0,35.33,0,0,7,2.5,63.42,65.88,0,1.78,28.26,1.38,17.28,2.5,228.39,100.01,271.44,0,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

94,23:15-23:30,16.5,49.5,0,0,0,0,0,0,0,0,0,0,35.34,15,16.5,0,35.33,0,0,7,2.5,63.42,65.88,0,1.78,28.26,1.38,17.28,2.5,228.39,100.01,271.44,0,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

95,23:30-23:45,16.67,49.99,0,0,0,0,0,0,0,0,0,0,35,15.33,16.67,0,35,0,0,7,2.5,63.42,65.88,0,1.78,28.26,1.38,17.28,2.5,228.39,100.01,271.44,0,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

96,23:45-24:00,17,51,0,0,0,0,0,0,0,0,0,0,35,15.33,17,0,35,0,0,7,2.5,63.42,65.88,0,1.78,28.26,1.38,17.28,2.5,228.39,100.01,271.44,0,1.44,75,0,50,0,4.32,23.04,5.76,190.26,0,6.72,0,23.04,23.04

