Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/74124,NR/2025/26335/A/74264,NR/2025/26082/A/74632,NR/2025/26822/A/74639,NR/2025/26233/A/74579,NR/2025/26005/A/74161,NR/2025/26265/A/74578,NR/2025/26827/A/74637,NR/2025/26289/A/74577,NR/2025/26202/A/74631,NR/2025/26191/A/74158,NR/2025/27273/C,NR/2025/27239/C,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8068,NR/2025/26829/A/74635,NR/2025/26085/A/74078,NR/2025/25859/A/74559,NR/2025/27198/C,NR/2025/27313/C,NR/2025/27266/C,NR/2025/27284/C,NR/2025/26785/A/74123,NR/2025/27197/C,NR/2025/27199/C,NR/2025/26959/A/74189,NR/2025/27200/C,NR/2025/26232/A/74580,NR/2025/26879/A/74263,NR/2025/27196/C,NR/2025/27201/C,NR/2025/26828/A/74636,NR/2025/26379/A/74551,GNA/NR/2025/05/01/4138,NR/2025/27286/C,NR/2025/27149/A/74254,NR/2025/26153/A/74122,NR/2025/27222/C,NR/2025/27287/C,NR/2025/26101/A/74257,NR/2025/27305/C,NR/2025/27288/C,NR/2025/26004/A/74160,NR/2025/26336/A/74262,NR/2025/27289/C,NR/2025/27298/C,NR/2025/25967/A/74552,NR/2025/27299/C,NR/2025/27280/C,NR/2025/27310/C,NR/2025/26291/A/74576,NR/2025/25861/A/74557,NR/2025/27282/C,NR/2025/26825/A/74638,NR/2025/25860/A/74558,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/16/1698,NR/30092023/31122025/SH-07,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/9395,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/5800,Total
39,09:30-09:45,79.1,10.63,165,47.33,0,0,48.3,0,0,0,0,0,59.89,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.48,25.7,0,2164.61

40,09:45-10:00,84.76,10.63,175,47.33,0,0,48.3,0,0,0,0,0,59.89,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.48,25.7,0,2180.27

41,10:00-10:15,89.76,12.56,186,47.33,0,0,48.3,0,0,0,0,0,59.89,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,3.86,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.3,25.7,0,2198.98

42,10:15-10:30,94.37,12.56,196,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,3.86,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.3,25.7,0,2237.74

43,10:30-10:45,98.57,12.56,203,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,3.86,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.3,25.7,0,2248.94

44,10:45-11:00,100,12.56,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,26.08,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,6.76,48.3,0,0,52.84,96.6,0,0,0,14.63,3.86,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.3,25.7,0,2254.37

45,11:00-11:15,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.02,25.7,0,2247.33

46,11:15-11:30,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.02,25.7,0,2247.33

47,11:30-11:45,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.02,25.7,0,2247.33

48,11:45-12:00,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29.5,96.6,0,12.02,25.7,0,2247.33

49,12:00-12:15,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.65,26,0,2246.76

50,12:15-12:30,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.65,26,0,2246.76

51,12:30-12:45,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.65,26,0,2246.76

52,12:45-13:00,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,0,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.65,26,0,2246.76

53,13:00-13:15,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,33.81,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2280.29

54,13:15-13:30,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,67.62,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2314.1

55,13:30-13:45,100,13.52,207,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,101.43,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2347.91

56,13:45-14:00,100,13.52,203,47.33,0,0,48.3,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0.97,96.6,4.83,0,24.15,96.6,0,53.13,4.83,8.69,48.3,0,0,52.84,96.6,0,0,0,14.63,2.9,9.95,48.3,43.9,0,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,0,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2353.5699999999997

57,14:00-14:15,100,11.59,193,0,0,0,39.61,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,9.66,48.3,0,0,62.79,96.6,0,0,0,14.63,2.9,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2430.5199999999995

58,14:15-14:30,100,11.59,189,0,0,0,39.61,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,9.66,48.3,0,0,62.79,96.6,0,0,0,14.63,2.9,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2426.52

59,14:30-14:45,95.35,11.59,182,0,0,0,39.61,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,9.66,48.3,0,0,62.79,96.6,0,0,0,14.63,2.9,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2414.87

60,14:45-15:00,91.69,11.59,175,0,0,0,39.61,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,9.66,48.3,0,0,62.79,96.6,0,0,0,14.63,2.9,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.37,26,0,2404.2099999999996

61,15:00-15:15,87.57,8.69,168,0,0,0,39.61,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,11.59,48.3,0,0,62.79,96.6,0,0,0,14.63,1.93,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.83,26,0,2391.6099999999997

62,15:15-15:30,83.14,8.69,158,0,0,0,39.61,0,0,0,0,0,84.04,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,11.59,48.3,0,0,62.79,96.6,0,0,0,14.63,1.93,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.83,26,0,2377.18

63,15:30-15:45,77.87,8.69,147,0,0,0,39.61,0,0,0,0,0,0,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,11.59,48.3,0,0,62.79,96.6,0,0,0,14.63,1.93,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.83,26,0,2276.87

64,15:45-16:00,72.65,8.69,137,0,0,0,39.61,0,0,0,0,0,0,193.2,0,13.52,0,17.39,14.49,10.63,0,0,96.6,4.83,0,24.15,96.6,0,53.13,4.83,11.59,48.3,0,0,62.79,96.6,0,0,0,14.63,1.93,0,48.3,43.9,33.81,5.8,43.9,48.3,111.09,37.33,0,193.2,0,108.54,0,0,111.09,43.47,0,0,0,28.98,0,0,193.2,24.15,29,96.6,0,11.83,26,0,2261.6499999999996

65,16:00-16:15,66.54,5.8,123,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.82,96.6,0,0,0,0,53.13,0,0,11.59,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.3,26,0,2295.96

66,16:15-16:30,60.31,5.8,109,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.82,96.6,0,0,0,0,53.13,0,0,11.59,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.3,26,0,2275.73

67,16:30-16:45,53.72,5.8,95,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.82,96.6,0,0,0,0,53.13,0,0,11.59,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.3,26,0,2255.14

68,16:45-17:00,46.69,5.8,81,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.82,96.6,0,0,0,0,53.13,0,0,11.59,0,4.83,0,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.3,26,0,2234.11

69,17:00-17:15,39.32,0,70,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.76,26,0,2190.94

70,17:15-17:30,31.87,0,56,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.76,26,0,2169.4900000000002

71,17:30-17:45,24.88,0,42,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.76,26,0,2148.5000000000005

72,17:45-18:00,18.71,0,28,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,0,13.52,0,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,108.54,0,24.15,111.09,43.47,43.9,0,0,28.98,0,0,193.2,24.15,29,96.6,0,12.76,26,0,2128.3300000000004

73,18:00-18:15,13.53,0,14,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29,96.6,5.8,13.68,26,67.62,2262.89

74,18:15-18:30,9.31,0,7,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29,96.6,5.8,13.68,26,67.62,2251.67

75,18:30-18:45,0.78,0,5,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,0,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29,96.6,5.8,13.68,26,67.62,2241.14

76,18:45-19:00,0.28,0,1,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,43.47,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.68,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29,96.6,5.8,13.68,26,67.62,2280.1099999999997

77,19:00-19:15,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,43.47,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.72,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29,96.6,5.8,14.14,29,67.62,2282.33

78,19:15-19:30,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,43.47,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.72,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29,96.6,5.8,14.14,29,67.62,2282.33

79,19:30-19:45,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,43.47,0,19.32,13.52,14.49,17.56,14.49,10.63,37.33,0.72,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,26,96.6,5.8,14.14,29,67.62,2279.5

80,19:45-20:00,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,43.47,0,19.32,13.52,14.49,17.56,14.49,10.63,37.33,0.72,96.6,0,0,0,0,0,0,0,11.59,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,26,96.6,5.8,14.14,29,67.62,2279.5

81,20:00-20:15,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,43.47,0,19.32,13.52,14.49,17.56,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,14.61,29.5,67.62,2282.09

82,20:15-20:30,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,43.47,0,19.32,13.52,14.49,17.56,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,14.61,29.5,67.62,2282.09

83,20:30-20:45,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.56,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,14.61,29.5,67.62,2262.7700000000004

84,20:45-21:00,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.56,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,0,193.2,0,162.82,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,14.61,29.5,67.62,2262.7700000000004

85,21:00-21:15,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,88.6,193.2,67.62,108.54,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,17.39,29.5,67.62,2367.3199999999997

86,21:15-21:30,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,88.6,193.2,67.62,108.54,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,17.39,29.5,67.62,2367.3199999999997

87,21:30-21:45,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,88.6,193.2,67.62,108.54,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,17.39,29.5,67.62,2367.3199999999997

88,21:45-22:00,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.77,96.6,0,0,0,0,0,0,0,9.66,0,4.83,33.81,0,0,5.8,193.2,0,0,1.93,62.79,0,0,33.81,0,0,48.3,111.09,0,88.6,193.2,67.62,108.54,0,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,17.39,29.5,67.62,2367.3199999999997

89,22:00-22:15,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.77,96.6,0,43.47,0,0,0,0,0,7.73,0,4.83,33.81,0,0,5.8,193.2,0,0,2.9,62.79,0,0,33.81,0,0,48.3,111.09,0,88.6,193.2,67.62,108.54,144.9,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,17.39,29.5,67.62,2554.73

90,22:15-22:30,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.77,96.6,0,43.47,0,0,0,0,0,7.73,0,4.83,33.81,0,0,5.8,193.2,0,0,2.9,62.79,0,0,33.81,0,0,48.3,111.09,0,88.6,193.2,67.62,108.54,144.9,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,17.39,29.5,67.62,2554.73

91,22:30-22:45,0,0,0,47.33,14.63,4.83,48.3,96.6,43.9,48.3,96.6,48.3,24.15,0,19.32,13.52,14.49,17.39,14.49,10.63,37.33,0.77,96.6,0,43.47,0,0,0,0,0,7.73,0,4.83,33.81,0,0,5.8,193.2,0,0,2.9,62.79,0,0,33.81,0,0,48.3,111.09,0,88.6,193.2,67.62,108.54,144.9,24.15,111.09,0,43.9,0,5.8,28.98,0,28.98,193.2,24.15,29.5,96.6,5.8,17.39,29.5,67.62,2554.73

